Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ABIN,United States,Arizona,04,,
ABIN,United States,Arizona,04,Cochise,003
ABIN,United States,Arizona,04,Graham,009
ABIN,United States,Arizona,04,Greenlee,011
ABIN,United States,Arizona,04,La Paz,012
ABIN,United States,Arizona,04,Maricopa,013
ABIN,United States,Arizona,04,Mohave,015
ABIN,United States,Arizona,04,Pima,019
ABIN,United States,Arizona,04,Pinal,021
ABIN,United States,Arizona,04,Yavapai,025
ABIN,United States,Arizona,04,Yuma,027
ABIN,United States,Colorado,08,,
ABIN,United States,Colorado,08,Baca,009
ABIN,United States,Hawaii,15,,
ABIN,United States,Hawaii,15,Honolulu,003
ABIN,United States,Hawaii,15,Kauai,007
ABIN,United States,Hawaii,15,Maui,009
ABIN,United States,New Mexico,35,,
ABIN,United States,New Mexico,35,Grant,017
ABIN,United States,New Mexico,35,Luna,029
ABIN,United States,New Mexico,35,Sierra,051
