Distribution Data
Symbol,Country,State,State FIP,County,County FIP
AECA,United States,California,06,,
AECA,United States,California,06,Alameda,001
AECA,United States,California,06,Amador,005
AECA,United States,California,06,Butte,007
AECA,United States,California,06,Calaveras,009
AECA,United States,California,06,Colusa,011
AECA,United States,California,06,Contra Costa,013
AECA,United States,California,06,El Dorado,017
AECA,United States,California,06,Fresno,019
AECA,United States,California,06,Glenn,021
AECA,United States,California,06,Humboldt,023
AECA,United States,California,06,Kern,029
AECA,United States,California,06,Lake,033
AECA,United States,California,06,Los Angeles,037
AECA,United States,California,06,Madera,039
AECA,United States,California,06,Marin,041
AECA,United States,California,06,Mariposa,043
AECA,United States,California,06,Mendocino,045
AECA,United States,California,06,Merced,047
AECA,United States,California,06,Monterey,053
AECA,United States,California,06,Napa,055
AECA,United States,California,06,Nevada,057
AECA,United States,California,06,Placer,061
AECA,United States,California,06,Plumas,063
AECA,United States,California,06,Sacramento,067
AECA,United States,California,06,San Benito,069
AECA,United States,California,06,San Francisco,075
AECA,United States,California,06,San Joaquin,077
AECA,United States,California,06,San Luis Obispo,079
AECA,United States,California,06,San Mateo,081
AECA,United States,California,06,Santa Barbara,083
AECA,United States,California,06,Santa Clara,085
AECA,United States,California,06,Santa Cruz,087
AECA,United States,California,06,Shasta,089
AECA,United States,California,06,Siskiyou,093
AECA,United States,California,06,Solano,095
AECA,United States,California,06,Sonoma,097
AECA,United States,California,06,Stanislaus,099
AECA,United States,California,06,Tehama,103
AECA,United States,California,06,Trinity,105
AECA,United States,California,06,Tulare,107
AECA,United States,California,06,Tuolumne,109
AECA,United States,California,06,Yolo,113
AECA,United States,California,06,Yuba,115
AECA,United States,Oregon,41,,
AECA,United States,Oregon,41,Jackson,029
