Distribution Data
Symbol,Country,State,State FIP,County,County FIP
AGPA3,United States,Arizona,04,,
AGPA3,United States,Arizona,04,Cochise,003
AGPA3,United States,Arizona,04,Gila,007
AGPA3,United States,Arizona,04,Graham,009
AGPA3,United States,Arizona,04,Pima,019
AGPA3,United States,Arizona,04,Pinal,021
AGPA3,United States,Arizona,04,Santa Cruz,023
AGPA3,United States,New Mexico,35,,
AGPA3,United States,New Mexico,35,Eddy,015
AGPA3,United States,New Mexico,35,Hidalgo,023
AGPA3,United States,New Mexico,35,Luna,029
