Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ANPA4,Canada,Alberta,01,,
ANPA4,Canada,British Columbia,02,,
ANPA4,Canada,Manitoba,03,,
ANPA4,United States,Arizona,04,,
ANPA4,United States,Arizona,04,Apache,001
ANPA4,United States,Arizona,04,Cochise,003
ANPA4,United States,Arizona,04,Coconino,005
ANPA4,United States,Arizona,04,Gila,007
ANPA4,United States,Arizona,04,Graham,009
ANPA4,United States,Arizona,04,Navajo,017
ANPA4,United States,Arizona,04,Pima,019
ANPA4,United States,Arizona,04,Yavapai,025
ANPA4,United States,California,06,,
ANPA4,Canada,Ontario,08,,
ANPA4,United States,Colorado,08,,
ANPA4,United States,Colorado,08,Archuleta,007
ANPA4,United States,Colorado,08,Boulder,013
ANPA4,United States,Colorado,08,Chaffee,015
ANPA4,United States,Colorado,08,Cheyenne,017
ANPA4,United States,Colorado,08,Clear Creek,019
ANPA4,United States,Colorado,08,Conejos,021
ANPA4,United States,Colorado,08,Custer,027
ANPA4,United States,Colorado,08,Delta,029
ANPA4,United States,Colorado,08,Dolores,033
ANPA4,United States,Colorado,08,Eagle,037
ANPA4,United States,Colorado,08,El Paso,041
ANPA4,United States,Colorado,08,Elbert,039
ANPA4,United States,Colorado,08,Garfield,045
ANPA4,United States,Colorado,08,Gilpin,047
ANPA4,United States,Colorado,08,Grand,049
ANPA4,United States,Colorado,08,Gunnison,051
ANPA4,United States,Colorado,08,Huerfano,055
ANPA4,United States,Colorado,08,Jackson,057
ANPA4,United States,Colorado,08,Jefferson,059
ANPA4,United States,Colorado,08,La Plata,067
ANPA4,United States,Colorado,08,Larimer,069
ANPA4,United States,Colorado,08,Las Animas,071
ANPA4,United States,Colorado,08,Mesa,077
ANPA4,United States,Colorado,08,Mineral,079
ANPA4,United States,Colorado,08,Moffat,081
ANPA4,United States,Colorado,08,Montezuma,083
ANPA4,United States,Colorado,08,Montrose,085
ANPA4,United States,Colorado,08,Park,093
ANPA4,United States,Colorado,08,Pitkin,097
ANPA4,United States,Colorado,08,Pueblo,101
ANPA4,United States,Colorado,08,Rio Grande,105
ANPA4,United States,Colorado,08,Routt,107
ANPA4,United States,Colorado,08,Saguache,109
ANPA4,United States,Colorado,08,San Juan,111
ANPA4,United States,Colorado,08,San Miguel,113
ANPA4,United States,Colorado,08,Summit,117
ANPA4,United States,Colorado,08,Teller,119
ANPA4,United States,Colorado,08,Weld,123
ANPA4,Canada,Saskatchewan,11,,
ANPA4,United States,Idaho,16,,
ANPA4,United States,Idaho,16,Blaine,013
ANPA4,United States,Idaho,16,Idaho,049
ANPA4,United States,Idaho,16,Kootenai,055
ANPA4,United States,Idaho,16,Lemhi,059
ANPA4,United States,Idaho,16,Teton,081
ANPA4,United States,Kansas,20,,
ANPA4,United States,Michigan,26,,
ANPA4,United States,Michigan,26,Grand Traverse,055
ANPA4,United States,Minnesota,27,,
ANPA4,United States,Minnesota,27,Anoka,003
ANPA4,United States,Minnesota,27,Benton,009
ANPA4,United States,Minnesota,27,Isanti,059
ANPA4,United States,Minnesota,27,Kittson,069
ANPA4,United States,Minnesota,27,Lincoln,081
ANPA4,United States,Minnesota,27,Marshall,089
ANPA4,United States,Minnesota,27,Polk,119
ANPA4,United States,Minnesota,27,Roseau,135
ANPA4,United States,Minnesota,27,Sherburne,141
ANPA4,United States,Minnesota,27,Traverse,155
ANPA4,United States,Montana,30,,
ANPA4,United States,Montana,30,Beaverhead,001
ANPA4,United States,Montana,30,Big Horn,003
ANPA4,United States,Montana,30,Broadwater,007
ANPA4,United States,Montana,30,Carbon,009
ANPA4,United States,Montana,30,Carter,011
ANPA4,United States,Montana,30,Cascade,013
ANPA4,United States,Montana,30,Custer,017
ANPA4,United States,Montana,30,Daniels,019
ANPA4,United States,Montana,30,Dawson,021
ANPA4,United States,Montana,30,Deer Lodge,023
ANPA4,United States,Montana,30,Fallon,025
ANPA4,United States,Montana,30,Fergus,027
ANPA4,United States,Montana,30,Flathead,029
ANPA4,United States,Montana,30,Gallatin,031
ANPA4,United States,Montana,30,Garfield,033
ANPA4,United States,Montana,30,Golden Valley,037
ANPA4,United States,Montana,30,Hill,041
ANPA4,United States,Montana,30,Jefferson,043
ANPA4,United States,Montana,30,Judith Basin,045
ANPA4,United States,Montana,30,Lewis and Clark,049
ANPA4,United States,Montana,30,Madison,057
ANPA4,United States,Montana,30,McCone,055
ANPA4,United States,Montana,30,Meagher,059
ANPA4,United States,Montana,30,Missoula,063
ANPA4,United States,Montana,30,Musselshell,065
ANPA4,United States,Montana,30,Park,067
ANPA4,United States,Montana,30,Petroleum,069
ANPA4,United States,Montana,30,Phillips,071
ANPA4,United States,Montana,30,Powder River,075
ANPA4,United States,Montana,30,Richland,083
ANPA4,United States,Montana,30,Roosevelt,085
ANPA4,United States,Montana,30,Rosebud,087
ANPA4,United States,Montana,30,Sanders,089
ANPA4,United States,Montana,30,Sheridan,091
ANPA4,United States,Montana,30,Stillwater,095
ANPA4,United States,Montana,30,Sweet Grass,097
ANPA4,United States,Montana,30,Treasure,103
ANPA4,United States,Montana,30,Valley,105
ANPA4,United States,Montana,30,Wheatland,107
ANPA4,United States,Montana,30,Wibaux,109
ANPA4,United States,Montana,30,Yellowstone,111
ANPA4,United States,Nebraska,31,,
ANPA4,United States,Nebraska,31,Antelope,003
ANPA4,United States,Nebraska,31,Boyd,015
ANPA4,United States,Nebraska,31,Brown,017
ANPA4,United States,Nebraska,31,Cherry,031
ANPA4,United States,Nebraska,31,Cheyenne,033
ANPA4,United States,Nebraska,31,Custer,041
ANPA4,United States,Nebraska,31,Dawes,045
ANPA4,United States,Nebraska,31,Franklin,061
ANPA4,United States,Nebraska,31,Garfield,071
ANPA4,United States,Nebraska,31,Gosper,073
ANPA4,United States,Nebraska,31,Holt,089
ANPA4,United States,Nebraska,31,Howard,093
ANPA4,United States,Nebraska,31,Kearney,099
ANPA4,United States,Nebraska,31,McPherson,117
ANPA4,United States,Nebraska,31,Morrill,123
ANPA4,United States,Nebraska,31,Rock,149
ANPA4,United States,Nebraska,31,Scotts Bluff,157
ANPA4,United States,Nebraska,31,Sheridan,161
ANPA4,United States,Nebraska,31,Sioux,165
ANPA4,United States,Nebraska,31,Thomas,171
ANPA4,United States,Nevada,32,,
ANPA4,United States,Nevada,32,Clark,003
ANPA4,United States,New Mexico,35,,
ANPA4,United States,New Mexico,35,Bernalillo,001
ANPA4,United States,New Mexico,35,Catron,003
ANPA4,United States,New Mexico,35,Cibola,006
ANPA4,United States,New Mexico,35,Colfax,007
ANPA4,United States,New Mexico,35,Grant,017
ANPA4,United States,New Mexico,35,Lincoln,027
ANPA4,United States,New Mexico,35,Los Alamos,028
ANPA4,United States,New Mexico,35,McKinley,031
ANPA4,United States,New Mexico,35,Mora,033
ANPA4,United States,New Mexico,35,Otero,035
ANPA4,United States,New Mexico,35,Rio Arriba,039
ANPA4,United States,New Mexico,35,San Juan,045
ANPA4,United States,New Mexico,35,San Miguel,047
ANPA4,United States,New Mexico,35,Sandoval,043
ANPA4,United States,New Mexico,35,Santa Fe,049
ANPA4,United States,New Mexico,35,Sierra,051
ANPA4,United States,New Mexico,35,Socorro,053
ANPA4,United States,New Mexico,35,Taos,055
ANPA4,United States,New Mexico,35,Torrance,057
ANPA4,United States,New Mexico,35,Valencia,061
ANPA4,United States,North Dakota,38,,
ANPA4,United States,North Dakota,38,Barnes,003
ANPA4,United States,North Dakota,38,Benson,005
ANPA4,United States,North Dakota,38,Billings,007
ANPA4,United States,North Dakota,38,Bottineau,009
ANPA4,United States,North Dakota,38,Bowman,011
ANPA4,United States,North Dakota,38,Burke,013
ANPA4,United States,North Dakota,38,Cavalier,019
ANPA4,United States,North Dakota,38,Dunn,025
ANPA4,United States,North Dakota,38,Emmons,029
ANPA4,United States,North Dakota,38,Golden Valley,033
ANPA4,United States,North Dakota,38,Griggs,039
ANPA4,United States,North Dakota,38,Kidder,043
ANPA4,United States,North Dakota,38,LaMoure,045
ANPA4,United States,North Dakota,38,McHenry,049
ANPA4,United States,North Dakota,38,McIntosh,051
ANPA4,United States,North Dakota,38,McKenzie,053
ANPA4,United States,North Dakota,38,McLean,055
ANPA4,United States,North Dakota,38,Mercer,057
ANPA4,United States,North Dakota,38,Morton,059
ANPA4,United States,North Dakota,38,Mountrail,061
ANPA4,United States,North Dakota,38,Oliver,065
ANPA4,United States,North Dakota,38,Pembina,067
ANPA4,United States,North Dakota,38,Pierce,069
ANPA4,United States,North Dakota,38,Richland,077
ANPA4,United States,North Dakota,38,Rolette,079
ANPA4,United States,North Dakota,38,Sheridan,083
ANPA4,United States,North Dakota,38,Slope,087
ANPA4,United States,North Dakota,38,Stark,089
ANPA4,United States,North Dakota,38,Steele,091
ANPA4,United States,North Dakota,38,Stutsman,093
ANPA4,United States,North Dakota,38,Ward,101
ANPA4,United States,North Dakota,38,Wells,103
ANPA4,United States,North Dakota,38,Williams,105
ANPA4,United States,Oklahoma,40,,
ANPA4,United States,Oklahoma,40,Cimarron,025
ANPA4,United States,Oregon,41,,
ANPA4,United States,South Dakota,46,,
ANPA4,United States,South Dakota,46,Bennett,007
ANPA4,United States,South Dakota,46,Bon Homme,009
ANPA4,United States,South Dakota,46,Custer,033
ANPA4,United States,South Dakota,46,Day,037
ANPA4,United States,South Dakota,46,Fall River,047
ANPA4,United States,South Dakota,46,Harding,063
ANPA4,United States,South Dakota,46,Lawrence,081
ANPA4,United States,South Dakota,46,Mellette,095
ANPA4,United States,South Dakota,46,Pennington,103
ANPA4,United States,South Dakota,46,Stanley,117
ANPA4,United States,South Dakota,46,Todd,121
ANPA4,United States,Texas,48,,
ANPA4,United States,Texas,48,Culberson,109
ANPA4,United States,Utah,49,,
ANPA4,United States,Utah,49,Beaver,001
ANPA4,United States,Utah,49,Cache,005
ANPA4,United States,Utah,49,Carbon,007
ANPA4,United States,Utah,49,Daggett,009
ANPA4,United States,Utah,49,Davis,011
ANPA4,United States,Utah,49,Duchesne,013
ANPA4,United States,Utah,49,Emery,015
ANPA4,United States,Utah,49,Garfield,017
ANPA4,United States,Utah,49,Grand,019
ANPA4,United States,Utah,49,Iron,021
ANPA4,United States,Utah,49,Juab,023
ANPA4,United States,Utah,49,Kane,025
ANPA4,United States,Utah,49,Millard,027
ANPA4,United States,Utah,49,Piute,031
ANPA4,United States,Utah,49,Rich,033
ANPA4,United States,Utah,49,Salt Lake,035
ANPA4,United States,Utah,49,San Juan,037
ANPA4,United States,Utah,49,Sanpete,039
ANPA4,United States,Utah,49,Sevier,041
ANPA4,United States,Utah,49,Summit,043
ANPA4,United States,Utah,49,Tooele,045
ANPA4,United States,Utah,49,Uintah,047
ANPA4,United States,Utah,49,Utah,049
ANPA4,United States,Utah,49,Wasatch,051
ANPA4,United States,Utah,49,Washington,053
ANPA4,United States,Utah,49,Wayne,055
ANPA4,United States,Utah,49,Weber,057
ANPA4,United States,Washington,53,,
ANPA4,United States,Washington,53,Chelan,007
ANPA4,United States,Washington,53,Lincoln,043
ANPA4,United States,Washington,53,Okanogan,047
ANPA4,United States,Washington,53,Pend Oreille,051
ANPA4,United States,Washington,53,Spokane,063
ANPA4,United States,Washington,53,Stevens,065
ANPA4,United States,Wyoming,56,,
ANPA4,United States,Wyoming,56,Albany,001
ANPA4,United States,Wyoming,56,Big Horn,003
ANPA4,United States,Wyoming,56,Campbell,005
ANPA4,United States,Wyoming,56,Carbon,007
ANPA4,United States,Wyoming,56,Converse,009
ANPA4,United States,Wyoming,56,Crook,011
ANPA4,United States,Wyoming,56,Fremont,013
ANPA4,United States,Wyoming,56,Goshen,015
ANPA4,United States,Wyoming,56,Hot Springs,017
ANPA4,United States,Wyoming,56,Johnson,019
ANPA4,United States,Wyoming,56,Laramie,021
ANPA4,United States,Wyoming,56,Lincoln,023
ANPA4,United States,Wyoming,56,Natrona,025
ANPA4,United States,Wyoming,56,Niobrara,027
ANPA4,United States,Wyoming,56,Park,029
ANPA4,United States,Wyoming,56,Sheridan,033
ANPA4,United States,Wyoming,56,Sweetwater,037
ANPA4,United States,Wyoming,56,Teton,039
ANPA4,United States,Wyoming,56,Weston,045
