Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ARCA10,United States,California,06,,
ARCA10,United States,California,06,Butte,007
ARCA10,United States,California,06,Contra Costa,013
ARCA10,United States,California,06,Glenn,021
ARCA10,United States,California,06,Madera,039
ARCA10,United States,California,06,Marin,041
ARCA10,United States,California,06,Mendocino,045
ARCA10,United States,California,06,Monterey,053
ARCA10,United States,California,06,Napa,055
ARCA10,United States,California,06,Nevada,057
ARCA10,United States,California,06,Placer,061
ARCA10,United States,California,06,Plumas,063
ARCA10,United States,California,06,Sacramento,067
ARCA10,United States,California,06,San Francisco,075
ARCA10,United States,California,06,San Mateo,081
ARCA10,United States,California,06,Shasta,089
ARCA10,United States,California,06,Siskiyou,093
ARCA10,United States,California,06,Solano,095
ARCA10,United States,California,06,Sonoma,097
ARCA10,United States,California,06,Stanislaus,099
ARCA10,United States,California,06,Sutter,101
ARCA10,United States,California,06,Tehama,103
ARCA10,United States,California,06,Yolo,113
ARCA10,United States,California,06,Yuba,115
