Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ARER,United States,Texas,48,,
ARER,United States,Texas,48,Atascosa,013
ARER,United States,Texas,48,Bastrop,021
ARER,United States,Texas,48,Bexar,029
ARER,United States,Texas,48,Brooks,047
ARER,United States,Texas,48,Caldwell,055
ARER,United States,Texas,48,Calhoun,057
ARER,United States,Texas,48,DeWitt,123
ARER,United States,Texas,48,Duval,131
ARER,United States,Texas,48,Gillespie,171
ARER,United States,Texas,48,Goliad,175
ARER,United States,Texas,48,Gonzales,177
ARER,United States,Texas,48,Hidalgo,215
ARER,United States,Texas,48,Jim Hogg,247
ARER,United States,Texas,48,Kleberg,273
ARER,United States,Texas,48,Lee,287
ARER,United States,Texas,48,Live Oak,297
ARER,United States,Texas,48,Llano,299
ARER,United States,Texas,48,Montgomery,339
ARER,United States,Texas,48,Starr,427
ARER,United States,Texas,48,Travis,453
ARER,United States,Texas,48,Washington,477
ARER,United States,Texas,48,Webb,479
ARER,United States,Texas,48,Wilson,493
ARER,United States,Texas,48,Zapata,505
