Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ASDR3,Canada,Alberta,01,,
ASDR3,Canada,British Columbia,02,,
ASDR3,United States,Colorado,08,,
ASDR3,United States,Colorado,08,Alamosa,003
ASDR3,United States,Colorado,08,Arapahoe,005
ASDR3,United States,Colorado,08,Boulder,013
ASDR3,United States,Colorado,08,Chaffee,015
ASDR3,United States,Colorado,08,Conejos,021
ASDR3,United States,Colorado,08,Costilla,023
ASDR3,United States,Colorado,08,Custer,027
ASDR3,United States,Colorado,08,Douglas,035
ASDR3,United States,Colorado,08,El Paso,041
ASDR3,United States,Colorado,08,Elbert,039
ASDR3,United States,Colorado,08,Fremont,043
ASDR3,United States,Colorado,08,Grand,049
ASDR3,United States,Colorado,08,Gunnison,051
ASDR3,United States,Colorado,08,Huerfano,055
ASDR3,United States,Colorado,08,Jefferson,059
ASDR3,United States,Colorado,08,Kit Carson,063
ASDR3,United States,Colorado,08,Larimer,069
ASDR3,United States,Colorado,08,Las Animas,071
ASDR3,United States,Colorado,08,Logan,075
ASDR3,United States,Colorado,08,Mineral,079
ASDR3,United States,Colorado,08,Morgan,087
ASDR3,United States,Colorado,08,Rio Grande,105
ASDR3,United States,Colorado,08,Saguache,109
ASDR3,United States,Colorado,08,Teller,119
ASDR3,United States,Colorado,08,Weld,123
ASDR3,Canada,Saskatchewan,11,,
ASDR3,United States,Idaho,16,,
ASDR3,United States,Idaho,16,Clark,033
ASDR3,United States,Idaho,16,Fremont,043
ASDR3,United States,Montana,30,,
ASDR3,United States,Montana,30,Big Horn,003
ASDR3,United States,Montana,30,Blaine,005
ASDR3,United States,Montana,30,Carbon,009
ASDR3,United States,Montana,30,Carter,011
ASDR3,United States,Montana,30,Cascade,013
ASDR3,United States,Montana,30,Chouteau,015
ASDR3,United States,Montana,30,Custer,017
ASDR3,United States,Montana,30,Dawson,021
ASDR3,United States,Montana,30,Deer Lodge,023
ASDR3,United States,Montana,30,Fergus,027
ASDR3,United States,Montana,30,Flathead,029
ASDR3,United States,Montana,30,Gallatin,031
ASDR3,United States,Montana,30,Garfield,033
ASDR3,United States,Montana,30,Glacier,035
ASDR3,United States,Montana,30,Golden Valley,037
ASDR3,United States,Montana,30,Hill,041
ASDR3,United States,Montana,30,Jefferson,043
ASDR3,United States,Montana,30,Lewis and Clark,049
ASDR3,United States,Montana,30,Liberty,051
ASDR3,United States,Montana,30,Madison,057
ASDR3,United States,Montana,30,Musselshell,065
ASDR3,United States,Montana,30,Park,067
ASDR3,United States,Montana,30,Petroleum,069
ASDR3,United States,Montana,30,Phillips,071
ASDR3,United States,Montana,30,Powder River,075
ASDR3,United States,Montana,30,Powell,077
ASDR3,United States,Montana,30,Roosevelt,085
ASDR3,United States,Montana,30,Rosebud,087
ASDR3,United States,Montana,30,Silver Bow,093
ASDR3,United States,Montana,30,Stillwater,095
ASDR3,United States,Montana,30,Sweet Grass,097
ASDR3,United States,Montana,30,Toole,101
ASDR3,United States,Montana,30,Treasure,103
ASDR3,United States,Montana,30,Valley,105
ASDR3,United States,Montana,30,Wheatland,107
ASDR3,United States,Montana,30,Yellowstone,111
ASDR3,United States,Nebraska,31,,
ASDR3,United States,Nebraska,31,Dawes,045
ASDR3,United States,Nebraska,31,Keith,101
ASDR3,United States,Nebraska,31,Morrill,123
ASDR3,United States,Nebraska,31,Sioux,165
ASDR3,United States,New Mexico,35,,
ASDR3,United States,New Mexico,35,Colfax,007
ASDR3,United States,New Mexico,35,Rio Arriba,039
ASDR3,United States,New Mexico,35,Taos,055
ASDR3,United States,New Mexico,35,Union,059
ASDR3,United States,North Dakota,38,,
ASDR3,United States,North Dakota,38,Williams,105
ASDR3,United States,Oregon,41,,
ASDR3,United States,South Dakota,46,,
ASDR3,United States,South Dakota,46,Custer,033
ASDR3,United States,South Dakota,46,Fall River,047
ASDR3,United States,South Dakota,46,Haakon,055
ASDR3,United States,South Dakota,46,Pennington,103
ASDR3,United States,Utah,49,,
ASDR3,United States,Utah,49,Beaver,001
ASDR3,United States,Utah,49,Emery,015
ASDR3,United States,Utah,49,San Juan,037
ASDR3,United States,Utah,49,Sevier,041
ASDR3,United States,Utah,49,Utah,049
ASDR3,United States,Wyoming,56,,
ASDR3,United States,Wyoming,56,Albany,001
ASDR3,United States,Wyoming,56,Campbell,005
ASDR3,United States,Wyoming,56,Carbon,007
ASDR3,United States,Wyoming,56,Converse,009
ASDR3,United States,Wyoming,56,Crook,011
ASDR3,United States,Wyoming,56,Fremont,013
ASDR3,United States,Wyoming,56,Goshen,015
ASDR3,United States,Wyoming,56,Hot Springs,017
ASDR3,United States,Wyoming,56,Johnson,019
ASDR3,United States,Wyoming,56,Laramie,021
ASDR3,United States,Wyoming,56,Natrona,025
ASDR3,United States,Wyoming,56,Niobrara,027
ASDR3,United States,Wyoming,56,Park,029
ASDR3,United States,Wyoming,56,Platte,031
ASDR3,United States,Wyoming,56,Sheridan,033
ASDR3,United States,Wyoming,56,Weston,045
