Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ASFA,United States,California,06,,
ASFA,United States,California,06,Alameda,001
ASFA,United States,California,06,Alpine,003
ASFA,United States,California,06,Amador,005
ASFA,United States,California,06,Butte,007
ASFA,United States,California,06,Calaveras,009
ASFA,United States,California,06,Colusa,011
ASFA,United States,California,06,Contra Costa,013
ASFA,United States,California,06,Fresno,019
ASFA,United States,California,06,Glenn,021
ASFA,United States,California,06,Humboldt,023
ASFA,United States,California,06,Inyo,027
ASFA,United States,California,06,Kern,029
ASFA,United States,California,06,Lake,033
ASFA,United States,California,06,Lassen,035
ASFA,United States,California,06,Los Angeles,037
ASFA,United States,California,06,Madera,039
ASFA,United States,California,06,Marin,041
ASFA,United States,California,06,Mariposa,043
ASFA,United States,California,06,Mendocino,045
ASFA,United States,California,06,Merced,047
ASFA,United States,California,06,Modoc,049
ASFA,United States,California,06,Mono,051
ASFA,United States,California,06,Monterey,053
ASFA,United States,California,06,Napa,055
ASFA,United States,California,06,Nevada,057
ASFA,United States,California,06,Orange,059
ASFA,United States,California,06,Plumas,063
ASFA,United States,California,06,Riverside,065
ASFA,United States,California,06,Sacramento,067
ASFA,United States,California,06,San Benito,069
ASFA,United States,California,06,San Bernardino,071
ASFA,United States,California,06,San Diego,073
ASFA,United States,California,06,San Joaquin,077
ASFA,United States,California,06,San Luis Obispo,079
ASFA,United States,California,06,San Mateo,081
ASFA,United States,California,06,Santa Barbara,083
ASFA,United States,California,06,Santa Clara,085
ASFA,United States,California,06,Santa Cruz,087
ASFA,United States,California,06,Shasta,089
ASFA,United States,California,06,Siskiyou,093
ASFA,United States,California,06,Solano,095
ASFA,United States,California,06,Sonoma,097
ASFA,United States,California,06,Stanislaus,099
ASFA,United States,California,06,Tehama,103
ASFA,United States,California,06,Trinity,105
ASFA,United States,California,06,Tulare,107
ASFA,United States,California,06,Tuolumne,109
ASFA,United States,California,06,Ventura,111
ASFA,United States,California,06,Yolo,113
ASFA,United States,Idaho,16,,
ASFA,United States,Idaho,16,Ada,001
ASFA,United States,Idaho,16,Adams,003
ASFA,United States,Idaho,16,Blaine,013
ASFA,United States,Idaho,16,Boise,015
ASFA,United States,Idaho,16,Gem,045
ASFA,United States,Idaho,16,Gooding,047
ASFA,United States,Idaho,16,Idaho,049
ASFA,United States,Idaho,16,Kootenai,055
ASFA,United States,Idaho,16,Nez Perce,069
ASFA,United States,Idaho,16,Oneida,071
ASFA,United States,Idaho,16,Owyhee,073
ASFA,United States,Idaho,16,Washington,087
ASFA,United States,Nevada,32,,
ASFA,United States,Nevada,32,Carson City,510
ASFA,United States,Nevada,32,Churchill,001
ASFA,United States,Nevada,32,Douglas,005
ASFA,United States,Nevada,32,Elko,007
ASFA,United States,Nevada,32,Lander,015
ASFA,United States,Nevada,32,Lyon,019
ASFA,United States,Nevada,32,Mineral,021
ASFA,United States,Nevada,32,Nye,023
ASFA,United States,Nevada,32,Pershing,027
ASFA,United States,Nevada,32,Storey,029
ASFA,United States,Nevada,32,Washoe,031
ASFA,United States,Oregon,41,,
ASFA,United States,Oregon,41,Benton,003
ASFA,United States,Oregon,41,Curry,015
ASFA,United States,Oregon,41,Douglas,019
ASFA,United States,Oregon,41,Grant,023
ASFA,United States,Oregon,41,Harney,025
ASFA,United States,Oregon,41,Hood River,027
ASFA,United States,Oregon,41,Jackson,029
ASFA,United States,Oregon,41,Jefferson,031
ASFA,United States,Oregon,41,Josephine,033
ASFA,United States,Oregon,41,Klamath,035
ASFA,United States,Oregon,41,Lane,039
ASFA,United States,Oregon,41,Marion,047
ASFA,United States,Oregon,41,Polk,053
ASFA,United States,Oregon,41,Sherman,055
ASFA,United States,Oregon,41,Umatilla,059
ASFA,United States,Oregon,41,Union,061
ASFA,United States,Oregon,41,Wallowa,063
ASFA,United States,Oregon,41,Wasco,065
ASFA,United States,Oregon,41,Wheeler,069
ASFA,United States,Utah,49,,
ASFA,United States,Utah,49,Davis,011
ASFA,United States,Utah,49,Kane,025
ASFA,United States,Utah,49,Utah,049
ASFA,United States,Washington,53,,
ASFA,United States,Washington,53,Asotin,003
ASFA,United States,Washington,53,Klickitat,039
ASFA,United States,Washington,53,Spokane,063
ASFA,United States,Washington,53,Whitman,075
ASFA,United States,Washington,53,Yakima,077
