Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ATLEL,United States,Arizona,04,,
ATLEL,United States,Arizona,04,Coconino,005
ATLEL,United States,Arizona,04,La Paz,012
ATLEL,United States,Arizona,04,Maricopa,013
ATLEL,United States,Arizona,04,Mohave,015
ATLEL,United States,Arizona,04,Pima,019
ATLEL,United States,Arizona,04,Yavapai,025
ATLEL,United States,Arizona,04,Yuma,027
ATLEL,United States,California,06,,
ATLEL,United States,California,06,Butte,007
ATLEL,United States,California,06,Fresno,019
ATLEL,United States,California,06,Glenn,021
ATLEL,United States,California,06,Imperial,025
ATLEL,United States,California,06,Inyo,027
ATLEL,United States,California,06,Kern,029
ATLEL,United States,California,06,Los Angeles,037
ATLEL,United States,California,06,Merced,047
ATLEL,United States,California,06,Mono,051
ATLEL,United States,California,06,Monterey,053
ATLEL,United States,California,06,Orange,059
ATLEL,United States,California,06,Riverside,065
ATLEL,United States,California,06,San Benito,069
ATLEL,United States,California,06,San Bernardino,071
ATLEL,United States,California,06,San Diego,073
ATLEL,United States,California,06,San Luis Obispo,079
ATLEL,United States,California,06,Santa Barbara,083
ATLEL,United States,California,06,Ventura,111
ATLEL,United States,Hawaii,15,,
ATLEL,United States,Hawaii,15,Honolulu,003
ATLEL,United States,Nevada,32,,
ATLEL,United States,Nevada,32,Clark,003
ATLEL,United States,Nevada,32,Lincoln,017
ATLEL,United States,Nevada,32,Nye,023
ATLEL,United States,Utah,49,,
ATLEL,United States,Utah,49,Washington,053
