Distribution Data
Symbol,Country,State,State FIP,County,County FIP
BAMO,United States,Alabama,01,,
BAMO,United States,Alabama,01,Baldwin,003
BAMO,United States,Alabama,01,Mobile,097
BAMO,United States,Arizona,04,,
BAMO,United States,California,06,,
BAMO,United States,California,06,Imperial,025
BAMO,United States,California,06,Riverside,065
BAMO,United States,California,06,San Diego,073
BAMO,United States,Florida,12,,
BAMO,United States,Florida,12,Bay,005
BAMO,United States,Florida,12,Bradford,007
BAMO,United States,Florida,12,Brevard,009
BAMO,United States,Florida,12,Broward,011
BAMO,United States,Florida,12,Charlotte,015
BAMO,United States,Florida,12,Citrus,017
BAMO,United States,Florida,12,Clay,019
BAMO,United States,Florida,12,Collier,021
BAMO,United States,Florida,12,Dixie,029
BAMO,United States,Florida,12,Duval,031
BAMO,United States,Florida,12,Escambia,033
BAMO,United States,Florida,12,Flagler,035
BAMO,United States,Florida,12,Franklin,037
BAMO,United States,Florida,12,Glades,043
BAMO,United States,Florida,12,Gulf,045
BAMO,United States,Florida,12,Hendry,051
BAMO,United States,Florida,12,Hernando,053
BAMO,United States,Florida,12,Highlands,055
BAMO,United States,Florida,12,Hillsborough,057
BAMO,United States,Florida,12,Indian River,061
BAMO,United States,Florida,12,Lake,069
BAMO,United States,Florida,12,Lee,071
BAMO,United States,Florida,12,Levy,075
BAMO,United States,Florida,12,Liberty,077
BAMO,United States,Florida,12,Manatee,081
BAMO,United States,Florida,12,Marion,083
BAMO,United States,Florida,12,Martin,085
BAMO,United States,Florida,12,Miami-Dade,086
BAMO,United States,Florida,12,Monroe,087
BAMO,United States,Florida,12,Nassau,089
BAMO,United States,Florida,12,Okaloosa,091
BAMO,United States,Florida,12,Okeechobee,093
BAMO,United States,Florida,12,Orange,095
BAMO,United States,Florida,12,Osceola,097
BAMO,United States,Florida,12,Palm Beach,099
BAMO,United States,Florida,12,Pasco,101
BAMO,United States,Florida,12,Pinellas,103
BAMO,United States,Florida,12,Polk,105
BAMO,United States,Florida,12,Putnam,107
BAMO,United States,Florida,12,Santa Rosa,113
BAMO,United States,Florida,12,Sarasota,115
BAMO,United States,Florida,12,Seminole,117
BAMO,United States,Florida,12,St. Johns,109
BAMO,United States,Florida,12,St. Lucie,111
BAMO,United States,Florida,12,Taylor,123
BAMO,United States,Florida,12,Volusia,127
BAMO,United States,Florida,12,Wakulla,129
BAMO,United States,Florida,12,Walton,131
BAMO,United States,Georgia,13,,
