Distribution Data
Symbol,Country,State,State FIP,County,County FIP
BASA3,Canada,Alberta,01,,
BASA3,Canada,British Columbia,02,,
BASA3,United States,Arizona,04,,
BASA3,United States,Arizona,04,Apache,001
BASA3,United States,California,06,,
BASA3,United States,California,06,Alpine,003
BASA3,United States,California,06,Amador,005
BASA3,United States,California,06,Butte,007
BASA3,United States,California,06,El Dorado,017
BASA3,United States,California,06,Inyo,027
BASA3,United States,California,06,Kern,029
BASA3,United States,California,06,Lassen,035
BASA3,United States,California,06,Modoc,049
BASA3,United States,California,06,Mono,051
BASA3,United States,California,06,Nevada,057
BASA3,United States,California,06,Placer,061
BASA3,United States,California,06,Plumas,063
BASA3,United States,California,06,Shasta,089
BASA3,United States,California,06,Sierra,091
BASA3,United States,California,06,Siskiyou,093
BASA3,United States,California,06,Tehama,103
BASA3,United States,California,06,Tulare,107
BASA3,United States,California,06,Tuolumne,109
BASA3,United States,Colorado,08,,
BASA3,United States,Colorado,08,Conejos,021
BASA3,United States,Colorado,08,Delta,029
BASA3,United States,Colorado,08,Dolores,033
BASA3,United States,Colorado,08,Eagle,037
BASA3,United States,Colorado,08,Garfield,045
BASA3,United States,Colorado,08,Grand,049
BASA3,United States,Colorado,08,Gunnison,051
BASA3,United States,Colorado,08,Jackson,057
BASA3,United States,Colorado,08,La Plata,067
BASA3,United States,Colorado,08,Mesa,077
BASA3,United States,Colorado,08,Moffat,081
BASA3,United States,Colorado,08,Montezuma,083
BASA3,United States,Colorado,08,Montrose,085
BASA3,United States,Colorado,08,Rio Blanco,103
BASA3,United States,Colorado,08,San Miguel,113
BASA3,United States,Colorado,08,Summit,117
BASA3,United States,Idaho,16,,
BASA3,United States,Idaho,16,Ada,001
BASA3,United States,Idaho,16,Adams,003
BASA3,United States,Idaho,16,Bannock,005
BASA3,United States,Idaho,16,Bear Lake,007
BASA3,United States,Idaho,16,Benewah,009
BASA3,United States,Idaho,16,Blaine,013
BASA3,United States,Idaho,16,Boise,015
BASA3,United States,Idaho,16,Bonner,017
BASA3,United States,Idaho,16,Bonneville,019
BASA3,United States,Idaho,16,Butte,023
BASA3,United States,Idaho,16,Canyon,027
BASA3,United States,Idaho,16,Caribou,029
BASA3,United States,Idaho,16,Clark,033
BASA3,United States,Idaho,16,Custer,037
BASA3,United States,Idaho,16,Elmore,039
BASA3,United States,Idaho,16,Fremont,043
BASA3,United States,Idaho,16,Gem,045
BASA3,United States,Idaho,16,Gooding,047
BASA3,United States,Idaho,16,Idaho,049
BASA3,United States,Idaho,16,Kootenai,055
BASA3,United States,Idaho,16,Latah,057
BASA3,United States,Idaho,16,Lemhi,059
BASA3,United States,Idaho,16,Lincoln,063
BASA3,United States,Idaho,16,Madison,065
BASA3,United States,Idaho,16,Nez Perce,069
BASA3,United States,Idaho,16,Owyhee,073
BASA3,United States,Idaho,16,Payette,075
BASA3,United States,Idaho,16,Shoshone,079
BASA3,United States,Idaho,16,Twin Falls,083
BASA3,United States,Idaho,16,Valley,085
BASA3,United States,Montana,30,,
BASA3,United States,Montana,30,Beaverhead,001
BASA3,United States,Montana,30,Big Horn,003
BASA3,United States,Montana,30,Broadwater,007
BASA3,United States,Montana,30,Carbon,009
BASA3,United States,Montana,30,Cascade,013
BASA3,United States,Montana,30,Chouteau,015
BASA3,United States,Montana,30,Custer,017
BASA3,United States,Montana,30,Fergus,027
BASA3,United States,Montana,30,Flathead,029
BASA3,United States,Montana,30,Gallatin,031
BASA3,United States,Montana,30,Glacier,035
BASA3,United States,Montana,30,Golden Valley,037
BASA3,United States,Montana,30,Jefferson,043
BASA3,United States,Montana,30,Lake,047
BASA3,United States,Montana,30,Lewis and Clark,049
BASA3,United States,Montana,30,Madison,057
BASA3,United States,Montana,30,Meagher,059
BASA3,United States,Montana,30,Missoula,063
BASA3,United States,Montana,30,Musselshell,065
BASA3,United States,Montana,30,Park,067
BASA3,United States,Montana,30,Phillips,071
BASA3,United States,Montana,30,Pondera,073
BASA3,United States,Montana,30,Powell,077
BASA3,United States,Montana,30,Ravalli,081
BASA3,United States,Montana,30,Rosebud,087
BASA3,United States,Montana,30,Stillwater,095
BASA3,United States,Montana,30,Sweet Grass,097
BASA3,United States,Montana,30,Teton,099
BASA3,United States,Montana,30,Treasure,103
BASA3,United States,Montana,30,Wheatland,107
BASA3,United States,Montana,30,Yellowstone,111
BASA3,United States,Nevada,32,,
BASA3,United States,Nevada,32,Carson City,510
BASA3,United States,Nevada,32,Douglas,005
BASA3,United States,Nevada,32,Elko,007
BASA3,United States,Nevada,32,Humboldt,013
BASA3,United States,Nevada,32,Lander,015
BASA3,United States,Nevada,32,Lincoln,017
BASA3,United States,Nevada,32,Nye,023
BASA3,United States,Nevada,32,Pershing,027
BASA3,United States,Nevada,32,Storey,029
BASA3,United States,Nevada,32,Washoe,031
BASA3,United States,Nevada,32,White Pine,033
BASA3,United States,North Dakota,38,,
BASA3,United States,Oregon,41,,
BASA3,United States,Oregon,41,Baker,001
BASA3,United States,Oregon,41,Crook,013
BASA3,United States,Oregon,41,Deschutes,017
BASA3,United States,Oregon,41,Gilliam,021
BASA3,United States,Oregon,41,Grant,023
BASA3,United States,Oregon,41,Harney,025
BASA3,United States,Oregon,41,Hood River,027
BASA3,United States,Oregon,41,Jackson,029
BASA3,United States,Oregon,41,Jefferson,031
BASA3,United States,Oregon,41,Josephine,033
BASA3,United States,Oregon,41,Klamath,035
BASA3,United States,Oregon,41,Lake,037
BASA3,United States,Oregon,41,Malheur,045
BASA3,United States,Oregon,41,Multnomah,051
BASA3,United States,Oregon,41,Sherman,055
BASA3,United States,Oregon,41,Umatilla,059
BASA3,United States,Oregon,41,Union,061
BASA3,United States,Oregon,41,Wallowa,063
BASA3,United States,Oregon,41,Wasco,065
BASA3,United States,South Dakota,46,,
BASA3,United States,South Dakota,46,Lawrence,081
BASA3,United States,South Dakota,46,Pennington,103
BASA3,United States,Utah,49,,
BASA3,United States,Utah,49,Beaver,001
BASA3,United States,Utah,49,Box Elder,003
BASA3,United States,Utah,49,Cache,005
BASA3,United States,Utah,49,Daggett,009
BASA3,United States,Utah,49,Davis,011
BASA3,United States,Utah,49,Duchesne,013
BASA3,United States,Utah,49,Emery,015
BASA3,United States,Utah,49,Garfield,017
BASA3,United States,Utah,49,Grand,019
BASA3,United States,Utah,49,Iron,021
BASA3,United States,Utah,49,Juab,023
BASA3,United States,Utah,49,Kane,025
BASA3,United States,Utah,49,Millard,027
BASA3,United States,Utah,49,Morgan,029
BASA3,United States,Utah,49,Salt Lake,035
BASA3,United States,Utah,49,San Juan,037
BASA3,United States,Utah,49,Sanpete,039
BASA3,United States,Utah,49,Sevier,041
BASA3,United States,Utah,49,Summit,043
BASA3,United States,Utah,49,Tooele,045
BASA3,United States,Utah,49,Uintah,047
BASA3,United States,Utah,49,Utah,049
BASA3,United States,Utah,49,Wasatch,051
BASA3,United States,Utah,49,Washington,053
BASA3,United States,Utah,49,Weber,057
BASA3,United States,Washington,53,,
BASA3,United States,Washington,53,Adams,001
BASA3,United States,Washington,53,Asotin,003
BASA3,United States,Washington,53,Chelan,007
BASA3,United States,Washington,53,Columbia,013
BASA3,United States,Washington,53,Douglas,017
BASA3,United States,Washington,53,Ferry,019
BASA3,United States,Washington,53,Garfield,023
BASA3,United States,Washington,53,Grant,025
BASA3,United States,Washington,53,Kittitas,037
BASA3,United States,Washington,53,Klickitat,039
BASA3,United States,Washington,53,Lincoln,043
BASA3,United States,Washington,53,Okanogan,047
BASA3,United States,Washington,53,Pend Oreille,051
BASA3,United States,Washington,53,Spokane,063
BASA3,United States,Washington,53,Stevens,065
BASA3,United States,Washington,53,Walla Walla,071
BASA3,United States,Washington,53,Whitman,075
BASA3,United States,Washington,53,Yakima,077
BASA3,United States,Wyoming,56,,
BASA3,United States,Wyoming,56,Albany,001
BASA3,United States,Wyoming,56,Big Horn,003
BASA3,United States,Wyoming,56,Campbell,005
BASA3,United States,Wyoming,56,Carbon,007
BASA3,United States,Wyoming,56,Converse,009
BASA3,United States,Wyoming,56,Crook,011
BASA3,United States,Wyoming,56,Fremont,013
BASA3,United States,Wyoming,56,Hot Springs,017
BASA3,United States,Wyoming,56,Johnson,019
BASA3,United States,Wyoming,56,Natrona,025
BASA3,United States,Wyoming,56,Park,029
BASA3,United States,Wyoming,56,Sheridan,033
BASA3,United States,Wyoming,56,Sublette,035
BASA3,United States,Wyoming,56,Sweetwater,037
BASA3,United States,Wyoming,56,Teton,039
