Distribution Data
Symbol,Country,State,State FIP,County,County FIP
BASA,United States,Colorado,08,,
BASA,United States,Colorado,08,Delta,029
BASA,United States,Colorado,08,Fremont,043
BASA,United States,Colorado,08,Mesa,077
BASA,United States,Colorado,08,Montrose,085
BASA,United States,Colorado,08,Pueblo,101
BASA,United States,Kansas,20,,
BASA,United States,Kansas,20,Barber,007
BASA,United States,Kansas,20,Barton,009
BASA,United States,Kansas,20,Clark,025
BASA,United States,Kansas,20,Comanche,033
BASA,United States,Kansas,20,Edwards,047
BASA,United States,Kansas,20,Finney,055
BASA,United States,Kansas,20,Ford,057
BASA,United States,Kansas,20,Grant,067
BASA,United States,Kansas,20,Gray,069
BASA,United States,Kansas,20,Hamilton,075
BASA,United States,Kansas,20,Harper,077
BASA,United States,Kansas,20,Haskell,081
BASA,United States,Kansas,20,Hodgeman,083
BASA,United States,Kansas,20,Kearny,093
BASA,United States,Kansas,20,Kingman,095
BASA,United States,Kansas,20,Kiowa,097
BASA,United States,Kansas,20,Lincoln,105
BASA,United States,Kansas,20,Meade,119
BASA,United States,Kansas,20,Morton,129
BASA,United States,Kansas,20,Pawnee,145
BASA,United States,Kansas,20,Pratt,151
BASA,United States,Kansas,20,Reno,155
BASA,United States,Kansas,20,Rice,159
BASA,United States,Kansas,20,Sedgwick,173
BASA,United States,Kansas,20,Seward,175
BASA,United States,Kansas,20,Sherman,181
BASA,United States,Kansas,20,Stafford,185
BASA,United States,Kansas,20,Stevens,189
BASA,United States,New Mexico,35,,
BASA,United States,New Mexico,35,Bernalillo,001
BASA,United States,New Mexico,35,Chaves,005
BASA,United States,New Mexico,35,De Baca,011
BASA,United States,New Mexico,35,Eddy,015
BASA,United States,New Mexico,35,Harding,021
BASA,United States,New Mexico,35,Los Alamos,028
BASA,United States,New Mexico,35,Quay,037
BASA,United States,New Mexico,35,Rio Arriba,039
BASA,United States,New Mexico,35,Roosevelt,041
BASA,United States,New Mexico,35,San Juan,045
BASA,United States,New Mexico,35,Sandoval,043
BASA,United States,New Mexico,35,Socorro,053
BASA,United States,New Mexico,35,Taos,055
BASA,United States,New Mexico,35,Valencia,061
BASA,United States,Oklahoma,40,,
BASA,United States,Oklahoma,40,Alfalfa,003
BASA,United States,Oklahoma,40,Beckham,009
BASA,United States,Oklahoma,40,Bryan,013
BASA,United States,Oklahoma,40,Caddo,015
BASA,United States,Oklahoma,40,Carter,019
BASA,United States,Oklahoma,40,Cleveland,027
BASA,United States,Oklahoma,40,Comanche,031
BASA,United States,Oklahoma,40,Cotton,033
BASA,United States,Oklahoma,40,Custer,039
BASA,United States,Oklahoma,40,Dewey,043
BASA,United States,Oklahoma,40,Grady,051
BASA,United States,Oklahoma,40,Greer,055
BASA,United States,Oklahoma,40,Harmon,057
BASA,United States,Oklahoma,40,Harper,059
BASA,United States,Oklahoma,40,Jackson,065
BASA,United States,Oklahoma,40,Jefferson,067
BASA,United States,Oklahoma,40,Kay,071
BASA,United States,Oklahoma,40,Logan,083
BASA,United States,Oklahoma,40,Major,093
BASA,United States,Oklahoma,40,McClain,087
BASA,United States,Oklahoma,40,McCurtain,089
BASA,United States,Oklahoma,40,Muskogee,101
BASA,United States,Oklahoma,40,Oklahoma,109
BASA,United States,Oklahoma,40,Payne,119
BASA,United States,Oklahoma,40,Roger Mills,129
BASA,United States,Oklahoma,40,Washita,149
BASA,United States,Oklahoma,40,Woods,151
BASA,United States,Oklahoma,40,Woodward,153
BASA,United States,Texas,48,,
BASA,United States,Texas,48,Armstrong,011
BASA,United States,Texas,48,Bailey,017
BASA,United States,Texas,48,Brewster,043
BASA,United States,Texas,48,Briscoe,045
BASA,United States,Texas,48,Brown,049
BASA,United States,Texas,48,Childress,075
BASA,United States,Texas,48,Clay,077
BASA,United States,Texas,48,Collingsworth,087
BASA,United States,Texas,48,Crockett,105
BASA,United States,Texas,48,Culberson,109
BASA,United States,Texas,48,Dickens,125
BASA,United States,Texas,48,Donley,129
BASA,United States,Texas,48,El Paso,141
BASA,United States,Texas,48,Foard,155
BASA,United States,Texas,48,Frio,163
BASA,United States,Texas,48,Garza,169
BASA,United States,Texas,48,Gray,179
BASA,United States,Texas,48,Hall,191
BASA,United States,Texas,48,Hardeman,197
BASA,United States,Texas,48,Hartley,205
BASA,United States,Texas,48,Hemphill,211
BASA,United States,Texas,48,Hutchinson,233
BASA,United States,Texas,48,Jeff Davis,243
BASA,United States,Texas,48,Kent,263
BASA,United States,Texas,48,King,269
BASA,United States,Texas,48,Knox,275
BASA,United States,Texas,48,Lipscomb,295
BASA,United States,Texas,48,Lubbock,303
BASA,United States,Texas,48,Maverick,323
BASA,United States,Texas,48,Mitchell,335
BASA,United States,Texas,48,Moore,341
BASA,United States,Texas,48,Motley,345
BASA,United States,Texas,48,Nolan,353
BASA,United States,Texas,48,Oldham,359
BASA,United States,Texas,48,Parmer,369
BASA,United States,Texas,48,Pecos,371
BASA,United States,Texas,48,Potter,375
BASA,United States,Texas,48,Presidio,377
BASA,United States,Texas,48,Randall,381
BASA,United States,Texas,48,Reeves,389
BASA,United States,Texas,48,Roberts,393
BASA,United States,Texas,48,San Saba,411
BASA,United States,Texas,48,Uvalde,463
BASA,United States,Texas,48,Val Verde,465
BASA,United States,Texas,48,Ward,475
BASA,United States,Texas,48,Wheeler,483
BASA,United States,Texas,48,Wichita,485
BASA,United States,Texas,48,Wilbarger,487
BASA,United States,Texas,48,Winkler,495
BASA,United States,Texas,48,Zavala,507
BASA,United States,Utah,49,,
BASA,United States,Utah,49,Emery,015
BASA,United States,Utah,49,Garfield,017
BASA,United States,Utah,49,Grand,019
BASA,United States,Utah,49,Kane,025
BASA,United States,Utah,49,San Juan,037
BASA,United States,Utah,49,Washington,053
BASA,United States,Utah,49,Wayne,055
