Distribution Data
Symbol,Country,State,State FIP,County,County FIP
CAINI5,United States,Arizona,04,,
CAINI5,United States,Arizona,04,Apache,001
CAINI5,United States,Arizona,04,Cochise,003
CAINI5,United States,Arizona,04,Mohave,015
CAINI5,United States,Arizona,04,Pima,019
CAINI5,United States,Arizona,04,Santa Cruz,023
CAINI5,United States,Colorado,08,,
CAINI5,United States,Colorado,08,Alamosa,003
CAINI5,United States,Colorado,08,Archuleta,007
CAINI5,United States,Colorado,08,Boulder,013
CAINI5,United States,Colorado,08,Chaffee,015
CAINI5,United States,Colorado,08,Conejos,021
CAINI5,United States,Colorado,08,Custer,027
CAINI5,United States,Colorado,08,Douglas,035
CAINI5,United States,Colorado,08,El Paso,041
CAINI5,United States,Colorado,08,Elbert,039
CAINI5,United States,Colorado,08,Hinsdale,053
CAINI5,United States,Colorado,08,Huerfano,055
CAINI5,United States,Colorado,08,Jefferson,059
CAINI5,United States,Colorado,08,La Plata,067
CAINI5,United States,Colorado,08,Lake,065
CAINI5,United States,Colorado,08,Las Animas,071
CAINI5,United States,Colorado,08,Mineral,079
CAINI5,United States,Colorado,08,Otero,089
CAINI5,United States,Colorado,08,Park,093
CAINI5,United States,Colorado,08,Pueblo,101
CAINI5,United States,Colorado,08,Rio Grande,105
CAINI5,United States,Colorado,08,Saguache,109
CAINI5,United States,Colorado,08,Teller,119
CAINI5,United States,New Mexico,35,,
CAINI5,United States,New Mexico,35,Bernalillo,001
CAINI5,United States,New Mexico,35,Catron,003
CAINI5,United States,New Mexico,35,Cibola,006
CAINI5,United States,New Mexico,35,Colfax,007
CAINI5,United States,New Mexico,35,De Baca,011
CAINI5,United States,New Mexico,35,Dona Ana,013
CAINI5,United States,New Mexico,35,Eddy,015
CAINI5,United States,New Mexico,35,Grant,017
CAINI5,United States,New Mexico,35,Guadalupe,019
CAINI5,United States,New Mexico,35,Harding,021
CAINI5,United States,New Mexico,35,Hidalgo,023
CAINI5,United States,New Mexico,35,Lincoln,027
CAINI5,United States,New Mexico,35,Los Alamos,028
CAINI5,United States,New Mexico,35,McKinley,031
CAINI5,United States,New Mexico,35,Mora,033
CAINI5,United States,New Mexico,35,Otero,035
CAINI5,United States,New Mexico,35,Quay,037
CAINI5,United States,New Mexico,35,Rio Arriba,039
CAINI5,United States,New Mexico,35,San Juan,045
CAINI5,United States,New Mexico,35,San Miguel,047
CAINI5,United States,New Mexico,35,Sandoval,043
CAINI5,United States,New Mexico,35,Santa Fe,049
CAINI5,United States,New Mexico,35,Sierra,051
CAINI5,United States,New Mexico,35,Socorro,053
CAINI5,United States,New Mexico,35,Taos,055
CAINI5,United States,New Mexico,35,Torrance,057
CAINI5,United States,New Mexico,35,Union,059
CAINI5,United States,New Mexico,35,Valencia,061
CAINI5,United States,Texas,48,,
CAINI5,United States,Texas,48,Brewster,043
CAINI5,United States,Texas,48,Culberson,109
CAINI5,United States,Texas,48,Deaf Smith,117
CAINI5,United States,Texas,48,DeWitt,123
CAINI5,United States,Texas,48,Ellis,139
CAINI5,United States,Texas,48,Hudspeth,229
CAINI5,United States,Texas,48,Jeff Davis,243
CAINI5,United States,Texas,48,McLennan,309
CAINI5,United States,Texas,48,Presidio,377
CAINI5,United States,Texas,48,Reeves,389
