Distribution Data
Symbol,Country,State,State FIP,County,County FIP
CECO,United States,California,06,,
CECO,United States,California,06,Alpine,003
CECO,United States,California,06,Amador,005
CECO,United States,California,06,Butte,007
CECO,United States,California,06,Calaveras,009
CECO,United States,California,06,Colusa,011
CECO,United States,California,06,El Dorado,017
CECO,United States,California,06,Fresno,019
CECO,United States,California,06,Glenn,021
CECO,United States,California,06,Humboldt,023
CECO,United States,California,06,Inyo,027
CECO,United States,California,06,Kern,029
CECO,United States,California,06,Lake,033
CECO,United States,California,06,Lassen,035
CECO,United States,California,06,Los Angeles,037
CECO,United States,California,06,Mariposa,043
CECO,United States,California,06,Mendocino,045
CECO,United States,California,06,Mono,051
CECO,United States,California,06,Nevada,057
CECO,United States,California,06,Placer,061
CECO,United States,California,06,Plumas,063
CECO,United States,California,06,Riverside,065
CECO,United States,California,06,San Bernardino,071
CECO,United States,California,06,Santa Barbara,083
CECO,United States,California,06,Shasta,089
CECO,United States,California,06,Sierra,091
CECO,United States,California,06,Siskiyou,093
CECO,United States,California,06,Tehama,103
CECO,United States,California,06,Trinity,105
CECO,United States,California,06,Tulare,107
CECO,United States,California,06,Tuolumne,109
CECO,United States,California,06,Ventura,111
CECO,United States,California,06,Yuba,115
CECO,United States,Nevada,32,,
CECO,United States,Nevada,32,Carson City,510
CECO,United States,Nevada,32,Douglas,005
CECO,United States,Nevada,32,Nye,023
CECO,United States,Nevada,32,Washoe,031
CECO,United States,Oregon,41,,
CECO,United States,Oregon,41,Coos,011
CECO,United States,Oregon,41,Curry,015
CECO,United States,Oregon,41,Douglas,019
CECO,United States,Oregon,41,Jackson,029
CECO,United States,Oregon,41,Josephine,033
CECO,United States,Oregon,41,Klamath,035
