Distribution Data
Symbol,Country,State,State FIP,County,County FIP
CELAT8,United States,Arkansas,05,,
CELAT8,United States,Illinois,17,,
CELAT8,United States,Illinois,17,Jackson,077
CELAT8,United States,Illinois,17,Pope,151
CELAT8,United States,Illinois,17,Union,181
CELAT8,United States,Kansas,20,,
CELAT8,United States,Missouri,29,,
CELAT8,United States,Missouri,29,Barry,009
CELAT8,United States,Missouri,29,Benton,015
CELAT8,United States,Missouri,29,Boone,019
CELAT8,United States,Missouri,29,Butler,023
CELAT8,United States,Missouri,29,Callaway,027
CELAT8,United States,Missouri,29,Camden,029
CELAT8,United States,Missouri,29,Carter,035
CELAT8,United States,Missouri,29,Cedar,039
CELAT8,United States,Missouri,29,Christian,043
CELAT8,United States,Missouri,29,Cole,051
CELAT8,United States,Missouri,29,Crawford,055
CELAT8,United States,Missouri,29,Dade,057
CELAT8,United States,Missouri,29,Dallas,059
CELAT8,United States,Missouri,29,Douglas,067
CELAT8,United States,Missouri,29,Greene,077
CELAT8,United States,Missouri,29,Jackson,095
CELAT8,United States,Missouri,29,Jasper,097
CELAT8,United States,Missouri,29,Laclede,105
CELAT8,United States,Missouri,29,Lawrence,109
CELAT8,United States,Missouri,29,Lincoln,113
CELAT8,United States,Missouri,29,McDonald,119
CELAT8,United States,Missouri,29,Miller,131
CELAT8,United States,Missouri,29,Moniteau,135
CELAT8,United States,Missouri,29,Montgomery,139
CELAT8,United States,Missouri,29,Newton,145
CELAT8,United States,Missouri,29,Oregon,149
CELAT8,United States,Missouri,29,Ozark,153
CELAT8,United States,Missouri,29,Perry,157
CELAT8,United States,Missouri,29,Pettis,159
CELAT8,United States,Missouri,29,Pike,163
CELAT8,United States,Missouri,29,Polk,167
CELAT8,United States,Missouri,29,Pulaski,169
CELAT8,United States,Missouri,29,Reynolds,179
CELAT8,United States,Missouri,29,Shannon,203
CELAT8,United States,Missouri,29,St. Charles,183
CELAT8,United States,Missouri,29,St. Clair,185
CELAT8,United States,Missouri,29,Stoddard,207
CELAT8,United States,Missouri,29,Stone,209
CELAT8,United States,Missouri,29,Taney,213
CELAT8,United States,Missouri,29,Wayne,223
CELAT8,United States,New Mexico,35,,
CELAT8,United States,Oklahoma,40,,
CELAT8,United States,Oklahoma,40,Atoka,005
CELAT8,United States,Oklahoma,40,Blaine,011
CELAT8,United States,Oklahoma,40,Caddo,015
CELAT8,United States,Oklahoma,40,Canadian,017
CELAT8,United States,Oklahoma,40,Carter,019
CELAT8,United States,Oklahoma,40,Cherokee,021
CELAT8,United States,Oklahoma,40,Cleveland,027
CELAT8,United States,Oklahoma,40,Comanche,031
CELAT8,United States,Oklahoma,40,Custer,039
CELAT8,United States,Oklahoma,40,Garvin,049
CELAT8,United States,Oklahoma,40,Grady,051
CELAT8,United States,Oklahoma,40,Jackson,065
CELAT8,United States,Oklahoma,40,Johnston,069
CELAT8,United States,Oklahoma,40,Kingfisher,073
CELAT8,United States,Oklahoma,40,Le Flore,079
CELAT8,United States,Oklahoma,40,Logan,083
CELAT8,United States,Oklahoma,40,Love,085
CELAT8,United States,Oklahoma,40,Marshall,095
CELAT8,United States,Oklahoma,40,Murray,099
CELAT8,United States,Oklahoma,40,Osage,113
CELAT8,United States,Oklahoma,40,Pawnee,117
CELAT8,United States,Oklahoma,40,Payne,119
CELAT8,United States,Oklahoma,40,Pushmataha,127
CELAT8,United States,Oklahoma,40,Roger Mills,129
CELAT8,United States,Oklahoma,40,Tulsa,143
CELAT8,United States,Oklahoma,40,Washita,149
CELAT8,United States,Oklahoma,40,Woodward,153
CELAT8,United States,Texas,48,,
