Distribution Data
Symbol,Country,State,State FIP,County,County FIP
CESA,Canada,British Columbia,02,,
CESA,United States,California,06,,
CESA,United States,California,06,Siskiyou,093
CESA,United States,California,06,Trinity,105
CESA,United States,Idaho,16,,
CESA,United States,Idaho,16,Benewah,009
CESA,United States,Idaho,16,Blaine,013
CESA,United States,Idaho,16,Boise,015
CESA,United States,Idaho,16,Bonner,017
CESA,United States,Idaho,16,Boundary,021
CESA,United States,Idaho,16,Butte,023
CESA,United States,Idaho,16,Clearwater,035
CESA,United States,Idaho,16,Idaho,049
CESA,United States,Idaho,16,Kootenai,055
CESA,United States,Idaho,16,Latah,057
CESA,United States,Idaho,16,Nez Perce,069
CESA,United States,Idaho,16,Owyhee,073
CESA,United States,Idaho,16,Shoshone,079
CESA,United States,Idaho,16,Valley,085
CESA,United States,Michigan,26,,
CESA,United States,Michigan,26,Keweenaw,083
CESA,United States,Montana,30,,
CESA,United States,Montana,30,Flathead,029
CESA,United States,Montana,30,Lake,047
CESA,United States,Montana,30,Lincoln,053
CESA,United States,Montana,30,Sanders,089
CESA,United States,Oregon,41,,
CESA,United States,Oregon,41,Benton,003
CESA,United States,Oregon,41,Clackamas,005
CESA,United States,Oregon,41,Columbia,009
CESA,United States,Oregon,41,Crook,013
CESA,United States,Oregon,41,Douglas,019
CESA,United States,Oregon,41,Grant,023
CESA,United States,Oregon,41,Hood River,027
CESA,United States,Oregon,41,Jackson,029
CESA,United States,Oregon,41,Jefferson,031
CESA,United States,Oregon,41,Josephine,033
CESA,United States,Oregon,41,Klamath,035
CESA,United States,Oregon,41,Lane,039
CESA,United States,Oregon,41,Linn,043
CESA,United States,Oregon,41,Marion,047
CESA,United States,Oregon,41,Multnomah,051
CESA,United States,Oregon,41,Polk,053
CESA,United States,Oregon,41,Umatilla,059
CESA,United States,Oregon,41,Union,061
CESA,United States,Oregon,41,Wallowa,063
CESA,United States,Oregon,41,Wasco,065
CESA,United States,Oregon,41,Washington,067
CESA,United States,Oregon,41,Yamhill,071
CESA,United States,South Dakota,46,,
CESA,United States,Washington,53,,
CESA,United States,Washington,53,Chelan,007
CESA,United States,Washington,53,Clallam,009
CESA,United States,Washington,53,Clark,011
CESA,United States,Washington,53,Columbia,013
CESA,United States,Washington,53,Cowlitz,015
CESA,United States,Washington,53,Ferry,019
CESA,United States,Washington,53,Garfield,023
CESA,United States,Washington,53,Grays Harbor,027
CESA,United States,Washington,53,King,033
CESA,United States,Washington,53,Kittitas,037
CESA,United States,Washington,53,Klickitat,039
CESA,United States,Washington,53,Lewis,041
CESA,United States,Washington,53,Mason,045
CESA,United States,Washington,53,Okanogan,047
CESA,United States,Washington,53,Pend Oreille,051
CESA,United States,Washington,53,Pierce,053
CESA,United States,Washington,53,Skagit,057
CESA,United States,Washington,53,Skamania,059
CESA,United States,Washington,53,Spokane,063
CESA,United States,Washington,53,Stevens,065
CESA,United States,Washington,53,Thurston,067
CESA,United States,Washington,53,Wahkiakum,069
CESA,United States,Washington,53,Walla Walla,071
CESA,United States,Washington,53,Whatcom,073
CESA,United States,Washington,53,Whitman,075
CESA,United States,Washington,53,Yakima,077
