Distribution Data
Symbol,Country,State,State FIP,County,County FIP
CHAL8,United States,Florida,12,,
CHAL8,United States,Florida,12,Brevard,009
CHAL8,United States,Florida,12,Broward,011
CHAL8,United States,Florida,12,Charlotte,015
CHAL8,United States,Florida,12,Citrus,017
CHAL8,United States,Florida,12,Collier,021
CHAL8,United States,Florida,12,Dixie,029
CHAL8,United States,Florida,12,Duval,031
CHAL8,United States,Florida,12,Flagler,035
CHAL8,United States,Florida,12,Indian River,061
CHAL8,United States,Florida,12,Lee,071
CHAL8,United States,Florida,12,Levy,075
CHAL8,United States,Florida,12,Manatee,081
CHAL8,United States,Florida,12,Martin,085
CHAL8,United States,Florida,12,Miami-Dade,086
CHAL8,United States,Florida,12,Monroe,087
CHAL8,United States,Florida,12,Palm Beach,099
CHAL8,United States,Florida,12,Pasco,101
CHAL8,United States,Florida,12,Pinellas,103
CHAL8,United States,Florida,12,Polk,105
CHAL8,United States,Florida,12,Sarasota,115
CHAL8,United States,Florida,12,St. Johns,109
CHAL8,United States,Florida,12,St. Lucie,111
CHAL8,United States,Florida,12,Volusia,127
CHAL8,United States,Texas,48,,
CHAL8,United States,Texas,48,Cameron,061
CHAL8,United States,Texas,48,Hidalgo,215
CHAL8,United States,Puerto Rico,72,,
CHAL8,United States,Virgin Islands,78,,
