Distribution Data
Symbol,Country,State,State FIP,County,County FIP
CIPI,Canada,Ontario,08,,
CIPI,United States,Illinois,17,,
CIPI,United States,Illinois,17,Cook,031
CIPI,United States,Illinois,17,Lake,097
CIPI,United States,Indiana,18,,
CIPI,United States,Indiana,18,Lake,089
CIPI,United States,Indiana,18,Porter,127
CIPI,United States,Michigan,26,,
CIPI,United States,Michigan,26,Alcona,001
CIPI,United States,Michigan,26,Alger,003
CIPI,United States,Michigan,26,Allegan,005
CIPI,United States,Michigan,26,Alpena,007
CIPI,United States,Michigan,26,Antrim,009
CIPI,United States,Michigan,26,Arenac,011
CIPI,United States,Michigan,26,Benzie,019
CIPI,United States,Michigan,26,Berrien,021
CIPI,United States,Michigan,26,Charlevoix,029
CIPI,United States,Michigan,26,Cheboygan,031
CIPI,United States,Michigan,26,Chippewa,033
CIPI,United States,Michigan,26,Delta,041
CIPI,United States,Michigan,26,Emmet,047
CIPI,United States,Michigan,26,Grand Traverse,055
CIPI,United States,Michigan,26,Huron,063
CIPI,United States,Michigan,26,Iosco,069
CIPI,United States,Michigan,26,Leelanau,089
CIPI,United States,Michigan,26,Mackinac,097
CIPI,United States,Michigan,26,Manistee,101
CIPI,United States,Michigan,26,Mason,105
CIPI,United States,Michigan,26,Muskegon,121
CIPI,United States,Michigan,26,Oceana,127
CIPI,United States,Michigan,26,Ottawa,139
CIPI,United States,Michigan,26,Presque Isle,141
CIPI,United States,Michigan,26,Schoolcraft,153
CIPI,United States,Michigan,26,Van Buren,159
CIPI,United States,Wisconsin,55,,
CIPI,United States,Wisconsin,55,Door,029
CIPI,United States,Wisconsin,55,Douglas,031
CIPI,United States,Wisconsin,55,Manitowoc,071
CIPI,United States,Wisconsin,55,Sheboygan,117
