Distribution Data
Symbol,Country,State,State FIP,County,County FIP
COFIF,United States,California,06,,
COFIF,United States,California,06,Alameda,001
COFIF,United States,California,06,Fresno,019
COFIF,United States,California,06,Inyo,027
COFIF,United States,California,06,Kern,029
COFIF,United States,California,06,Los Angeles,037
COFIF,United States,California,06,Madera,039
COFIF,United States,California,06,Mariposa,043
COFIF,United States,California,06,Merced,047
COFIF,United States,California,06,Monterey,053
COFIF,United States,California,06,Orange,059
COFIF,United States,California,06,Riverside,065
COFIF,United States,California,06,San Benito,069
COFIF,United States,California,06,San Bernardino,071
COFIF,United States,California,06,San Diego,073
COFIF,United States,California,06,San Francisco,075
COFIF,United States,California,06,San Joaquin,077
COFIF,United States,California,06,San Luis Obispo,079
COFIF,United States,California,06,San Mateo,081
COFIF,United States,California,06,Santa Barbara,083
COFIF,United States,California,06,Santa Clara,085
COFIF,United States,California,06,Santa Cruz,087
COFIF,United States,California,06,Tulare,107
COFIF,United States,California,06,Tuolumne,109
COFIF,United States,California,06,Ventura,111
