Distribution Data
Symbol,Country,State,State FIP,County,County FIP
DILAO2,Canada,British Columbia,02,,
DILAO2,United States,Alaska,02,,
DILAO2,United States,Alaska,02,Anchorage,020
DILAO2,United States,Alaska,02,Bethel,050
DILAO2,United States,Alaska,02,Chugach,063
DILAO2,United States,Alaska,02,Copper River,066
DILAO2,United States,Alaska,02,Denali,068
DILAO2,United States,Alaska,02,Fairbanks North Star,090
DILAO2,United States,Alaska,02,Kenai Peninsula,122
DILAO2,United States,Alaska,02,Lake and Peninsula,164
DILAO2,United States,Alaska,02,Nome,180
DILAO2,United States,Alaska,02,North Slope,185
DILAO2,United States,Alaska,02,Southeast Fairbanks,240
DILAO2,United States,Alaska,02,Yakutat,282
DILAO2,Canada,Yukon,12,,
DILAO2,Canada,Northwest Territories,13,,
