Distribution Data
Symbol,Country,State,State FIP,County,County FIP
DIUN,Canada,British Columbia,02,,
DIUN,United States,California,06,,
DIUN,United States,California,06,Alpine,003
DIUN,United States,California,06,Butte,007
DIUN,United States,California,06,Colusa,011
DIUN,United States,California,06,El Dorado,017
DIUN,United States,California,06,Fresno,019
DIUN,United States,California,06,Glenn,021
DIUN,United States,California,06,Humboldt,023
DIUN,United States,California,06,Lake,033
DIUN,United States,California,06,Lassen,035
DIUN,United States,California,06,Mendocino,045
DIUN,United States,California,06,Modoc,049
DIUN,United States,California,06,Mono,051
DIUN,United States,California,06,Nevada,057
DIUN,United States,California,06,Placer,061
DIUN,United States,California,06,Plumas,063
DIUN,United States,California,06,Shasta,089
DIUN,United States,California,06,Sierra,091
DIUN,United States,California,06,Siskiyou,093
DIUN,United States,California,06,Tehama,103
DIUN,United States,California,06,Trinity,105
DIUN,United States,California,06,Tulare,107
DIUN,United States,California,06,Tuolumne,109
DIUN,United States,Colorado,08,,
DIUN,United States,Idaho,16,,
DIUN,United States,Idaho,16,Bannock,005
DIUN,United States,Idaho,16,Blaine,013
DIUN,United States,Idaho,16,Boise,015
DIUN,United States,Idaho,16,Bonneville,019
DIUN,United States,Idaho,16,Butte,023
DIUN,United States,Idaho,16,Caribou,029
DIUN,United States,Idaho,16,Cassia,031
DIUN,United States,Idaho,16,Custer,037
DIUN,United States,Idaho,16,Elmore,039
DIUN,United States,Idaho,16,Fremont,043
DIUN,United States,Idaho,16,Kootenai,055
DIUN,United States,Idaho,16,Latah,057
DIUN,United States,Idaho,16,Owyhee,073
DIUN,United States,Idaho,16,Teton,081
DIUN,United States,Idaho,16,Washington,087
DIUN,United States,Montana,30,,
DIUN,United States,Montana,30,Gallatin,031
DIUN,United States,Montana,30,Park,067
DIUN,United States,Nevada,32,,
DIUN,United States,Nevada,32,Humboldt,013
DIUN,United States,Nevada,32,Washoe,031
DIUN,United States,Oregon,41,,
DIUN,United States,Oregon,41,Baker,001
DIUN,United States,Oregon,41,Deschutes,017
DIUN,United States,Oregon,41,Douglas,019
DIUN,United States,Oregon,41,Grant,023
DIUN,United States,Oregon,41,Harney,025
DIUN,United States,Oregon,41,Hood River,027
DIUN,United States,Oregon,41,Jackson,029
DIUN,United States,Oregon,41,Josephine,033
DIUN,United States,Oregon,41,Klamath,035
DIUN,United States,Oregon,41,Lake,037
DIUN,United States,Oregon,41,Lane,039
DIUN,United States,Oregon,41,Linn,043
DIUN,United States,Oregon,41,Marion,047
DIUN,United States,Oregon,41,Umatilla,059
DIUN,United States,Oregon,41,Wallowa,063
DIUN,United States,Utah,49,,
DIUN,United States,Utah,49,Box Elder,003
DIUN,United States,Utah,49,Cache,005
DIUN,United States,Utah,49,Millard,027
DIUN,United States,Utah,49,Salt Lake,035
DIUN,United States,Utah,49,Summit,043
DIUN,United States,Utah,49,Tooele,045
DIUN,United States,Utah,49,Utah,049
DIUN,United States,Utah,49,Wasatch,051
DIUN,United States,Washington,53,,
DIUN,United States,Washington,53,Asotin,003
DIUN,United States,Washington,53,Chelan,007
DIUN,United States,Washington,53,Columbia,013
DIUN,United States,Washington,53,Ferry,019
DIUN,United States,Washington,53,Kittitas,037
DIUN,United States,Washington,53,Klickitat,039
DIUN,United States,Washington,53,Pend Oreille,051
DIUN,United States,Washington,53,Yakima,077
DIUN,United States,Wyoming,56,,
DIUN,United States,Wyoming,56,Big Horn,003
DIUN,United States,Wyoming,56,Lincoln,023
DIUN,United States,Wyoming,56,Park,029
DIUN,United States,Wyoming,56,Teton,039
