Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ECANS,United States,Kansas,20,,
ECANS,United States,Kansas,20,Butler,015
ECANS,United States,Kansas,20,Harvey,079
ECANS,United States,Kansas,20,Sumner,191
ECANS,United States,Louisiana,22,,
ECANS,United States,Oklahoma,40,,
ECANS,United States,Oklahoma,40,Blaine,011
ECANS,United States,Oklahoma,40,Bryan,013
ECANS,United States,Oklahoma,40,Cleveland,027
ECANS,United States,Oklahoma,40,Custer,039
ECANS,United States,Oklahoma,40,Grady,051
ECANS,United States,Oklahoma,40,Grant,053
ECANS,United States,Oklahoma,40,Harper,059
ECANS,United States,Oklahoma,40,Kingfisher,073
ECANS,United States,Oklahoma,40,Le Flore,079
ECANS,United States,Oklahoma,40,Logan,083
ECANS,United States,Oklahoma,40,McClain,087
ECANS,United States,Oklahoma,40,Murray,099
ECANS,United States,Oklahoma,40,Oklahoma,109
ECANS,United States,Oklahoma,40,Payne,119
ECANS,United States,Oklahoma,40,Roger Mills,129
ECANS,United States,Oklahoma,40,Seminole,133
ECANS,United States,Oklahoma,40,Stephens,137
ECANS,United States,Oklahoma,40,Washita,149
ECANS,United States,Oklahoma,40,Woods,151
ECANS,United States,Texas,48,,
