Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ERAB2,United States,Arizona,04,,
ERAB2,United States,Arizona,04,Cochise,003
ERAB2,United States,Arizona,04,Coconino,005
ERAB2,United States,Arizona,04,Gila,007
ERAB2,United States,Arizona,04,Graham,009
ERAB2,United States,Arizona,04,Greenlee,011
ERAB2,United States,Arizona,04,La Paz,012
ERAB2,United States,Arizona,04,Maricopa,013
ERAB2,United States,Arizona,04,Pima,019
ERAB2,United States,Arizona,04,Pinal,021
ERAB2,United States,Arizona,04,Santa Cruz,023
ERAB2,United States,Arizona,04,Yavapai,025
ERAB2,United States,New Mexico,35,,
ERAB2,United States,New Mexico,35,Bernalillo,001
ERAB2,United States,New Mexico,35,Catron,003
ERAB2,United States,New Mexico,35,Dona Ana,013
ERAB2,United States,New Mexico,35,Eddy,015
ERAB2,United States,New Mexico,35,Grant,017
ERAB2,United States,New Mexico,35,Hidalgo,023
ERAB2,United States,New Mexico,35,Lincoln,027
ERAB2,United States,New Mexico,35,Luna,029
ERAB2,United States,New Mexico,35,Otero,035
ERAB2,United States,New Mexico,35,Sandoval,043
ERAB2,United States,New Mexico,35,Santa Fe,049
ERAB2,United States,New Mexico,35,Sierra,051
ERAB2,United States,New Mexico,35,Socorro,053
ERAB2,United States,Texas,48,,
ERAB2,United States,Texas,48,Atascosa,013
ERAB2,United States,Texas,48,Brewster,043
ERAB2,United States,Texas,48,Crane,103
ERAB2,United States,Texas,48,Culberson,109
ERAB2,United States,Texas,48,Ector,135
ERAB2,United States,Texas,48,El Paso,141
ERAB2,United States,Texas,48,Ellis,139
ERAB2,United States,Texas,48,Howard,227
ERAB2,United States,Texas,48,Hudspeth,229
ERAB2,United States,Texas,48,Jeff Davis,243
ERAB2,United States,Texas,48,Loving,301
ERAB2,United States,Texas,48,Midland,329
ERAB2,United States,Texas,48,Pecos,371
ERAB2,United States,Texas,48,Presidio,377
ERAB2,United States,Texas,48,Reeves,389
ERAB2,United States,Texas,48,Ward,475
ERAB2,United States,Texas,48,Winkler,495
