Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ERWRW,United States,Arizona,04,,
ERWRW,United States,Arizona,04,Apache,001
ERWRW,United States,Arizona,04,Cochise,003
ERWRW,United States,Arizona,04,Coconino,005
ERWRW,United States,Arizona,04,Gila,007
ERWRW,United States,Arizona,04,Graham,009
ERWRW,United States,Arizona,04,Greenlee,011
ERWRW,United States,Arizona,04,Maricopa,013
ERWRW,United States,Arizona,04,Mohave,015
ERWRW,United States,Arizona,04,Navajo,017
ERWRW,United States,Arizona,04,Pima,019
ERWRW,United States,Arizona,04,Pinal,021
ERWRW,United States,Arizona,04,Santa Cruz,023
ERWRW,United States,Arizona,04,Yavapai,025
ERWRW,United States,California,06,,
ERWRW,United States,California,06,Inyo,027
ERWRW,United States,California,06,San Bernardino,071
ERWRW,United States,Nevada,32,,
ERWRW,United States,Nevada,32,Clark,003
ERWRW,United States,New Mexico,35,,
ERWRW,United States,New Mexico,35,Bernalillo,001
ERWRW,United States,New Mexico,35,Catron,003
ERWRW,United States,New Mexico,35,Dona Ana,013
ERWRW,United States,New Mexico,35,Grant,017
ERWRW,United States,New Mexico,35,Hidalgo,023
ERWRW,United States,New Mexico,35,Lincoln,027
ERWRW,United States,New Mexico,35,Luna,029
ERWRW,United States,New Mexico,35,San Miguel,047
ERWRW,United States,New Mexico,35,Sierra,051
ERWRW,United States,New Mexico,35,Socorro,053
ERWRW,United States,New Mexico,35,Taos,055
ERWRW,United States,New Mexico,35,Torrance,057
ERWRW,United States,Texas,48,,
ERWRW,United States,Texas,48,Brewster,043
ERWRW,United States,Texas,48,Culberson,109
ERWRW,United States,Texas,48,El Paso,141
ERWRW,United States,Texas,48,Ellis,139
ERWRW,United States,Texas,48,Hudspeth,229
ERWRW,United States,Texas,48,Jeff Davis,243
ERWRW,United States,Texas,48,Pecos,371
ERWRW,United States,Texas,48,Presidio,377
ERWRW,United States,Utah,49,,
ERWRW,United States,Utah,49,Washington,053
