Distribution Data
Symbol,Country,State,State FIP,County,County FIP
EUAX,United States,Florida,12,,
EUAX,United States,Florida,12,Brevard,009
EUAX,United States,Florida,12,Broward,011
EUAX,United States,Florida,12,Charlotte,015
EUAX,United States,Florida,12,Citrus,017
EUAX,United States,Florida,12,Collier,021
EUAX,United States,Florida,12,Hendry,051
EUAX,United States,Florida,12,Indian River,061
EUAX,United States,Florida,12,Lee,071
EUAX,United States,Florida,12,Levy,075
EUAX,United States,Florida,12,Manatee,081
EUAX,United States,Florida,12,Martin,085
EUAX,United States,Florida,12,Miami-Dade,086
EUAX,United States,Florida,12,Monroe,087
EUAX,United States,Florida,12,Osceola,097
EUAX,United States,Florida,12,Palm Beach,099
EUAX,United States,Florida,12,Pinellas,103
EUAX,United States,Florida,12,Sarasota,115
EUAX,United States,Florida,12,St. Lucie,111
EUAX,United States,Florida,12,Volusia,127
EUAX,United States,Puerto Rico,72,,
EUAX,United States,Virgin Islands,78,,
EUAX,United States,Navassa Island,NI,,
