Distribution Data
Symbol,Country,State,State FIP,County,County FIP
GAAR,Canada,Alberta,01,,
GAAR,Canada,British Columbia,02,,
GAAR,Canada,Manitoba,03,,
GAAR,United States,Arizona,04,,
GAAR,United States,California,06,,
GAAR,United States,California,06,Kern,029
GAAR,United States,California,06,Nevada,057
GAAR,United States,California,06,Santa Barbara,083
GAAR,Canada,Ontario,08,,
GAAR,United States,Colorado,08,,
GAAR,United States,Colorado,08,Baca,009
GAAR,United States,Colorado,08,Boulder,013
GAAR,United States,Colorado,08,Clear Creek,019
GAAR,United States,Colorado,08,Costilla,023
GAAR,United States,Colorado,08,Custer,027
GAAR,United States,Colorado,08,Eagle,037
GAAR,United States,Colorado,08,El Paso,041
GAAR,United States,Colorado,08,Fremont,043
GAAR,United States,Colorado,08,Gilpin,047
GAAR,United States,Colorado,08,Grand,049
GAAR,United States,Colorado,08,Gunnison,051
GAAR,United States,Colorado,08,Huerfano,055
GAAR,United States,Colorado,08,Jefferson,059
GAAR,United States,Colorado,08,Larimer,069
GAAR,United States,Colorado,08,Las Animas,071
GAAR,United States,Colorado,08,Moffat,081
GAAR,United States,Colorado,08,Rio Blanco,103
GAAR,United States,Colorado,08,Routt,107
GAAR,United States,Connecticut,09,,
GAAR,United States,Connecticut,09,Fairfield,001
GAAR,Canada,Quebec,10,,
GAAR,Canada,Saskatchewan,11,,
GAAR,Canada,Yukon,12,,
GAAR,Canada,Northwest Territories,13,,
GAAR,United States,Idaho,16,,
GAAR,United States,Idaho,16,Adams,003
GAAR,United States,Idaho,16,Boise,015
GAAR,United States,Idaho,16,Bonner,017
GAAR,United States,Idaho,16,Boundary,021
GAAR,United States,Idaho,16,Cassia,031
GAAR,United States,Idaho,16,Clark,033
GAAR,United States,Idaho,16,Clearwater,035
GAAR,United States,Idaho,16,Fremont,043
GAAR,United States,Idaho,16,Idaho,049
GAAR,United States,Idaho,16,Kootenai,055
GAAR,United States,Idaho,16,Latah,057
GAAR,United States,Idaho,16,Lemhi,059
GAAR,United States,Idaho,16,Nez Perce,069
GAAR,United States,Idaho,16,Shoshone,079
GAAR,United States,Illinois,17,,
GAAR,United States,Illinois,17,Jackson,077
GAAR,United States,Massachusetts,25,,
GAAR,United States,Massachusetts,25,Berkshire,003
GAAR,United States,Massachusetts,25,Plymouth,023
GAAR,United States,Michigan,26,,
GAAR,United States,Michigan,26,Benzie,019
GAAR,United States,Michigan,26,Cheboygan,031
GAAR,United States,Michigan,26,Kent,081
GAAR,United States,Michigan,26,Keweenaw,083
GAAR,United States,Michigan,26,Leelanau,089
GAAR,United States,Michigan,26,Marquette,103
GAAR,United States,Michigan,26,Oakland,125
GAAR,United States,Michigan,26,Oscoda,135
GAAR,United States,Michigan,26,Presque Isle,141
GAAR,United States,Michigan,26,Schoolcraft,153
GAAR,United States,Minnesota,27,,
GAAR,United States,Minnesota,27,Clay,027
GAAR,United States,Minnesota,27,Dakota,037
GAAR,United States,Minnesota,27,Kittson,069
GAAR,United States,Minnesota,27,Marshall,089
GAAR,United States,Minnesota,27,Norman,107
GAAR,United States,Minnesota,27,Pennington,113
GAAR,United States,Minnesota,27,Polk,119
GAAR,United States,Minnesota,27,Roseau,135
GAAR,United States,Montana,30,,
GAAR,United States,Montana,30,Beaverhead,001
GAAR,United States,Montana,30,Big Horn,003
GAAR,United States,Montana,30,Blaine,005
GAAR,United States,Montana,30,Broadwater,007
GAAR,United States,Montana,30,Carbon,009
GAAR,United States,Montana,30,Carter,011
GAAR,United States,Montana,30,Cascade,013
GAAR,United States,Montana,30,Chouteau,015
GAAR,United States,Montana,30,Custer,017
GAAR,United States,Montana,30,Daniels,019
GAAR,United States,Montana,30,Dawson,021
GAAR,United States,Montana,30,Deer Lodge,023
GAAR,United States,Montana,30,Fallon,025
GAAR,United States,Montana,30,Fergus,027
GAAR,United States,Montana,30,Flathead,029
GAAR,United States,Montana,30,Gallatin,031
GAAR,United States,Montana,30,Garfield,033
GAAR,United States,Montana,30,Glacier,035
GAAR,United States,Montana,30,Golden Valley,037
GAAR,United States,Montana,30,Granite,039
GAAR,United States,Montana,30,Hill,041
GAAR,United States,Montana,30,Jefferson,043
GAAR,United States,Montana,30,Judith Basin,045
GAAR,United States,Montana,30,Lake,047
GAAR,United States,Montana,30,Lewis and Clark,049
GAAR,United States,Montana,30,Liberty,051
GAAR,United States,Montana,30,Lincoln,053
GAAR,United States,Montana,30,Madison,057
GAAR,United States,Montana,30,McCone,055
GAAR,United States,Montana,30,Meagher,059
GAAR,United States,Montana,30,Mineral,061
GAAR,United States,Montana,30,Missoula,063
GAAR,United States,Montana,30,Musselshell,065
GAAR,United States,Montana,30,Park,067
GAAR,United States,Montana,30,Petroleum,069
GAAR,United States,Montana,30,Phillips,071
GAAR,United States,Montana,30,Pondera,073
GAAR,United States,Montana,30,Powder River,075
GAAR,United States,Montana,30,Powell,077
GAAR,United States,Montana,30,Prairie,079
GAAR,United States,Montana,30,Ravalli,081
GAAR,United States,Montana,30,Richland,083
GAAR,United States,Montana,30,Roosevelt,085
GAAR,United States,Montana,30,Rosebud,087
GAAR,United States,Montana,30,Sanders,089
GAAR,United States,Montana,30,Sheridan,091
GAAR,United States,Montana,30,Silver Bow,093
GAAR,United States,Montana,30,Stillwater,095
GAAR,United States,Montana,30,Sweet Grass,097
GAAR,United States,Montana,30,Teton,099
GAAR,United States,Montana,30,Toole,101
GAAR,United States,Montana,30,Treasure,103
GAAR,United States,Montana,30,Valley,105
GAAR,United States,Montana,30,Wheatland,107
GAAR,United States,Montana,30,Wibaux,109
GAAR,United States,Montana,30,Yellowstone,111
GAAR,United States,New Hampshire,33,,
GAAR,United States,New Mexico,35,,
GAAR,United States,New Mexico,35,Colfax,007
GAAR,United States,New Mexico,35,Lincoln,027
GAAR,United States,New Mexico,35,Rio Arriba,039
GAAR,United States,New Mexico,35,Roosevelt,041
GAAR,United States,New Mexico,35,San Juan,045
GAAR,United States,New Mexico,35,Sandoval,043
GAAR,United States,New Mexico,35,Santa Fe,049
GAAR,United States,New Mexico,35,Taos,055
GAAR,United States,New York,36,,
GAAR,United States,New York,36,Albany,001
GAAR,United States,New York,36,Queens,081
GAAR,United States,New York,36,Suffolk,103
GAAR,United States,North Dakota,38,,
GAAR,United States,North Dakota,38,Barnes,003
GAAR,United States,North Dakota,38,Benson,005
GAAR,United States,North Dakota,38,Billings,007
GAAR,United States,North Dakota,38,Bottineau,009
GAAR,United States,North Dakota,38,Burke,013
GAAR,United States,North Dakota,38,Burleigh,015
GAAR,United States,North Dakota,38,Cass,017
GAAR,United States,North Dakota,38,Cavalier,019
GAAR,United States,North Dakota,38,Dickey,021
GAAR,United States,North Dakota,38,Divide,023
GAAR,United States,North Dakota,38,Dunn,025
GAAR,United States,North Dakota,38,Eddy,027
GAAR,United States,North Dakota,38,Emmons,029
GAAR,United States,North Dakota,38,Foster,031
GAAR,United States,North Dakota,38,Golden Valley,033
GAAR,United States,North Dakota,38,Hettinger,041
GAAR,United States,North Dakota,38,Kidder,043
GAAR,United States,North Dakota,38,LaMoure,045
GAAR,United States,North Dakota,38,Logan,047
GAAR,United States,North Dakota,38,McHenry,049
GAAR,United States,North Dakota,38,McIntosh,051
GAAR,United States,North Dakota,38,McKenzie,053
GAAR,United States,North Dakota,38,McLean,055
GAAR,United States,North Dakota,38,Mercer,057
GAAR,United States,North Dakota,38,Morton,059
GAAR,United States,North Dakota,38,Mountrail,061
GAAR,United States,North Dakota,38,Nelson,063
GAAR,United States,North Dakota,38,Oliver,065
GAAR,United States,North Dakota,38,Pembina,067
GAAR,United States,North Dakota,38,Pierce,069
GAAR,United States,North Dakota,38,Ramsey,071
GAAR,United States,North Dakota,38,Ransom,073
GAAR,United States,North Dakota,38,Renville,075
GAAR,United States,North Dakota,38,Richland,077
GAAR,United States,North Dakota,38,Rolette,079
GAAR,United States,North Dakota,38,Sheridan,083
GAAR,United States,North Dakota,38,Slope,087
GAAR,United States,North Dakota,38,Stark,089
GAAR,United States,North Dakota,38,Steele,091
GAAR,United States,North Dakota,38,Stutsman,093
GAAR,United States,North Dakota,38,Towner,095
GAAR,United States,North Dakota,38,Ward,101
GAAR,United States,North Dakota,38,Wells,103
GAAR,United States,North Dakota,38,Williams,105
GAAR,United States,Oregon,41,,
GAAR,United States,Oregon,41,Douglas,019
GAAR,United States,Oregon,41,Gilliam,021
GAAR,United States,Oregon,41,Grant,023
GAAR,United States,Oregon,41,Hood River,027
GAAR,United States,Oregon,41,Morrow,049
GAAR,United States,Oregon,41,Multnomah,051
GAAR,United States,Oregon,41,Sherman,055
GAAR,United States,Oregon,41,Umatilla,059
GAAR,United States,Oregon,41,Union,061
GAAR,United States,Oregon,41,Wallowa,063
GAAR,United States,Oregon,41,Wasco,065
GAAR,United States,Oregon,41,Wheeler,069
GAAR,United States,South Dakota,46,,
GAAR,United States,South Dakota,46,Brown,013
GAAR,United States,South Dakota,46,Codington,029
GAAR,United States,South Dakota,46,Custer,033
GAAR,United States,South Dakota,46,Day,037
GAAR,United States,South Dakota,46,Hamlin,057
GAAR,United States,South Dakota,46,Lawrence,081
GAAR,United States,South Dakota,46,Marshall,091
GAAR,United States,South Dakota,46,Pennington,103
GAAR,United States,Utah,49,,
GAAR,United States,Utah,49,Daggett,009
GAAR,United States,Utah,49,Duchesne,013
GAAR,United States,Utah,49,Sanpete,039
GAAR,United States,Utah,49,Summit,043
GAAR,United States,Utah,49,Tooele,045
GAAR,United States,Utah,49,Uintah,047
GAAR,United States,Utah,49,Utah,049
GAAR,United States,Washington,53,,
GAAR,United States,Washington,53,Asotin,003
GAAR,United States,Washington,53,Benton,005
GAAR,United States,Washington,53,Chelan,007
GAAR,United States,Washington,53,Columbia,013
GAAR,United States,Washington,53,Douglas,017
GAAR,United States,Washington,53,Ferry,019
GAAR,United States,Washington,53,Franklin,021
GAAR,United States,Washington,53,Garfield,023
GAAR,United States,Washington,53,Grant,025
GAAR,United States,Washington,53,Kittitas,037
GAAR,United States,Washington,53,Klickitat,039
GAAR,United States,Washington,53,Lincoln,043
GAAR,United States,Washington,53,Okanogan,047
GAAR,United States,Washington,53,Pend Oreille,051
GAAR,United States,Washington,53,Pierce,053
GAAR,United States,Washington,53,Spokane,063
GAAR,United States,Washington,53,Stevens,065
GAAR,United States,Washington,53,Walla Walla,071
GAAR,United States,Washington,53,Whitman,075
GAAR,United States,Washington,53,Yakima,077
GAAR,United States,Wisconsin,55,,
GAAR,United States,Wisconsin,55,Ashland,003
GAAR,United States,Wisconsin,55,Bayfield,007
GAAR,United States,Wisconsin,55,Dane,025
GAAR,United States,Wisconsin,55,Jackson,053
GAAR,United States,Wisconsin,55,Marinette,075
GAAR,United States,Wisconsin,55,Sauk,111
GAAR,United States,Wisconsin,55,Sheboygan,117
