Distribution Data
Symbol,Country,State,State FIP,County,County FIP
GERI,Canada,Alberta,01,,
GERI,Canada,British Columbia,02,,
GERI,United States,Arizona,04,,
GERI,United States,Arizona,04,Apache,001
GERI,United States,Arizona,04,Cochise,003
GERI,United States,Arizona,04,Coconino,005
GERI,United States,Arizona,04,Gila,007
GERI,United States,Arizona,04,Graham,009
GERI,United States,Arizona,04,Navajo,017
GERI,United States,Arizona,04,Pima,019
GERI,United States,Arizona,04,Yavapai,025
GERI,United States,California,06,,
GERI,United States,California,06,Alpine,003
GERI,United States,California,06,Calaveras,009
GERI,United States,California,06,El Dorado,017
GERI,United States,California,06,Fresno,019
GERI,United States,California,06,Inyo,027
GERI,United States,California,06,Kern,029
GERI,United States,California,06,Los Angeles,037
GERI,United States,California,06,Mariposa,043
GERI,United States,California,06,Mono,051
GERI,United States,California,06,Nevada,057
GERI,United States,California,06,Placer,061
GERI,United States,California,06,Riverside,065
GERI,United States,California,06,San Bernardino,071
GERI,United States,California,06,San Diego,073
GERI,United States,California,06,Siskiyou,093
GERI,United States,California,06,Tulare,107
GERI,United States,California,06,Tuolumne,109
GERI,United States,Colorado,08,,
GERI,United States,Colorado,08,Archuleta,007
GERI,United States,Colorado,08,Boulder,013
GERI,United States,Colorado,08,Clear Creek,019
GERI,United States,Colorado,08,Conejos,021
GERI,United States,Colorado,08,Costilla,023
GERI,United States,Colorado,08,Custer,027
GERI,United States,Colorado,08,Delta,029
GERI,United States,Colorado,08,Dolores,033
GERI,United States,Colorado,08,Eagle,037
GERI,United States,Colorado,08,El Paso,041
GERI,United States,Colorado,08,Garfield,045
GERI,United States,Colorado,08,Gilpin,047
GERI,United States,Colorado,08,Grand,049
GERI,United States,Colorado,08,Hinsdale,053
GERI,United States,Colorado,08,Huerfano,055
GERI,United States,Colorado,08,Jackson,057
GERI,United States,Colorado,08,La Plata,067
GERI,United States,Colorado,08,Lake,065
GERI,United States,Colorado,08,Larimer,069
GERI,United States,Colorado,08,Mesa,077
GERI,United States,Colorado,08,Mineral,079
GERI,United States,Colorado,08,Montezuma,083
GERI,United States,Colorado,08,Montrose,085
GERI,United States,Colorado,08,Ouray,091
GERI,United States,Colorado,08,Park,093
GERI,United States,Colorado,08,Pitkin,097
GERI,United States,Colorado,08,Rio Blanco,103
GERI,United States,Colorado,08,Rio Grande,105
GERI,United States,Colorado,08,Routt,107
GERI,United States,Colorado,08,Saguache,109
GERI,United States,Colorado,08,San Juan,111
GERI,United States,Colorado,08,San Miguel,113
GERI,United States,Colorado,08,Teller,119
GERI,Canada,Saskatchewan,11,,
GERI,Canada,Yukon,12,,
GERI,Canada,Northwest Territories,13,,
GERI,United States,Idaho,16,,
GERI,United States,Idaho,16,Bannock,005
GERI,United States,Idaho,16,Bear Lake,007
GERI,United States,Idaho,16,Bonneville,019
GERI,United States,Idaho,16,Caribou,029
GERI,United States,Idaho,16,Cassia,031
GERI,United States,Idaho,16,Clark,033
GERI,United States,Idaho,16,Clearwater,035
GERI,United States,Idaho,16,Franklin,041
GERI,United States,Idaho,16,Fremont,043
GERI,United States,Idaho,16,Gem,045
GERI,United States,Idaho,16,Idaho,049
GERI,United States,Idaho,16,Kootenai,055
GERI,United States,Idaho,16,Nez Perce,069
GERI,United States,Idaho,16,Oneida,071
GERI,United States,Idaho,16,Teton,081
GERI,United States,Idaho,16,Twin Falls,083
GERI,United States,Idaho,16,Valley,085
GERI,United States,Montana,30,,
GERI,United States,Montana,30,Carbon,009
GERI,United States,Montana,30,Cascade,013
GERI,United States,Montana,30,Chouteau,015
GERI,United States,Montana,30,Fergus,027
GERI,United States,Montana,30,Gallatin,031
GERI,United States,Montana,30,Glacier,035
GERI,United States,Montana,30,Hill,041
GERI,United States,Montana,30,Judith Basin,045
GERI,United States,Montana,30,Lake,047
GERI,United States,Montana,30,Lewis and Clark,049
GERI,United States,Montana,30,Madison,057
GERI,United States,Montana,30,Meagher,059
GERI,United States,Montana,30,Park,067
GERI,United States,Montana,30,Phillips,071
GERI,United States,Montana,30,Pondera,073
GERI,United States,Montana,30,Powell,077
GERI,United States,Montana,30,Silver Bow,093
