Distribution Data
Symbol,Country,State,State FIP,County,County FIP
HAPA3,United States,Florida,12,,
HAPA3,United States,Florida,12,Brevard,009
HAPA3,United States,Florida,12,Broward,011
HAPA3,United States,Florida,12,Collier,021
HAPA3,United States,Florida,12,Highlands,055
HAPA3,United States,Florida,12,Hillsborough,057
HAPA3,United States,Florida,12,Indian River,061
HAPA3,United States,Florida,12,Lake,069
HAPA3,United States,Florida,12,Lee,071
HAPA3,United States,Florida,12,Manatee,081
HAPA3,United States,Florida,12,Marion,083
HAPA3,United States,Florida,12,Martin,085
HAPA3,United States,Florida,12,Miami-Dade,086
HAPA3,United States,Florida,12,Monroe,087
HAPA3,United States,Florida,12,Okeechobee,093
HAPA3,United States,Florida,12,Orange,095
HAPA3,United States,Florida,12,Pasco,101
HAPA3,United States,Florida,12,Pinellas,103
HAPA3,United States,Florida,12,Polk,105
HAPA3,United States,Florida,12,Sumter,119
HAPA3,United States,Florida,12,Volusia,127
HAPA3,United States,Puerto Rico,72,,
HAPA3,United States,Virgin Islands,78,,
HAPA3,United States,Navassa Island,NI,,
