Distribution Data
Symbol,Country,State,State FIP,County,County FIP
HEAR3,United States,Florida,12,,
HEAR3,United States,Florida,12,Columbia,023
HEAR3,United States,Florida,12,Franklin,037
HEAR3,United States,Florida,12,Leon,073
HEAR3,United States,Florida,12,Volusia,127
HEAR3,United States,North Carolina,37,,
HEAR3,United States,Texas,48,,
HEAR3,United States,Texas,48,Aransas,007
HEAR3,United States,Texas,48,Brooks,047
HEAR3,United States,Texas,48,Calhoun,057
HEAR3,United States,Texas,48,Chambers,071
HEAR3,United States,Texas,48,DeWitt,123
HEAR3,United States,Texas,48,Goliad,175
HEAR3,United States,Texas,48,Gonzales,177
HEAR3,United States,Texas,48,Guadalupe,187
HEAR3,United States,Texas,48,Jackson,239
HEAR3,United States,Texas,48,Karnes,255
HEAR3,United States,Texas,48,Kenedy,261
HEAR3,United States,Texas,48,Kleberg,273
HEAR3,United States,Texas,48,Matagorda,321
HEAR3,United States,Texas,48,Nueces,355
HEAR3,United States,Texas,48,Refugio,391
HEAR3,United States,Texas,48,San Patricio,409
HEAR3,United States,Texas,48,Wilson,493
