Distribution Data
Symbol,Country,State,State FIP,County,County FIP
HYOD,United States,Arizona,04,,
HYOD,United States,Arizona,04,Cochise,003
HYOD,United States,Arizona,04,Coconino,005
HYOD,United States,Arizona,04,Greenlee,011
HYOD,United States,Arizona,04,Maricopa,013
HYOD,United States,Arizona,04,Navajo,017
HYOD,United States,Arizona,04,Pima,019
HYOD,United States,Arizona,04,Yavapai,025
HYOD,United States,California,06,,
HYOD,United States,California,06,Imperial,025
HYOD,United States,California,06,Riverside,065
HYOD,United States,California,06,San Bernardino,071
HYOD,United States,California,06,San Diego,073
HYOD,United States,Colorado,08,,
HYOD,United States,Colorado,08,Baca,009
HYOD,United States,Colorado,08,Bent,011
HYOD,United States,Colorado,08,Kiowa,061
HYOD,United States,Colorado,08,Lincoln,073
HYOD,United States,Colorado,08,Otero,089
HYOD,United States,Colorado,08,Prowers,099
HYOD,United States,Kansas,20,,
HYOD,United States,Kansas,20,Finney,055
HYOD,United States,Kansas,20,Gray,069
HYOD,United States,Kansas,20,Hamilton,075
HYOD,United States,Kansas,20,Kearny,093
HYOD,United States,Kansas,20,Kiowa,097
HYOD,United States,Kansas,20,Meade,119
HYOD,United States,Kansas,20,Morton,129
HYOD,United States,Kansas,20,Seward,175
HYOD,United States,Kansas,20,Trego,195
HYOD,United States,Maine,23,,
HYOD,United States,New Mexico,35,,
HYOD,United States,New Mexico,35,Bernalillo,001
HYOD,United States,New Mexico,35,Catron,003
HYOD,United States,New Mexico,35,Chaves,005
HYOD,United States,New Mexico,35,Curry,009
HYOD,United States,New Mexico,35,Dona Ana,013
HYOD,United States,New Mexico,35,Grant,017
HYOD,United States,New Mexico,35,Harding,021
HYOD,United States,New Mexico,35,Hidalgo,023
HYOD,United States,New Mexico,35,Lincoln,027
HYOD,United States,New Mexico,35,Luna,029
HYOD,United States,New Mexico,35,Quay,037
HYOD,United States,New Mexico,35,San Juan,045
HYOD,United States,New Mexico,35,Sandoval,043
HYOD,United States,New Mexico,35,Socorro,053
HYOD,United States,New Mexico,35,Torrance,057
HYOD,United States,New Mexico,35,Union,059
HYOD,United States,New Mexico,35,Valencia,061
HYOD,United States,Oklahoma,40,,
HYOD,United States,Oklahoma,40,Cimarron,025
HYOD,United States,Oklahoma,40,Greer,055
