Distribution Data
Symbol,Country,State,State FIP,County,County FIP
KAAN,Canada,New Brunswick,04,,
KAAN,Canada,Nova Scotia,07,,
KAAN,Canada,Ontario,08,,
KAAN,Canada,Prince Edward Island,09,,
KAAN,United States,Connecticut,09,,
KAAN,United States,Connecticut,09,Fairfield,001
KAAN,United States,Connecticut,09,Hartford,003
KAAN,United States,Connecticut,09,Litchfield,005
KAAN,United States,Connecticut,09,Middlesex,007
KAAN,United States,Connecticut,09,New Haven,009
KAAN,United States,Connecticut,09,New London,011
KAAN,United States,Connecticut,09,Tolland,013
KAAN,United States,Connecticut,09,Windham,015
KAAN,Canada,Quebec,10,,
KAAN,United States,Delaware,10,,
KAAN,United States,Delaware,10,New Castle,003
KAAN,United States,Delaware,10,Sussex,005
KAAN,United States,District of Columbia,11,,
KAAN,United States,District of Columbia,11,District of Columbia,001
KAAN,United States,Maine,23,,
KAAN,United States,Maine,23,Androscoggin,001
KAAN,United States,Maine,23,Aroostook,003
KAAN,United States,Maine,23,Cumberland,005
KAAN,United States,Maine,23,Franklin,007
KAAN,United States,Maine,23,Hancock,009
KAAN,United States,Maine,23,Kennebec,011
KAAN,United States,Maine,23,Knox,013
KAAN,United States,Maine,23,Lincoln,015
KAAN,United States,Maine,23,Oxford,017
KAAN,United States,Maine,23,Penobscot,019
KAAN,United States,Maine,23,Piscataquis,021
KAAN,United States,Maine,23,Sagadahoc,023
KAAN,United States,Maine,23,Somerset,025
KAAN,United States,Maine,23,Waldo,027
KAAN,United States,Maine,23,Washington,029
KAAN,United States,Maine,23,York,031
KAAN,United States,Maryland,24,,
KAAN,United States,Massachusetts,25,,
KAAN,United States,Massachusetts,25,Barnstable,001
KAAN,United States,Massachusetts,25,Berkshire,003
KAAN,United States,Massachusetts,25,Bristol,005
KAAN,United States,Massachusetts,25,Dukes,007
KAAN,United States,Massachusetts,25,Essex,009
KAAN,United States,Massachusetts,25,Franklin,011
KAAN,United States,Massachusetts,25,Hampden,013
KAAN,United States,Massachusetts,25,Hampshire,015
KAAN,United States,Massachusetts,25,Middlesex,017
KAAN,United States,Massachusetts,25,Nantucket,019
KAAN,United States,Massachusetts,25,Norfolk,021
KAAN,United States,Massachusetts,25,Plymouth,023
KAAN,United States,Massachusetts,25,Suffolk,025
KAAN,United States,Massachusetts,25,Worcester,027
KAAN,United States,Michigan,26,,
KAAN,United States,Michigan,26,Alcona,001
KAAN,United States,Michigan,26,Alpena,007
KAAN,United States,Michigan,26,Arenac,011
KAAN,United States,Michigan,26,Cheboygan,031
KAAN,United States,Michigan,26,Chippewa,033
KAAN,United States,Michigan,26,Clare,035
KAAN,United States,Michigan,26,Crawford,039
KAAN,United States,Michigan,26,Gladwin,051
KAAN,United States,Michigan,26,Grand Traverse,055
KAAN,United States,Michigan,26,Huron,063
KAAN,United States,Michigan,26,Iosco,069
KAAN,United States,Michigan,26,Kalkaska,079
KAAN,United States,Michigan,26,Midland,111
KAAN,United States,Michigan,26,Missaukee,113
KAAN,United States,Michigan,26,Montmorency,119
KAAN,United States,Michigan,26,Oscoda,135
KAAN,United States,Michigan,26,Otsego,137
KAAN,United States,Michigan,26,Presque Isle,141
KAAN,United States,Michigan,26,Roscommon,143
KAAN,United States,Michigan,26,Saginaw,145
KAAN,United States,New Hampshire,33,,
KAAN,United States,New Hampshire,33,Belknap,001
KAAN,United States,New Hampshire,33,Carroll,003
KAAN,United States,New Hampshire,33,Cheshire,005
KAAN,United States,New Hampshire,33,Coos,007
KAAN,United States,New Hampshire,33,Grafton,009
KAAN,United States,New Hampshire,33,Hillsborough,011
KAAN,United States,New Hampshire,33,Merrimack,013
KAAN,United States,New Hampshire,33,Rockingham,015
KAAN,United States,New Hampshire,33,Strafford,017
KAAN,United States,New Hampshire,33,Sullivan,019
KAAN,United States,New Jersey,34,,
KAAN,United States,New Jersey,34,Atlantic,001
KAAN,United States,New Jersey,34,Bergen,003
KAAN,United States,New Jersey,34,Burlington,005
KAAN,United States,New Jersey,34,Camden,007
KAAN,United States,New Jersey,34,Cape May,009
KAAN,United States,New Jersey,34,Cumberland,011
KAAN,United States,New Jersey,34,Essex,013
KAAN,United States,New Jersey,34,Hudson,017
KAAN,United States,New Jersey,34,Hunterdon,019
KAAN,United States,New Jersey,34,Mercer,021
KAAN,United States,New Jersey,34,Middlesex,023
KAAN,United States,New Jersey,34,Monmouth,025
KAAN,United States,New Jersey,34,Morris,027
KAAN,United States,New Jersey,34,Ocean,029
KAAN,United States,New Jersey,34,Passaic,031
KAAN,United States,New Jersey,34,Somerset,035
KAAN,United States,New Jersey,34,Sussex,037
KAAN,United States,New Jersey,34,Union,039
KAAN,United States,New Jersey,34,Warren,041
KAAN,United States,New York,36,,
KAAN,United States,New York,36,Albany,001
KAAN,United States,New York,36,Chenango,017
KAAN,United States,New York,36,Clinton,019
KAAN,United States,New York,36,Columbia,021
KAAN,United States,New York,36,Delaware,025
KAAN,United States,New York,36,Dutchess,027
KAAN,United States,New York,36,Essex,031
KAAN,United States,New York,36,Fulton,035
KAAN,United States,New York,36,Hamilton,041
KAAN,United States,New York,36,Kings,047
KAAN,United States,New York,36,Lewis,049
KAAN,United States,New York,36,Nassau,059
KAAN,United States,New York,36,Orange,071
KAAN,United States,New York,36,Putnam,079
KAAN,United States,New York,36,Queens,081
KAAN,United States,New York,36,Rensselaer,083
KAAN,United States,New York,36,Richmond,085
KAAN,United States,New York,36,Rockland,087
KAAN,United States,New York,36,Saratoga,091
KAAN,United States,New York,36,Schenectady,093
KAAN,United States,New York,36,Seneca,099
KAAN,United States,New York,36,St. Lawrence,089
KAAN,United States,New York,36,Suffolk,103
KAAN,United States,New York,36,Sullivan,105
KAAN,United States,New York,36,Ulster,111
KAAN,United States,New York,36,Warren,113
KAAN,United States,New York,36,Washington,115
KAAN,United States,New York,36,Wayne,117
KAAN,United States,New York,36,Westchester,119
KAAN,United States,Pennsylvania,42,,
KAAN,United States,Pennsylvania,42,Adams,001
KAAN,United States,Pennsylvania,42,Berks,011
KAAN,United States,Pennsylvania,42,Bradford,015
KAAN,United States,Pennsylvania,42,Bucks,017
KAAN,United States,Pennsylvania,42,Cambria,021
KAAN,United States,Pennsylvania,42,Carbon,025
KAAN,United States,Pennsylvania,42,Chester,029
KAAN,United States,Pennsylvania,42,Clinton,035
KAAN,United States,Pennsylvania,42,Columbia,037
KAAN,United States,Pennsylvania,42,Delaware,045
KAAN,United States,Pennsylvania,42,Franklin,055
KAAN,United States,Pennsylvania,42,Lackawanna,069
KAAN,United States,Pennsylvania,42,Lancaster,071
KAAN,United States,Pennsylvania,42,Lehigh,077
KAAN,United States,Pennsylvania,42,Luzerne,079
KAAN,United States,Pennsylvania,42,Lycoming,081
KAAN,United States,Pennsylvania,42,Monroe,089
KAAN,United States,Pennsylvania,42,Montgomery,091
KAAN,United States,Pennsylvania,42,Northampton,095
KAAN,United States,Pennsylvania,42,Northumberland,097
KAAN,United States,Pennsylvania,42,Philadelphia,101
KAAN,United States,Pennsylvania,42,Pike,103
KAAN,United States,Pennsylvania,42,Schuylkill,107
KAAN,United States,Pennsylvania,42,Sullivan,113
KAAN,United States,Pennsylvania,42,Union,119
KAAN,United States,Pennsylvania,42,Wayne,127
KAAN,United States,Pennsylvania,42,Wyoming,131
KAAN,United States,Rhode Island,44,,
KAAN,United States,Rhode Island,44,Bristol,001
KAAN,United States,Rhode Island,44,Kent,003
KAAN,United States,Rhode Island,44,Newport,005
KAAN,United States,Rhode Island,44,Providence,007
KAAN,United States,Rhode Island,44,Washington,009
KAAN,United States,Vermont,50,,
KAAN,United States,Vermont,50,Addison,001
KAAN,United States,Vermont,50,Bennington,003
KAAN,United States,Vermont,50,Caledonia,005
KAAN,United States,Vermont,50,Chittenden,007
KAAN,United States,Vermont,50,Essex,009
KAAN,United States,Vermont,50,Franklin,011
KAAN,United States,Vermont,50,Grand Isle,013
KAAN,United States,Vermont,50,Lamoille,015
KAAN,United States,Vermont,50,Orange,017
KAAN,United States,Vermont,50,Orleans,019
KAAN,United States,Vermont,50,Rutland,021
KAAN,United States,Vermont,50,Washington,023
KAAN,United States,Vermont,50,Windham,025
KAAN,United States,Vermont,50,Windsor,027
KAAN,United States,Virginia,51,,
KAAN,United States,Virginia,51,Accomack,001
KAAN,United States,Virginia,51,Caroline,033
KAAN,United States,Virginia,51,Carroll,035
KAAN,United States,Virginia,51,Chesapeake ,550
KAAN,United States,Virginia,51,Chesterfield,041
KAAN,United States,Virginia,51,Grayson,077
KAAN,United States,Virginia,51,Isle of Wight,093
KAAN,United States,Virginia,51,Southampton,175
KAAN,United States,Virginia,51,Suffolk ,800
KAAN,United States,Virginia,51,Virginia Beach ,810
KAAN,United States,West Virginia,54,,
KAAN,Canada,Labrador,LB,,
KAAN,Canada,Newfoundland,NF,,
