Distribution Data
Symbol,Country,State,State FIP,County,County FIP
LEFR3,United States,Texas,48,,
LEFR3,United States,Texas,48,Bexar,029
LEFR3,United States,Texas,48,Brazos,041
LEFR3,United States,Texas,48,Brewster,043
LEFR3,United States,Texas,48,Cameron,061
LEFR3,United States,Texas,48,Crockett,105
LEFR3,United States,Texas,48,Duval,131
LEFR3,United States,Texas,48,Hays,209
LEFR3,United States,Texas,48,Hidalgo,215
LEFR3,United States,Texas,48,Jim Hogg,247
LEFR3,United States,Texas,48,Jim Wells,249
LEFR3,United States,Texas,48,Kenedy,261
LEFR3,United States,Texas,48,Kimble,267
LEFR3,United States,Texas,48,Kinney,271
LEFR3,United States,Texas,48,Kleberg,273
LEFR3,United States,Texas,48,Lampasas,281
LEFR3,United States,Texas,48,Live Oak,297
LEFR3,United States,Texas,48,McMullen,311
LEFR3,United States,Texas,48,Nueces,355
LEFR3,United States,Texas,48,Pecos,371
LEFR3,United States,Texas,48,Presidio,377
LEFR3,United States,Texas,48,San Patricio,409
LEFR3,United States,Texas,48,San Saba,411
LEFR3,United States,Texas,48,Starr,427
LEFR3,United States,Texas,48,Tarrant,439
LEFR3,United States,Texas,48,Terrell,443
LEFR3,United States,Texas,48,Travis,453
LEFR3,United States,Texas,48,Uvalde,463
LEFR3,United States,Texas,48,Val Verde,465
LEFR3,United States,Texas,48,Victoria,469
LEFR3,United States,Texas,48,Webb,479
LEFR3,United States,Texas,48,Willacy,489
LEFR3,United States,Texas,48,Zapata,505
