Distribution Data
Symbol,Country,State,State FIP,County,County FIP
LIPUP,Canada,Alberta,01,,
LIPUP,Canada,Manitoba,03,,
LIPUP,United States,Arkansas,05,,
LIPUP,United States,Arkansas,05,Benton,007
LIPUP,United States,Arkansas,05,Carroll,015
LIPUP,United States,Colorado,08,,
LIPUP,Canada,Saskatchewan,11,,
LIPUP,United States,Illinois,17,,
LIPUP,United States,Iowa,19,,
LIPUP,United States,Kansas,20,,
LIPUP,United States,Louisiana,22,,
LIPUP,United States,Louisiana,22,Calcasieu,019
LIPUP,United States,Michigan,26,,
LIPUP,United States,Michigan,26,Kalamazoo,077
LIPUP,United States,Minnesota,27,,
LIPUP,United States,Missouri,29,,
LIPUP,United States,Missouri,29,Atchison,005
LIPUP,United States,Missouri,29,Bates,013
LIPUP,United States,Missouri,29,Holt,087
LIPUP,United States,Missouri,29,Jackson,095
LIPUP,United States,Montana,30,,
LIPUP,United States,Montana,30,Big Horn,003
LIPUP,United States,Montana,30,Blaine,005
LIPUP,United States,Montana,30,Broadwater,007
LIPUP,United States,Montana,30,Carbon,009
LIPUP,United States,Montana,30,Carter,011
LIPUP,United States,Montana,30,Cascade,013
LIPUP,United States,Montana,30,Chouteau,015
LIPUP,United States,Montana,30,Custer,017
LIPUP,United States,Montana,30,Daniels,019
LIPUP,United States,Montana,30,Dawson,021
LIPUP,United States,Montana,30,Fergus,027
LIPUP,United States,Montana,30,Gallatin,031
LIPUP,United States,Montana,30,Garfield,033
LIPUP,United States,Montana,30,Glacier,035
LIPUP,United States,Montana,30,Golden Valley,037
LIPUP,United States,Montana,30,Hill,041
LIPUP,United States,Montana,30,Jefferson,043
LIPUP,United States,Montana,30,Judith Basin,045
LIPUP,United States,Montana,30,Lewis and Clark,049
LIPUP,United States,Montana,30,Liberty,051
LIPUP,United States,Montana,30,McCone,055
LIPUP,United States,Montana,30,Meagher,059
LIPUP,United States,Montana,30,Musselshell,065
LIPUP,United States,Montana,30,Park,067
LIPUP,United States,Montana,30,Petroleum,069
LIPUP,United States,Montana,30,Phillips,071
LIPUP,United States,Montana,30,Powder River,075
LIPUP,United States,Montana,30,Powell,077
LIPUP,United States,Montana,30,Prairie,079
LIPUP,United States,Montana,30,Richland,083
LIPUP,United States,Montana,30,Roosevelt,085
LIPUP,United States,Montana,30,Rosebud,087
LIPUP,United States,Montana,30,Sheridan,091
LIPUP,United States,Montana,30,Stillwater,095
LIPUP,United States,Montana,30,Sweet Grass,097
LIPUP,United States,Montana,30,Teton,099
LIPUP,United States,Montana,30,Toole,101
LIPUP,United States,Montana,30,Treasure,103
LIPUP,United States,Montana,30,Valley,105
LIPUP,United States,Montana,30,Wheatland,107
LIPUP,United States,Montana,30,Wibaux,109
LIPUP,United States,Montana,30,Yellowstone,111
LIPUP,United States,Nebraska,31,,
LIPUP,United States,New Mexico,35,,
LIPUP,United States,New Mexico,35,Bernalillo,001
LIPUP,United States,New Mexico,35,Colfax,007
LIPUP,United States,New Mexico,35,Curry,009
LIPUP,United States,New Mexico,35,De Baca,011
LIPUP,United States,New Mexico,35,Dona Ana,013
LIPUP,United States,New Mexico,35,Eddy,015
LIPUP,United States,New Mexico,35,Guadalupe,019
LIPUP,United States,New Mexico,35,Harding,021
LIPUP,United States,New Mexico,35,Lincoln,027
LIPUP,United States,New Mexico,35,Los Alamos,028
LIPUP,United States,New Mexico,35,Mora,033
LIPUP,United States,New Mexico,35,Quay,037
LIPUP,United States,New Mexico,35,Rio Arriba,039
LIPUP,United States,New Mexico,35,Roosevelt,041
LIPUP,United States,New Mexico,35,San Juan,045
LIPUP,United States,New Mexico,35,San Miguel,047
LIPUP,United States,New Mexico,35,Sandoval,043
LIPUP,United States,New Mexico,35,Santa Fe,049
LIPUP,United States,New Mexico,35,Socorro,053
LIPUP,United States,New Mexico,35,Taos,055
LIPUP,United States,New Mexico,35,Torrance,057
LIPUP,United States,New Mexico,35,Union,059
LIPUP,United States,North Dakota,38,,
LIPUP,United States,North Dakota,38,Barnes,003
LIPUP,United States,North Dakota,38,Benson,005
LIPUP,United States,North Dakota,38,Billings,007
LIPUP,United States,North Dakota,38,Bottineau,009
LIPUP,United States,North Dakota,38,Bowman,011
LIPUP,United States,North Dakota,38,Burke,013
LIPUP,United States,North Dakota,38,Burleigh,015
LIPUP,United States,North Dakota,38,Cass,017
LIPUP,United States,North Dakota,38,Cavalier,019
LIPUP,United States,North Dakota,38,Dickey,021
LIPUP,United States,North Dakota,38,Divide,023
LIPUP,United States,North Dakota,38,Eddy,027
LIPUP,United States,North Dakota,38,Emmons,029
LIPUP,United States,North Dakota,38,Foster,031
LIPUP,United States,North Dakota,38,Golden Valley,033
LIPUP,United States,North Dakota,38,Grand Forks,035
LIPUP,United States,North Dakota,38,Grant,037
LIPUP,United States,North Dakota,38,Kidder,043
LIPUP,United States,North Dakota,38,LaMoure,045
LIPUP,United States,North Dakota,38,Logan,047
LIPUP,United States,North Dakota,38,McHenry,049
LIPUP,United States,North Dakota,38,McIntosh,051
LIPUP,United States,North Dakota,38,McKenzie,053
LIPUP,United States,North Dakota,38,McLean,055
LIPUP,United States,North Dakota,38,Mercer,057
LIPUP,United States,North Dakota,38,Mountrail,061
LIPUP,United States,North Dakota,38,Nelson,063
LIPUP,United States,North Dakota,38,Oliver,065
LIPUP,United States,North Dakota,38,Pembina,067
LIPUP,United States,North Dakota,38,Ransom,073
LIPUP,United States,North Dakota,38,Richland,077
LIPUP,United States,North Dakota,38,Rolette,079
LIPUP,United States,North Dakota,38,Sargent,081
LIPUP,United States,North Dakota,38,Sheridan,083
LIPUP,United States,North Dakota,38,Slope,087
LIPUP,United States,North Dakota,38,Stark,089
LIPUP,United States,North Dakota,38,Steele,091
LIPUP,United States,North Dakota,38,Stutsman,093
LIPUP,United States,North Dakota,38,Ward,101
LIPUP,United States,North Dakota,38,Wells,103
LIPUP,United States,North Dakota,38,Williams,105
LIPUP,United States,Ohio,39,,
LIPUP,United States,Ohio,39,Franklin,049
LIPUP,United States,Oklahoma,40,,
LIPUP,United States,South Dakota,46,,
LIPUP,United States,Tennessee,47,,
LIPUP,United States,Texas,48,,
LIPUP,United States,Texas,48,Andrews,003
LIPUP,United States,Texas,48,Aransas,007
LIPUP,United States,Texas,48,Archer,009
LIPUP,United States,Texas,48,Armstrong,011
LIPUP,United States,Texas,48,Bailey,017
LIPUP,United States,Texas,48,Bandera,019
LIPUP,United States,Texas,48,Bexar,029
LIPUP,United States,Texas,48,Blanco,031
LIPUP,United States,Texas,48,Brewster,043
LIPUP,United States,Texas,48,Briscoe,045
