Distribution Data
Symbol,Country,State,State FIP,County,County FIP
LUTE,United States,Florida,12,,
LUTE,United States,Florida,12,Alachua,001
LUTE,United States,Florida,12,Pinellas,103
LUTE,United States,Louisiana,22,,
LUTE,United States,Louisiana,22,Beauregard,011
LUTE,United States,Louisiana,22,Caddo,017
LUTE,United States,Louisiana,22,Calcasieu,019
LUTE,United States,Louisiana,22,De Soto,031
LUTE,United States,Louisiana,22,Iberia,045
LUTE,United States,Louisiana,22,Jefferson,051
LUTE,United States,Louisiana,22,Lincoln,061
LUTE,United States,Louisiana,22,Morehouse,067
LUTE,United States,Louisiana,22,Natchitoches,069
LUTE,United States,Louisiana,22,Sabine,085
LUTE,United States,Louisiana,22,St. Mary,101
LUTE,United States,Louisiana,22,Vernon,115
LUTE,United States,Oklahoma,40,,
LUTE,United States,Texas,48,,
LUTE,United States,Texas,48,Aransas,007
LUTE,United States,Texas,48,Austin,015
LUTE,United States,Texas,48,Bandera,019
LUTE,United States,Texas,48,Bastrop,021
LUTE,United States,Texas,48,Bell,027
LUTE,United States,Texas,48,Bexar,029
LUTE,United States,Texas,48,Blanco,031
LUTE,United States,Texas,48,Bosque,035
LUTE,United States,Texas,48,Brazos,041
LUTE,United States,Texas,48,Brewster,043
LUTE,United States,Texas,48,Brooks,047
LUTE,United States,Texas,48,Brown,049
LUTE,United States,Texas,48,Burnet,053
LUTE,United States,Texas,48,Caldwell,055
LUTE,United States,Texas,48,Calhoun,057
LUTE,United States,Texas,48,Callahan,059
LUTE,United States,Texas,48,Coleman,083
LUTE,United States,Texas,48,Colorado,089
LUTE,United States,Texas,48,Comal,091
LUTE,United States,Texas,48,Comanche,093
LUTE,United States,Texas,48,Coryell,099
LUTE,United States,Texas,48,Crockett,105
LUTE,United States,Texas,48,Dallas,113
LUTE,United States,Texas,48,DeWitt,123
LUTE,United States,Texas,48,Dimmit,127
LUTE,United States,Texas,48,Duval,131
LUTE,United States,Texas,48,Eastland,133
LUTE,United States,Texas,48,Edwards,137
LUTE,United States,Texas,48,Ellis,139
LUTE,United States,Texas,48,Falls,145
LUTE,United States,Texas,48,Fayette,149
LUTE,United States,Texas,48,Fort Bend,157
LUTE,United States,Texas,48,Frio,163
LUTE,United States,Texas,48,Gillespie,171
LUTE,United States,Texas,48,Gonzales,177
LUTE,United States,Texas,48,Grayson,181
LUTE,United States,Texas,48,Grimes,185
LUTE,United States,Texas,48,Guadalupe,187
LUTE,United States,Texas,48,Hamilton,193
LUTE,United States,Texas,48,Hays,209
LUTE,United States,Texas,48,Hidalgo,215
LUTE,United States,Texas,48,Hill,217
LUTE,United States,Texas,48,Hood,221
LUTE,United States,Texas,48,Jim Hogg,247
LUTE,United States,Texas,48,Jim Wells,249
LUTE,United States,Texas,48,Karnes,255
LUTE,United States,Texas,48,Kerr,265
LUTE,United States,Texas,48,Kimble,267
LUTE,United States,Texas,48,Kleberg,273
LUTE,United States,Texas,48,La Salle,283
LUTE,United States,Texas,48,Lavaca,285
LUTE,United States,Texas,48,Lee,287
LUTE,United States,Texas,48,Leon,289
LUTE,United States,Texas,48,Limestone,293
LUTE,United States,Texas,48,Live Oak,297
LUTE,United States,Texas,48,Llano,299
LUTE,United States,Texas,48,Maverick,323
LUTE,United States,Texas,48,McCulloch,307
LUTE,United States,Texas,48,McLennan,309
LUTE,United States,Texas,48,McMullen,311
LUTE,United States,Texas,48,Medina,325
LUTE,United States,Texas,48,Menard,327
LUTE,United States,Texas,48,Milam,331
LUTE,United States,Texas,48,Mills,333
LUTE,United States,Texas,48,Montgomery,339
LUTE,United States,Texas,48,Nacogdoches,347
LUTE,United States,Texas,48,Navarro,349
LUTE,United States,Texas,48,Nolan,353
LUTE,United States,Texas,48,Nueces,355
LUTE,United States,Texas,48,Parker,367
LUTE,United States,Texas,48,Pecos,371
LUTE,United States,Texas,48,Robertson,395
LUTE,United States,Texas,48,San Jacinto,407
LUTE,United States,Texas,48,San Patricio,409
LUTE,United States,Texas,48,San Saba,411
LUTE,United States,Texas,48,Schleicher,413
LUTE,United States,Texas,48,Shackelford,417
LUTE,United States,Texas,48,Starr,427
LUTE,United States,Texas,48,Stephens,429
LUTE,United States,Texas,48,Sutton,435
LUTE,United States,Texas,48,Tarrant,439
LUTE,United States,Texas,48,Taylor,441
LUTE,United States,Texas,48,Tom Green,451
LUTE,United States,Texas,48,Travis,453
LUTE,United States,Texas,48,Tyler,457
LUTE,United States,Texas,48,Uvalde,463
LUTE,United States,Texas,48,Val Verde,465
LUTE,United States,Texas,48,Victoria,469
LUTE,United States,Texas,48,Walker,471
LUTE,United States,Texas,48,Waller,473
LUTE,United States,Texas,48,Webb,479
LUTE,United States,Texas,48,Wharton,481
LUTE,United States,Texas,48,Willacy,489
LUTE,United States,Texas,48,Williamson,491
LUTE,United States,Texas,48,Zapata,505
