Distribution Data
Symbol,Country,State,State FIP,County,County FIP
MAAQ2,Canada,Alberta,01,,
MAAQ2,Canada,British Columbia,02,,
MAAQ2,United States,California,06,,
MAAQ2,United States,California,06,Alameda,001
MAAQ2,United States,California,06,Alpine,003
MAAQ2,United States,California,06,Amador,005
MAAQ2,United States,California,06,Butte,007
MAAQ2,United States,California,06,Calaveras,009
MAAQ2,United States,California,06,Colusa,011
MAAQ2,United States,California,06,Del Norte,015
MAAQ2,United States,California,06,El Dorado,017
MAAQ2,United States,California,06,Fresno,019
MAAQ2,United States,California,06,Glenn,021
MAAQ2,United States,California,06,Humboldt,023
MAAQ2,United States,California,06,Kern,029
MAAQ2,United States,California,06,Lake,033
MAAQ2,United States,California,06,Lassen,035
MAAQ2,United States,California,06,Los Angeles,037
MAAQ2,United States,California,06,Madera,039
MAAQ2,United States,California,06,Mariposa,043
MAAQ2,United States,California,06,Mendocino,045
MAAQ2,United States,California,06,Modoc,049
MAAQ2,United States,California,06,Monterey,053
MAAQ2,United States,California,06,Napa,055
MAAQ2,United States,California,06,Nevada,057
MAAQ2,United States,California,06,Placer,061
MAAQ2,United States,California,06,Plumas,063
MAAQ2,United States,California,06,Riverside,065
MAAQ2,United States,California,06,San Benito,069
MAAQ2,United States,California,06,San Bernardino,071
MAAQ2,United States,California,06,San Diego,073
MAAQ2,United States,California,06,Santa Barbara,083
MAAQ2,United States,California,06,Santa Clara,085
MAAQ2,United States,California,06,Santa Cruz,087
MAAQ2,United States,California,06,Shasta,089
MAAQ2,United States,California,06,Siskiyou,093
MAAQ2,United States,California,06,Solano,095
MAAQ2,United States,California,06,Sonoma,097
MAAQ2,United States,California,06,Stanislaus,099
MAAQ2,United States,California,06,Sutter,101
MAAQ2,United States,California,06,Tehama,103
MAAQ2,United States,California,06,Trinity,105
MAAQ2,United States,California,06,Tulare,107
MAAQ2,United States,California,06,Tuolumne,109
MAAQ2,United States,California,06,Ventura,111
MAAQ2,United States,California,06,Yuba,115
MAAQ2,Canada,Ontario,08,,
MAAQ2,Canada,Quebec,10,,
MAAQ2,United States,District of Columbia,11,,
MAAQ2,United States,District of Columbia,11,District of Columbia,001
MAAQ2,United States,Georgia,13,,
MAAQ2,United States,Idaho,16,,
MAAQ2,United States,Idaho,16,Ada,001
MAAQ2,United States,Idaho,16,Adams,003
MAAQ2,United States,Idaho,16,Benewah,009
MAAQ2,United States,Idaho,16,Bonner,017
MAAQ2,United States,Idaho,16,Boundary,021
MAAQ2,United States,Idaho,16,Canyon,027
MAAQ2,United States,Idaho,16,Clearwater,035
MAAQ2,United States,Idaho,16,Custer,037
MAAQ2,United States,Idaho,16,Elmore,039
MAAQ2,United States,Idaho,16,Gem,045
MAAQ2,United States,Idaho,16,Idaho,049
MAAQ2,United States,Idaho,16,Kootenai,055
MAAQ2,United States,Idaho,16,Latah,057
MAAQ2,United States,Idaho,16,Valley,085
MAAQ2,United States,Kentucky,21,,
MAAQ2,United States,Michigan,26,,
MAAQ2,United States,Michigan,26,Baraga,013
MAAQ2,United States,Michigan,26,Houghton,061
MAAQ2,United States,Michigan,26,Kalamazoo,077
MAAQ2,United States,Michigan,26,St. Joseph,149
MAAQ2,United States,Montana,30,,
MAAQ2,United States,Montana,30,Mineral,061
MAAQ2,United States,Montana,30,Missoula,063
MAAQ2,United States,Montana,30,Sanders,089
MAAQ2,United States,New Jersey,34,,
MAAQ2,United States,New Jersey,34,Essex,013
MAAQ2,United States,New Jersey,34,Monmouth,025
MAAQ2,United States,New York,36,,
MAAQ2,United States,New York,36,Erie,029
MAAQ2,United States,Ohio,39,,
MAAQ2,United States,Ohio,39,Lake,085
MAAQ2,United States,Ohio,39,Summit,153
MAAQ2,United States,Oregon,41,,
MAAQ2,United States,Oregon,41,Benton,003
MAAQ2,United States,Oregon,41,Clackamas,005
MAAQ2,United States,Oregon,41,Clatsop,007
MAAQ2,United States,Oregon,41,Coos,011
MAAQ2,United States,Oregon,41,Curry,015
MAAQ2,United States,Oregon,41,Deschutes,017
MAAQ2,United States,Oregon,41,Douglas,019
MAAQ2,United States,Oregon,41,Hood River,027
MAAQ2,United States,Oregon,41,Jackson,029
MAAQ2,United States,Oregon,41,Jefferson,031
MAAQ2,United States,Oregon,41,Josephine,033
MAAQ2,United States,Oregon,41,Klamath,035
MAAQ2,United States,Oregon,41,Lane,039
MAAQ2,United States,Oregon,41,Lincoln,041
MAAQ2,United States,Oregon,41,Linn,043
MAAQ2,United States,Oregon,41,Marion,047
MAAQ2,United States,Oregon,41,Multnomah,051
MAAQ2,United States,Oregon,41,Polk,053
MAAQ2,United States,Oregon,41,Tillamook,057
MAAQ2,United States,Oregon,41,Umatilla,059
MAAQ2,United States,Oregon,41,Union,061
MAAQ2,United States,Oregon,41,Wasco,065
MAAQ2,United States,Oregon,41,Washington,067
MAAQ2,United States,Oregon,41,Wheeler,069
MAAQ2,United States,Oregon,41,Yamhill,071
MAAQ2,United States,Washington,53,,
MAAQ2,United States,Washington,53,Chelan,007
MAAQ2,United States,Washington,53,Clallam,009
MAAQ2,United States,Washington,53,Clark,011
MAAQ2,United States,Washington,53,Ferry,019
MAAQ2,United States,Washington,53,Grays Harbor,027
MAAQ2,United States,Washington,53,Island,029
MAAQ2,United States,Washington,53,King,033
MAAQ2,United States,Washington,53,Kitsap,035
MAAQ2,United States,Washington,53,Kittitas,037
MAAQ2,United States,Washington,53,Klickitat,039
MAAQ2,United States,Washington,53,Lewis,041
MAAQ2,United States,Washington,53,Lincoln,043
MAAQ2,United States,Washington,53,Mason,045
MAAQ2,United States,Washington,53,Okanogan,047
MAAQ2,United States,Washington,53,Pend Oreille,051
MAAQ2,United States,Washington,53,Pierce,053
MAAQ2,United States,Washington,53,San Juan,055
MAAQ2,United States,Washington,53,Skagit,057
MAAQ2,United States,Washington,53,Skamania,059
MAAQ2,United States,Washington,53,Snohomish,061
MAAQ2,United States,Washington,53,Spokane,063
MAAQ2,United States,Washington,53,Stevens,065
MAAQ2,United States,Washington,53,Thurston,067
MAAQ2,United States,Washington,53,Walla Walla,071
MAAQ2,United States,Washington,53,Whitman,075
MAAQ2,United States,Washington,53,Yakima,077
