Distribution Data
Symbol,Country,State,State FIP,County,County FIP
MAGL6,United States,Texas,48,,
MAGL6,United States,Texas,48,Cameron,061
MAGL6,United States,Texas,48,Denton,121
MAGL6,United States,Texas,48,Harris,201
MAGL6,United States,Texas,48,Hidalgo,215
MAGL6,United States,Texas,48,Jim Wells,249
MAGL6,United States,Texas,48,Kenedy,261
MAGL6,United States,Texas,48,Kleberg,273
MAGL6,United States,Texas,48,Nueces,355
MAGL6,United States,Texas,48,Starr,427
MAGL6,United States,Texas,48,Travis,453
MAGL6,United States,Texas,48,Webb,479
MAGL6,United States,Virgin Islands,78,,
