Distribution Data
Symbol,Country,State,State FIP,County,County FIP
MECIS,United States,California,06,,
MECIS,United States,California,06,Alpine,003
MECIS,United States,California,06,Butte,007
MECIS,United States,California,06,El Dorado,017
MECIS,United States,California,06,Fresno,019
MECIS,United States,California,06,Lassen,035
MECIS,United States,California,06,Mariposa,043
MECIS,United States,California,06,Modoc,049
MECIS,United States,California,06,Mono,051
MECIS,United States,California,06,Plumas,063
MECIS,United States,California,06,Sierra,091
MECIS,United States,California,06,Tulare,107
MECIS,United States,California,06,Tuolumne,109
MECIS,United States,Nevada,32,,
MECIS,United States,Nevada,32,Carson City,510
MECIS,United States,Nevada,32,Esmeralda,009
MECIS,United States,Nevada,32,Pershing,027
MECIS,United States,Nevada,32,Washoe,031
MECIS,United States,Oregon,41,,
MECIS,United States,Oregon,41,Harney,025
MECIS,United States,Oregon,41,Lake,037
