Distribution Data
Symbol,Country,State,State FIP,County,County FIP
MOFIR,United States,Connecticut,09,,
MOFIR,United States,Georgia,13,,
MOFIR,United States,Illinois,17,,
MOFIR,United States,Maine,23,,
MOFIR,United States,New Hampshire,33,,
MOFIR,United States,New Jersey,34,,
MOFIR,United States,New York,36,,
MOFIR,United States,North Carolina,37,,
MOFIR,United States,Pennsylvania,42,,
MOFIR,United States,Pennsylvania,42,Beaver,007
MOFIR,United States,Pennsylvania,42,Lackawanna,069
MOFIR,United States,Pennsylvania,42,Lehigh,077
MOFIR,United States,Pennsylvania,42,Northampton,095
MOFIR,United States,Tennessee,47,,
MOFIR,United States,Virginia,51,,
MOFIR,United States,West Virginia,54,,
MOFIR,United States,West Virginia,54,Pocahontas,075
