Distribution Data
Symbol,Country,State,State FIP,County,County FIP
MOODP,United States,California,06,,
MOODP,United States,California,06,Alpine,003
MOODP,United States,California,06,Amador,005
MOODP,United States,California,06,Butte,007
MOODP,United States,California,06,Calaveras,009
MOODP,United States,California,06,Colusa,011
MOODP,United States,California,06,El Dorado,017
MOODP,United States,California,06,Fresno,019
MOODP,United States,California,06,Glenn,021
MOODP,United States,California,06,Humboldt,023
MOODP,United States,California,06,Inyo,027
MOODP,United States,California,06,Kern,029
MOODP,United States,California,06,Lake,033
MOODP,United States,California,06,Lassen,035
MOODP,United States,California,06,Madera,039
MOODP,United States,California,06,Mariposa,043
MOODP,United States,California,06,Mendocino,045
MOODP,United States,California,06,Mono,051
MOODP,United States,California,06,Nevada,057
MOODP,United States,California,06,Placer,061
MOODP,United States,California,06,Plumas,063
MOODP,United States,California,06,Shasta,089
MOODP,United States,California,06,Sierra,091
MOODP,United States,California,06,Siskiyou,093
MOODP,United States,California,06,Tehama,103
MOODP,United States,California,06,Trinity,105
MOODP,United States,California,06,Tulare,107
MOODP,United States,California,06,Tuolumne,109
MOODP,United States,Nevada,32,,
MOODP,United States,Nevada,32,Carson City,510
MOODP,United States,Nevada,32,Esmeralda,009
MOODP,United States,Nevada,32,Mineral,021
MOODP,United States,Nevada,32,Washoe,031
MOODP,United States,Oregon,41,,
