Distribution Data
Symbol,Country,State,State FIP,County,County FIP
MOPE6,Canada,New Brunswick,04,,
MOPE6,Canada,Nova Scotia,07,,
MOPE6,Canada,Ontario,08,,
MOPE6,Canada,Prince Edward Island,09,,
MOPE6,United States,Connecticut,09,,
MOPE6,United States,Connecticut,09,Fairfield,001
MOPE6,United States,Connecticut,09,Hartford,003
MOPE6,United States,Connecticut,09,Middlesex,007
MOPE6,United States,Connecticut,09,New Haven,009
MOPE6,United States,Connecticut,09,New London,011
MOPE6,United States,Connecticut,09,Tolland,013
MOPE6,United States,Connecticut,09,Windham,015
MOPE6,Canada,Quebec,10,,
MOPE6,United States,Delaware,10,,
MOPE6,United States,Delaware,10,Kent,001
MOPE6,United States,Delaware,10,New Castle,003
MOPE6,United States,Delaware,10,Sussex,005
MOPE6,United States,District of Columbia,11,,
MOPE6,United States,District of Columbia,11,District of Columbia,001
MOPE6,United States,Maine,23,,
MOPE6,United States,Maine,23,Cumberland,005
MOPE6,United States,Maine,23,Hancock,009
MOPE6,United States,Maine,23,Kennebec,011
MOPE6,United States,Maine,23,Knox,013
MOPE6,United States,Maine,23,Lincoln,015
MOPE6,United States,Maine,23,Penobscot,019
MOPE6,United States,Maine,23,Sagadahoc,023
MOPE6,United States,Maine,23,Waldo,027
MOPE6,United States,Maine,23,Washington,029
MOPE6,United States,Maine,23,York,031
MOPE6,United States,Maryland,24,,
MOPE6,United States,Maryland,24,Talbot,041
MOPE6,United States,Massachusetts,25,,
MOPE6,United States,Massachusetts,25,Barnstable,001
MOPE6,United States,Massachusetts,25,Bristol,005
MOPE6,United States,Massachusetts,25,Dukes,007
MOPE6,United States,Massachusetts,25,Essex,009
MOPE6,United States,Massachusetts,25,Franklin,011
MOPE6,United States,Massachusetts,25,Hampden,013
MOPE6,United States,Massachusetts,25,Middlesex,017
MOPE6,United States,Massachusetts,25,Nantucket,019
MOPE6,United States,Massachusetts,25,Norfolk,021
MOPE6,United States,Massachusetts,25,Plymouth,023
MOPE6,United States,Massachusetts,25,Suffolk,025
MOPE6,United States,Massachusetts,25,Worcester,027
MOPE6,United States,New Hampshire,33,,
MOPE6,United States,New Hampshire,33,Belknap,001
MOPE6,United States,New Hampshire,33,Hillsborough,011
MOPE6,United States,New Hampshire,33,Rockingham,015
MOPE6,United States,New Hampshire,33,Strafford,017
MOPE6,United States,New Hampshire,33,Sullivan,019
MOPE6,United States,New Jersey,34,,
MOPE6,United States,New Jersey,34,Atlantic,001
MOPE6,United States,New Jersey,34,Bergen,003
MOPE6,United States,New Jersey,34,Burlington,005
MOPE6,United States,New Jersey,34,Camden,007
MOPE6,United States,New Jersey,34,Cape May,009
MOPE6,United States,New Jersey,34,Cumberland,011
MOPE6,United States,New Jersey,34,Essex,013
MOPE6,United States,New Jersey,34,Gloucester,015
MOPE6,United States,New Jersey,34,Hudson,017
MOPE6,United States,New Jersey,34,Hunterdon,019
MOPE6,United States,New Jersey,34,Mercer,021
MOPE6,United States,New Jersey,34,Middlesex,023
MOPE6,United States,New Jersey,34,Monmouth,025
MOPE6,United States,New Jersey,34,Morris,027
MOPE6,United States,New Jersey,34,Ocean,029
MOPE6,United States,New Jersey,34,Passaic,031
MOPE6,United States,New Jersey,34,Salem,033
MOPE6,United States,New Jersey,34,Somerset,035
MOPE6,United States,New Jersey,34,Sussex,037
MOPE6,United States,New Jersey,34,Union,039
MOPE6,United States,New Jersey,34,Warren,041
MOPE6,United States,New York,36,,
MOPE6,United States,New York,36,Bronx,005
MOPE6,United States,New York,36,Cattaraugus,009
MOPE6,United States,New York,36,Chautauqua,013
MOPE6,United States,New York,36,Columbia,021
MOPE6,United States,New York,36,Dutchess,027
MOPE6,United States,New York,36,Erie,029
MOPE6,United States,New York,36,Genesee,037
MOPE6,United States,New York,36,Greene,039
MOPE6,United States,New York,36,Kings,047
MOPE6,United States,New York,36,Livingston,051
MOPE6,United States,New York,36,Madison,053
MOPE6,United States,New York,36,Monroe,055
MOPE6,United States,New York,36,Nassau,059
MOPE6,United States,New York,36,New York,061
MOPE6,United States,New York,36,Onondaga,067
MOPE6,United States,New York,36,Ontario,069
MOPE6,United States,New York,36,Orange,071
MOPE6,United States,New York,36,Putnam,079
MOPE6,United States,New York,36,Queens,081
MOPE6,United States,New York,36,Richmond,085
MOPE6,United States,New York,36,Rockland,087
MOPE6,United States,New York,36,Seneca,099
MOPE6,United States,New York,36,Suffolk,103
MOPE6,United States,New York,36,Tioga,107
MOPE6,United States,New York,36,Tompkins,109
MOPE6,United States,New York,36,Ulster,111
MOPE6,United States,New York,36,Wayne,117
MOPE6,United States,New York,36,Westchester,119
MOPE6,United States,North Carolina,37,,
MOPE6,United States,North Carolina,37,Currituck,053
MOPE6,United States,North Carolina,37,Dare,055
MOPE6,United States,Ohio,39,,
MOPE6,United States,Ohio,39,Ashtabula,007
MOPE6,United States,Ohio,39,Geauga,055
MOPE6,United States,Ohio,39,Lake,085
MOPE6,United States,Ohio,39,Portage,133
MOPE6,United States,Ohio,39,Summit,153
MOPE6,United States,Pennsylvania,42,,
MOPE6,United States,Pennsylvania,42,Adams,001
MOPE6,United States,Pennsylvania,42,Allegheny,003
MOPE6,United States,Pennsylvania,42,Berks,011
MOPE6,United States,Pennsylvania,42,Bucks,017
MOPE6,United States,Pennsylvania,42,Carbon,025
MOPE6,United States,Pennsylvania,42,Centre,027
MOPE6,United States,Pennsylvania,42,Chester,029
MOPE6,United States,Pennsylvania,42,Columbia,037
MOPE6,United States,Pennsylvania,42,Crawford,039
MOPE6,United States,Pennsylvania,42,Dauphin,043
MOPE6,United States,Pennsylvania,42,Delaware,045
MOPE6,United States,Pennsylvania,42,Erie,049
MOPE6,United States,Pennsylvania,42,Franklin,055
MOPE6,United States,Pennsylvania,42,Lancaster,071
MOPE6,United States,Pennsylvania,42,Lebanon,075
MOPE6,United States,Pennsylvania,42,Montgomery,091
MOPE6,United States,Pennsylvania,42,Northampton,095
MOPE6,United States,Pennsylvania,42,Philadelphia,101
MOPE6,United States,Pennsylvania,42,Pike,103
MOPE6,United States,Pennsylvania,42,Schuylkill,107
MOPE6,United States,Pennsylvania,42,Snyder,109
