Distribution Data
Symbol,Country,State,State FIP,County,County FIP
MOVIV,United States,California,06,,
MOVIV,United States,California,06,Alameda,001
MOVIV,United States,California,06,Amador,005
MOVIV,United States,California,06,Butte,007
MOVIV,United States,California,06,Calaveras,009
MOVIV,United States,California,06,Colusa,011
MOVIV,United States,California,06,Contra Costa,013
MOVIV,United States,California,06,El Dorado,017
MOVIV,United States,California,06,Glenn,021
MOVIV,United States,California,06,Humboldt,023
MOVIV,United States,California,06,Lake,033
MOVIV,United States,California,06,Marin,041
MOVIV,United States,California,06,Mariposa,043
MOVIV,United States,California,06,Mendocino,045
MOVIV,United States,California,06,Monterey,053
MOVIV,United States,California,06,Napa,055
MOVIV,United States,California,06,Nevada,057
MOVIV,United States,California,06,Plumas,063
MOVIV,United States,California,06,San Benito,069
MOVIV,United States,California,06,San Francisco,075
MOVIV,United States,California,06,San Luis Obispo,079
MOVIV,United States,California,06,San Mateo,081
MOVIV,United States,California,06,Santa Barbara,083
MOVIV,United States,California,06,Santa Clara,085
MOVIV,United States,California,06,Santa Cruz,087
MOVIV,United States,California,06,Shasta,089
MOVIV,United States,California,06,Solano,095
MOVIV,United States,California,06,Sonoma,097
MOVIV,United States,California,06,Stanislaus,099
MOVIV,United States,California,06,Tehama,103
MOVIV,United States,California,06,Tulare,107
MOVIV,United States,California,06,Tuolumne,109
MOVIV,United States,Oregon,41,,
MOVIV,United States,Oregon,41,Douglas,019
MOVIV,United States,Oregon,41,Jackson,029
MOVIV,United States,Oregon,41,Josephine,033
