Distribution Data
Symbol,Country,State,State FIP,County,County FIP
OECAN,United States,Arizona,04,,
OECAN,United States,Arizona,04,Apache,001
OECAN,United States,Arizona,04,Coconino,005
OECAN,United States,Arizona,04,Navajo,017
OECAN,United States,Colorado,08,,
OECAN,United States,New Mexico,35,,
OECAN,United States,New Mexico,35,McKinley,031
OECAN,United States,New Mexico,35,Rio Arriba,039
OECAN,United States,New Mexico,35,San Juan,045
OECAN,United States,New Mexico,35,Sandoval,043
OECAN,United States,Utah,49,,
OECAN,United States,Utah,49,Carbon,007
OECAN,United States,Utah,49,Daggett,009
OECAN,United States,Utah,49,Duchesne,013
OECAN,United States,Utah,49,Emery,015
OECAN,United States,Utah,49,Garfield,017
OECAN,United States,Utah,49,Grand,019
OECAN,United States,Utah,49,Kane,025
OECAN,United States,Utah,49,San Juan,037
OECAN,United States,Utah,49,Sanpete,039
OECAN,United States,Utah,49,Sevier,041
OECAN,United States,Utah,49,Uintah,047
OECAN,United States,Utah,49,Wasatch,051
OECAN,United States,Utah,49,Washington,053
OECAN,United States,Utah,49,Wayne,055
