Distribution Data
Symbol,Country,State,State FIP,County,County FIP
PHLE4,Canada,Alberta,01,,
PHLE4,Canada,British Columbia,02,,
PHLE4,United States,California,06,,
PHLE4,United States,California,06,Amador,005
PHLE4,United States,California,06,Butte,007
PHLE4,United States,California,06,Calaveras,009
PHLE4,United States,California,06,Del Norte,015
PHLE4,United States,California,06,El Dorado,017
PHLE4,United States,California,06,Fresno,019
PHLE4,United States,California,06,Humboldt,023
PHLE4,United States,California,06,Mariposa,043
PHLE4,United States,California,06,Mendocino,045
PHLE4,United States,California,06,Nevada,057
PHLE4,United States,California,06,Placer,061
PHLE4,United States,California,06,Plumas,063
PHLE4,United States,California,06,Shasta,089
PHLE4,United States,California,06,Sierra,091
PHLE4,United States,California,06,Siskiyou,093
PHLE4,United States,California,06,Stanislaus,099
PHLE4,United States,California,06,Sutter,101
PHLE4,United States,California,06,Tehama,103
PHLE4,United States,California,06,Trinity,105
PHLE4,United States,California,06,Tulare,107
PHLE4,United States,California,06,Tuolumne,109
PHLE4,United States,California,06,Yuba,115
PHLE4,United States,Idaho,16,,
PHLE4,United States,Idaho,16,Ada,001
PHLE4,United States,Idaho,16,Adams,003
PHLE4,United States,Idaho,16,Blaine,013
PHLE4,United States,Idaho,16,Boise,015
PHLE4,United States,Idaho,16,Bonner,017
PHLE4,United States,Idaho,16,Boundary,021
PHLE4,United States,Idaho,16,Butte,023
PHLE4,United States,Idaho,16,Clearwater,035
PHLE4,United States,Idaho,16,Custer,037
PHLE4,United States,Idaho,16,Elmore,039
PHLE4,United States,Idaho,16,Gem,045
PHLE4,United States,Idaho,16,Gooding,047
PHLE4,United States,Idaho,16,Idaho,049
PHLE4,United States,Idaho,16,Kootenai,055
PHLE4,United States,Idaho,16,Latah,057
PHLE4,United States,Idaho,16,Lemhi,059
PHLE4,United States,Idaho,16,Lewis,061
PHLE4,United States,Idaho,16,Nez Perce,069
PHLE4,United States,Idaho,16,Owyhee,073
PHLE4,United States,Idaho,16,Shoshone,079
PHLE4,United States,Idaho,16,Valley,085
PHLE4,United States,Idaho,16,Washington,087
PHLE4,United States,Montana,30,,
PHLE4,United States,Oregon,41,,
PHLE4,United States,Oregon,41,Baker,001
PHLE4,United States,Oregon,41,Benton,003
PHLE4,United States,Oregon,41,Clackamas,005
PHLE4,United States,Oregon,41,Clatsop,007
PHLE4,United States,Oregon,41,Coos,011
PHLE4,United States,Oregon,41,Crook,013
PHLE4,United States,Oregon,41,Curry,015
PHLE4,United States,Oregon,41,Deschutes,017
PHLE4,United States,Oregon,41,Douglas,019
PHLE4,United States,Oregon,41,Gilliam,021
PHLE4,United States,Oregon,41,Grant,023
PHLE4,United States,Oregon,41,Harney,025
PHLE4,United States,Oregon,41,Hood River,027
PHLE4,United States,Oregon,41,Jackson,029
PHLE4,United States,Oregon,41,Jefferson,031
PHLE4,United States,Oregon,41,Josephine,033
PHLE4,United States,Oregon,41,Klamath,035
PHLE4,United States,Oregon,41,Lane,039
PHLE4,United States,Oregon,41,Lincoln,041
PHLE4,United States,Oregon,41,Linn,043
PHLE4,United States,Oregon,41,Malheur,045
PHLE4,United States,Oregon,41,Marion,047
PHLE4,United States,Oregon,41,Morrow,049
PHLE4,United States,Oregon,41,Multnomah,051
PHLE4,United States,Oregon,41,Polk,053
PHLE4,United States,Oregon,41,Sherman,055
PHLE4,United States,Oregon,41,Tillamook,057
PHLE4,United States,Oregon,41,Umatilla,059
PHLE4,United States,Oregon,41,Union,061
PHLE4,United States,Oregon,41,Wallowa,063
PHLE4,United States,Oregon,41,Wasco,065
PHLE4,United States,Oregon,41,Washington,067
PHLE4,United States,Oregon,41,Wheeler,069
PHLE4,United States,Oregon,41,Yamhill,071
PHLE4,United States,Washington,53,,
PHLE4,United States,Washington,53,Adams,001
PHLE4,United States,Washington,53,Asotin,003
PHLE4,United States,Washington,53,Benton,005
PHLE4,United States,Washington,53,Chelan,007
PHLE4,United States,Washington,53,Clallam,009
PHLE4,United States,Washington,53,Clark,011
PHLE4,United States,Washington,53,Columbia,013
PHLE4,United States,Washington,53,Cowlitz,015
PHLE4,United States,Washington,53,Douglas,017
PHLE4,United States,Washington,53,Ferry,019
PHLE4,United States,Washington,53,Franklin,021
PHLE4,United States,Washington,53,Garfield,023
PHLE4,United States,Washington,53,Grant,025
PHLE4,United States,Washington,53,Grays Harbor,027
PHLE4,United States,Washington,53,Island,029
PHLE4,United States,Washington,53,King,033
PHLE4,United States,Washington,53,Kitsap,035
PHLE4,United States,Washington,53,Kittitas,037
PHLE4,United States,Washington,53,Klickitat,039
PHLE4,United States,Washington,53,Lincoln,043
PHLE4,United States,Washington,53,Mason,045
PHLE4,United States,Washington,53,Okanogan,047
PHLE4,United States,Washington,53,Pend Oreille,051
PHLE4,United States,Washington,53,Pierce,053
PHLE4,United States,Washington,53,San Juan,055
PHLE4,United States,Washington,53,Skagit,057
PHLE4,United States,Washington,53,Skamania,059
PHLE4,United States,Washington,53,Snohomish,061
PHLE4,United States,Washington,53,Spokane,063
PHLE4,United States,Washington,53,Stevens,065
PHLE4,United States,Washington,53,Thurston,067
PHLE4,United States,Washington,53,Wahkiakum,069
PHLE4,United States,Washington,53,Walla Walla,071
PHLE4,United States,Washington,53,Whatcom,073
PHLE4,United States,Washington,53,Whitman,075
PHLE4,United States,Washington,53,Yakima,077
