Distribution Data
Symbol,Country,State,State FIP,County,County FIP
PHLI,Canada,Alberta,01,,
PHLI,Canada,British Columbia,02,,
PHLI,United States,California,06,,
PHLI,United States,California,06,Alpine,003
PHLI,United States,California,06,Lassen,035
PHLI,United States,California,06,Modoc,049
PHLI,United States,California,06,Plumas,063
PHLI,United States,California,06,Shasta,089
PHLI,United States,California,06,Sierra,091
PHLI,United States,California,06,Siskiyou,093
PHLI,United States,California,06,Trinity,105
PHLI,United States,Connecticut,09,,
PHLI,United States,Connecticut,09,Hartford,003
PHLI,United States,Idaho,16,,
PHLI,United States,Idaho,16,Ada,001
PHLI,United States,Idaho,16,Adams,003
PHLI,United States,Idaho,16,Bannock,005
PHLI,United States,Idaho,16,Boise,015
PHLI,United States,Idaho,16,Bonner,017
PHLI,United States,Idaho,16,Canyon,027
PHLI,United States,Idaho,16,Elmore,039
PHLI,United States,Idaho,16,Franklin,041
PHLI,United States,Idaho,16,Gem,045
PHLI,United States,Idaho,16,Idaho,049
PHLI,United States,Idaho,16,Kootenai,055
PHLI,United States,Idaho,16,Lemhi,059
PHLI,United States,Idaho,16,Lewis,061
PHLI,United States,Idaho,16,Nez Perce,069
PHLI,United States,Idaho,16,Owyhee,073
PHLI,United States,Idaho,16,Washington,087
PHLI,United States,Maine,23,,
PHLI,United States,Maine,23,Hancock,009
PHLI,United States,Montana,30,,
PHLI,United States,Montana,30,Big Horn,003
PHLI,United States,Montana,30,Broadwater,007
PHLI,United States,Montana,30,Carbon,009
PHLI,United States,Montana,30,Carter,011
PHLI,United States,Montana,30,Cascade,013
PHLI,United States,Montana,30,Custer,017
PHLI,United States,Montana,30,Fergus,027
PHLI,United States,Montana,30,Flathead,029
PHLI,United States,Montana,30,Gallatin,031
PHLI,United States,Montana,30,Golden Valley,037
PHLI,United States,Montana,30,Hill,041
PHLI,United States,Montana,30,Jefferson,043
PHLI,United States,Montana,30,Judith Basin,045
PHLI,United States,Montana,30,Lewis and Clark,049
PHLI,United States,Montana,30,Madison,057
PHLI,United States,Montana,30,McCone,055
PHLI,United States,Montana,30,Meagher,059
PHLI,United States,Montana,30,Mineral,061
PHLI,United States,Montana,30,Missoula,063
PHLI,United States,Montana,30,Musselshell,065
PHLI,United States,Montana,30,Park,067
PHLI,United States,Montana,30,Petroleum,069
