Distribution Data
Symbol,Country,State,State FIP,County,County FIP
RHLA3,United States,Arizona,04,,
RHLA3,United States,New Mexico,35,,
RHLA3,United States,New Mexico,35,Dona Ana,013
RHLA3,United States,New Mexico,35,Eddy,015
RHLA3,United States,Oklahoma,40,,
RHLA3,United States,Oklahoma,40,Bryan,013
RHLA3,United States,Oklahoma,40,Cherokee,021
RHLA3,United States,Oklahoma,40,Cleveland,027
RHLA3,United States,Oklahoma,40,Delaware,041
RHLA3,United States,Oklahoma,40,Garfield,047
RHLA3,United States,Oklahoma,40,Johnston,069
RHLA3,United States,Oklahoma,40,Le Flore,079
RHLA3,United States,Oklahoma,40,Mayes,097
RHLA3,United States,Oklahoma,40,Murray,099
RHLA3,United States,Oklahoma,40,Muskogee,101
RHLA3,United States,Oklahoma,40,Oklahoma,109
RHLA3,United States,Oklahoma,40,Osage,113
RHLA3,United States,Oklahoma,40,Ottawa,115
RHLA3,United States,Oklahoma,40,Stephens,137
RHLA3,United States,Texas,48,,
RHLA3,United States,Texas,48,Bandera,019
RHLA3,United States,Texas,48,Bell,027
RHLA3,United States,Texas,48,Bexar,029
RHLA3,United States,Texas,48,Blanco,031
RHLA3,United States,Texas,48,Bosque,035
RHLA3,United States,Texas,48,Brazos,041
RHLA3,United States,Texas,48,Brewster,043
RHLA3,United States,Texas,48,Brown,049
RHLA3,United States,Texas,48,Burnet,053
RHLA3,United States,Texas,48,Callahan,059
RHLA3,United States,Texas,48,Coleman,083
RHLA3,United States,Texas,48,Comal,091
RHLA3,United States,Texas,48,Comanche,093
RHLA3,United States,Texas,48,Concho,095
RHLA3,United States,Texas,48,Coryell,099
RHLA3,United States,Texas,48,Crockett,105
RHLA3,United States,Texas,48,Culberson,109
RHLA3,United States,Texas,48,Dallas,113
RHLA3,United States,Texas,48,Erath,143
RHLA3,United States,Texas,48,Gillespie,171
RHLA3,United States,Texas,48,Grayson,181
RHLA3,United States,Texas,48,Hays,209
RHLA3,United States,Texas,48,Hood,221
RHLA3,United States,Texas,48,Houston,225
RHLA3,United States,Texas,48,Jeff Davis,243
RHLA3,United States,Texas,48,Johnson,251
RHLA3,United States,Texas,48,Kerr,265
RHLA3,United States,Texas,48,Kimble,267
RHLA3,United States,Texas,48,Lampasas,281
RHLA3,United States,Texas,48,Llano,299
RHLA3,United States,Texas,48,Mason,319
RHLA3,United States,Texas,48,McLennan,309
RHLA3,United States,Texas,48,Menard,327
RHLA3,United States,Texas,48,Mills,333
RHLA3,United States,Texas,48,Nolan,353
RHLA3,United States,Texas,48,Palo Pinto,363
RHLA3,United States,Texas,48,Parker,367
RHLA3,United States,Texas,48,Presidio,377
RHLA3,United States,Texas,48,Real,385
RHLA3,United States,Texas,48,San Saba,411
RHLA3,United States,Texas,48,Schleicher,413
RHLA3,United States,Texas,48,Sutton,435
RHLA3,United States,Texas,48,Tarrant,439
RHLA3,United States,Texas,48,Tom Green,451
RHLA3,United States,Texas,48,Travis,453
RHLA3,United States,Texas,48,Williamson,491
