Distribution Data
Symbol,Country,State,State FIP,County,County FIP
RICEP,United States,Arizona,04,,
RICEP,United States,Arizona,04,Apache,001
RICEP,United States,Arizona,04,Greenlee,011
RICEP,United States,Arizona,04,Mohave,015
RICEP,United States,Arizona,04,Yavapai,025
RICEP,United States,California,06,,
RICEP,United States,California,06,El Dorado,017
RICEP,United States,California,06,Inyo,027
RICEP,United States,California,06,Mono,051
RICEP,United States,California,06,Placer,061
RICEP,United States,California,06,Tulare,107
RICEP,United States,Colorado,08,,
RICEP,United States,Colorado,08,Baca,009
RICEP,United States,Colorado,08,Boulder,013
RICEP,United States,Colorado,08,Chaffee,015
RICEP,United States,Colorado,08,Custer,027
RICEP,United States,Colorado,08,El Paso,041
RICEP,United States,Colorado,08,Elbert,039
RICEP,United States,Colorado,08,Huerfano,055
RICEP,United States,Colorado,08,Jefferson,059
RICEP,United States,Colorado,08,Larimer,069
RICEP,United States,Colorado,08,Las Animas,071
RICEP,United States,Colorado,08,Logan,075
RICEP,United States,Colorado,08,Pueblo,101
RICEP,United States,Colorado,08,Saguache,109
RICEP,United States,Colorado,08,Weld,123
RICEP,United States,Idaho,16,,
RICEP,United States,Idaho,16,Adams,003
RICEP,United States,Idaho,16,Blaine,013
RICEP,United States,Idaho,16,Butte,023
RICEP,United States,Idaho,16,Caribou,029
RICEP,United States,Idaho,16,Cassia,031
RICEP,United States,Idaho,16,Clark,033
RICEP,United States,Idaho,16,Custer,037
RICEP,United States,Idaho,16,Gooding,047
RICEP,United States,Idaho,16,Idaho,049
RICEP,United States,Idaho,16,Jefferson,051
RICEP,United States,Idaho,16,Lemhi,059
RICEP,United States,Idaho,16,Power,077
RICEP,United States,Idaho,16,Twin Falls,083
RICEP,United States,Idaho,16,Valley,085
RICEP,United States,Montana,30,,
RICEP,United States,Montana,30,Carter,011
RICEP,United States,Montana,30,Dawson,021
RICEP,United States,Montana,30,Fallon,025
RICEP,United States,Montana,30,Garfield,033
RICEP,United States,Montana,30,Petroleum,069
RICEP,United States,Montana,30,Rosebud,087
RICEP,United States,Nebraska,31,,
RICEP,United States,Nebraska,31,Banner,007
RICEP,United States,Nebraska,31,Dawes,045
RICEP,United States,Nebraska,31,Deuel,049
RICEP,United States,Nebraska,31,Kimball,105
RICEP,United States,Nebraska,31,Scotts Bluff,157
RICEP,United States,Nebraska,31,Sheridan,161
RICEP,United States,Nebraska,31,Sioux,165
RICEP,United States,Nevada,32,,
RICEP,United States,Nevada,32,Clark,003
RICEP,United States,Nevada,32,Elko,007
RICEP,United States,Nevada,32,Eureka,011
RICEP,United States,Nevada,32,Lander,015
RICEP,United States,Nevada,32,Lincoln,017
RICEP,United States,Nevada,32,Nye,023
RICEP,United States,Nevada,32,White Pine,033
RICEP,United States,New Mexico,35,,
RICEP,United States,New Mexico,35,Bernalillo,001
RICEP,United States,New Mexico,35,Catron,003
RICEP,United States,New Mexico,35,Cibola,006
RICEP,United States,New Mexico,35,Colfax,007
RICEP,United States,New Mexico,35,Grant,017
RICEP,United States,New Mexico,35,Harding,021
RICEP,United States,New Mexico,35,Lincoln,027
RICEP,United States,New Mexico,35,Los Alamos,028
RICEP,United States,New Mexico,35,McKinley,031
RICEP,United States,New Mexico,35,Mora,033
RICEP,United States,New Mexico,35,Otero,035
RICEP,United States,New Mexico,35,San Juan,045
RICEP,United States,New Mexico,35,Sandoval,043
RICEP,United States,New Mexico,35,Santa Fe,049
RICEP,United States,New Mexico,35,Socorro,053
RICEP,United States,New Mexico,35,Taos,055
RICEP,United States,New Mexico,35,Torrance,057
RICEP,United States,New Mexico,35,Union,059
RICEP,United States,New Mexico,35,Valencia,061
RICEP,United States,North Dakota,38,,
RICEP,United States,North Dakota,38,Billings,007
RICEP,United States,North Dakota,38,Bowman,011
RICEP,United States,North Dakota,38,Slope,087
RICEP,United States,Oklahoma,40,,
RICEP,United States,Oklahoma,40,Cimarron,025
RICEP,United States,South Dakota,46,,
RICEP,United States,South Dakota,46,Butte,019
RICEP,United States,South Dakota,46,Custer,033
RICEP,United States,South Dakota,46,Fall River,047
RICEP,United States,South Dakota,46,Harding,063
RICEP,United States,South Dakota,46,Lawrence,081
RICEP,United States,South Dakota,46,Meade,093
RICEP,United States,South Dakota,46,Pennington,103
RICEP,United States,Utah,49,,
RICEP,United States,Utah,49,Beaver,001
RICEP,United States,Utah,49,Box Elder,003
RICEP,United States,Utah,49,Cache,005
RICEP,United States,Utah,49,Carbon,007
RICEP,United States,Utah,49,Daggett,009
RICEP,United States,Utah,49,Duchesne,013
RICEP,United States,Utah,49,Emery,015
RICEP,United States,Utah,49,Garfield,017
RICEP,United States,Utah,49,Grand,019
RICEP,United States,Utah,49,Iron,021
RICEP,United States,Utah,49,Juab,023
RICEP,United States,Utah,49,Kane,025
RICEP,United States,Utah,49,Millard,027
RICEP,United States,Utah,49,Piute,031
RICEP,United States,Utah,49,Rich,033
RICEP,United States,Utah,49,Salt Lake,035
RICEP,United States,Utah,49,San Juan,037
RICEP,United States,Utah,49,Sanpete,039
RICEP,United States,Utah,49,Sevier,041
RICEP,United States,Utah,49,Summit,043
RICEP,United States,Utah,49,Tooele,045
RICEP,United States,Utah,49,Uintah,047
RICEP,United States,Utah,49,Utah,049
RICEP,United States,Utah,49,Wasatch,051
RICEP,United States,Utah,49,Washington,053
RICEP,United States,Utah,49,Wayne,055
RICEP,United States,Utah,49,Weber,057
RICEP,United States,Wyoming,56,,
RICEP,United States,Wyoming,56,Albany,001
RICEP,United States,Wyoming,56,Big Horn,003
RICEP,United States,Wyoming,56,Campbell,005
RICEP,United States,Wyoming,56,Carbon,007
RICEP,United States,Wyoming,56,Converse,009
RICEP,United States,Wyoming,56,Crook,011
RICEP,United States,Wyoming,56,Fremont,013
RICEP,United States,Wyoming,56,Goshen,015
RICEP,United States,Wyoming,56,Hot Springs,017
RICEP,United States,Wyoming,56,Johnson,019
RICEP,United States,Wyoming,56,Laramie,021
RICEP,United States,Wyoming,56,Lincoln,023
RICEP,United States,Wyoming,56,Natrona,025
RICEP,United States,Wyoming,56,Niobrara,027
RICEP,United States,Wyoming,56,Park,029
RICEP,United States,Wyoming,56,Platte,031
RICEP,United States,Wyoming,56,Sheridan,033
RICEP,United States,Wyoming,56,Sublette,035
RICEP,United States,Wyoming,56,Sweetwater,037
RICEP,United States,Wyoming,56,Teton,039
RICEP,United States,Wyoming,56,Washakie,043
RICEP,United States,Wyoming,56,Weston,045
