Distribution Data
Symbol,Country,State,State FIP,County,County FIP
RUDR,United States,Texas,48,,
RUDR,United States,Texas,48,Bandera,019
RUDR,United States,Texas,48,Bell,027
RUDR,United States,Texas,48,Bexar,029
RUDR,United States,Texas,48,Bosque,035
RUDR,United States,Texas,48,Comal,091
RUDR,United States,Texas,48,Dallas,113
RUDR,United States,Texas,48,Gillespie,171
RUDR,United States,Texas,48,Gonzales,177
RUDR,United States,Texas,48,Guadalupe,187
RUDR,United States,Texas,48,Hamilton,193
RUDR,United States,Texas,48,Hays,209
RUDR,United States,Texas,48,Kerr,265
RUDR,United States,Texas,48,Llano,299
RUDR,United States,Texas,48,McLennan,309
RUDR,United States,Texas,48,Travis,453
RUDR,United States,Texas,48,Uvalde,463
RUDR,United States,Texas,48,Williamson,491
