Distribution Data
Symbol,Country,State,State FIP,County,County FIP
RUOC2,United States,California,06,,
RUOC2,United States,California,06,Butte,007
RUOC2,United States,California,06,Del Norte,015
RUOC2,United States,California,06,Glenn,021
RUOC2,United States,California,06,Humboldt,023
RUOC2,United States,California,06,Mendocino,045
RUOC2,United States,California,06,Nevada,057
RUOC2,United States,California,06,Placer,061
RUOC2,United States,California,06,Plumas,063
RUOC2,United States,California,06,Tehama,103
RUOC2,United States,Idaho,16,,
RUOC2,United States,Idaho,16,Ada,001
RUOC2,United States,Idaho,16,Adams,003
RUOC2,United States,Idaho,16,Bannock,005
RUOC2,United States,Idaho,16,Bear Lake,007
RUOC2,United States,Idaho,16,Bingham,011
RUOC2,United States,Idaho,16,Blaine,013
RUOC2,United States,Idaho,16,Boise,015
RUOC2,United States,Idaho,16,Bonneville,019
RUOC2,United States,Idaho,16,Butte,023
RUOC2,United States,Idaho,16,Caribou,029
RUOC2,United States,Idaho,16,Cassia,031
RUOC2,United States,Idaho,16,Clark,033
RUOC2,United States,Idaho,16,Clearwater,035
RUOC2,United States,Idaho,16,Custer,037
RUOC2,United States,Idaho,16,Elmore,039
RUOC2,United States,Idaho,16,Fremont,043
RUOC2,United States,Idaho,16,Idaho,049
RUOC2,United States,Idaho,16,Kootenai,055
RUOC2,United States,Idaho,16,Latah,057
RUOC2,United States,Idaho,16,Madison,065
RUOC2,United States,Idaho,16,Nez Perce,069
RUOC2,United States,Idaho,16,Oneida,071
RUOC2,United States,Idaho,16,Owyhee,073
RUOC2,United States,Idaho,16,Shoshone,079
RUOC2,United States,Idaho,16,Valley,085
RUOC2,United States,Montana,30,,
RUOC2,United States,Montana,30,Beaverhead,001
RUOC2,United States,Montana,30,Gallatin,031
RUOC2,United States,Nevada,32,,
RUOC2,United States,Nevada,32,Elko,007
RUOC2,United States,Nevada,32,Humboldt,013
RUOC2,United States,Oregon,41,,
RUOC2,United States,Oregon,41,Baker,001
RUOC2,United States,Oregon,41,Clatsop,007
RUOC2,United States,Oregon,41,Crook,013
RUOC2,United States,Oregon,41,Curry,015
RUOC2,United States,Oregon,41,Douglas,019
RUOC2,United States,Oregon,41,Grant,023
RUOC2,United States,Oregon,41,Harney,025
RUOC2,United States,Oregon,41,Jackson,029
RUOC2,United States,Oregon,41,Josephine,033
RUOC2,United States,Oregon,41,Klamath,035
RUOC2,United States,Oregon,41,Lane,039
RUOC2,United States,Oregon,41,Linn,043
RUOC2,United States,Oregon,41,Marion,047
RUOC2,United States,Oregon,41,Tillamook,057
RUOC2,United States,Oregon,41,Umatilla,059
RUOC2,United States,Oregon,41,Union,061
RUOC2,United States,Oregon,41,Wallowa,063
RUOC2,United States,Oregon,41,Wheeler,069
RUOC2,United States,Oregon,41,Yamhill,071
RUOC2,United States,Utah,49,,
RUOC2,United States,Utah,49,Beaver,001
RUOC2,United States,Utah,49,Box Elder,003
RUOC2,United States,Utah,49,Cache,005
RUOC2,United States,Utah,49,Carbon,007
RUOC2,United States,Utah,49,Davis,011
RUOC2,United States,Utah,49,Duchesne,013
RUOC2,United States,Utah,49,Emery,015
RUOC2,United States,Utah,49,Iron,021
RUOC2,United States,Utah,49,Juab,023
RUOC2,United States,Utah,49,Kane,025
RUOC2,United States,Utah,49,Millard,027
RUOC2,United States,Utah,49,Piute,031
RUOC2,United States,Utah,49,Salt Lake,035
RUOC2,United States,Utah,49,Sanpete,039
RUOC2,United States,Utah,49,Sevier,041
RUOC2,United States,Utah,49,Summit,043
RUOC2,United States,Utah,49,Tooele,045
RUOC2,United States,Utah,49,Utah,049
RUOC2,United States,Utah,49,Wasatch,051
RUOC2,United States,Utah,49,Washington,053
RUOC2,United States,Utah,49,Weber,057
RUOC2,United States,Washington,53,,
RUOC2,United States,Washington,53,Columbia,013
RUOC2,United States,Washington,53,Garfield,023
RUOC2,United States,Washington,53,Lewis,041
RUOC2,United States,Washington,53,Pend Oreille,051
RUOC2,United States,Washington,53,Spokane,063
RUOC2,United States,Washington,53,Wahkiakum,069
RUOC2,United States,Washington,53,Walla Walla,071
RUOC2,United States,Washington,53,Whitman,075
RUOC2,United States,Wyoming,56,,
RUOC2,United States,Wyoming,56,Lincoln,023
RUOC2,United States,Wyoming,56,Park,029
RUOC2,United States,Wyoming,56,Sublette,035
RUOC2,United States,Wyoming,56,Teton,039
