Distribution Data
Symbol,Country,State,State FIP,County,County FIP
RUPAV,United States,California,06,,
RUPAV,United States,California,06,Marin,041
RUPAV,United States,California,06,Mendocino,045
RUPAV,United States,California,06,Monterey,053
RUPAV,United States,California,06,San Francisco,075
RUPAV,United States,California,06,San Luis Obispo,079
RUPAV,United States,California,06,San Mateo,081
RUPAV,United States,California,06,Santa Barbara,083
RUPAV,United States,California,06,Santa Cruz,087
RUPAV,United States,California,06,Sonoma,097
