Distribution Data
Symbol,Country,State,State FIP,County,County FIP
SELI4,United States,Arizona,04,,
SELI4,United States,Arizona,04,Cochise,003
SELI4,United States,New Mexico,35,,
SELI4,United States,New Mexico,35,Dona Ana,013
SELI4,United States,New Mexico,35,Eddy,015
SELI4,United States,New Mexico,35,Grant,017
SELI4,United States,New Mexico,35,Hidalgo,023
SELI4,United States,New Mexico,35,Lincoln,027
SELI4,United States,New Mexico,35,Luna,029
SELI4,United States,New Mexico,35,Otero,035
SELI4,United States,New Mexico,35,Socorro,053
SELI4,United States,Texas,48,,
SELI4,United States,Texas,48,Bandera,019
SELI4,United States,Texas,48,Bexar,029
SELI4,United States,Texas,48,Brewster,043
SELI4,United States,Texas,48,Burnet,053
SELI4,United States,Texas,48,Cameron,061
SELI4,United States,Texas,48,Comal,091
SELI4,United States,Texas,48,Culberson,109
SELI4,United States,Texas,48,Dimmit,127
SELI4,United States,Texas,48,El Paso,141
SELI4,United States,Texas,48,Gillespie,171
SELI4,United States,Texas,48,Hays,209
SELI4,United States,Texas,48,Hudspeth,229
SELI4,United States,Texas,48,Jeff Davis,243
SELI4,United States,Texas,48,Kinney,271
SELI4,United States,Texas,48,Llano,299
SELI4,United States,Texas,48,Mason,319
SELI4,United States,Texas,48,Presidio,377
SELI4,United States,Texas,48,Real,385
SELI4,United States,Texas,48,Terrell,443
SELI4,United States,Texas,48,Travis,453
SELI4,United States,Texas,48,Uvalde,463
SELI4,United States,Texas,48,Val Verde,465
