Distribution Data
Symbol,Country,State,State FIP,County,County FIP
SOCAS,Canada,Alberta,01,,
SOCAS,Canada,British Columbia,02,,
SOCAS,United States,Alaska,02,,
SOCAS,United States,Alaska,02,Fairbanks North Star,090
SOCAS,United States,Alaska,02,Kenai Peninsula,122
SOCAS,Canada,Manitoba,03,,
SOCAS,United States,California,06,,
SOCAS,United States,California,06,Alpine,003
SOCAS,United States,California,06,Butte,007
SOCAS,United States,California,06,Calaveras,009
SOCAS,United States,California,06,Colusa,011
SOCAS,United States,California,06,Del Norte,015
SOCAS,United States,California,06,El Dorado,017
SOCAS,United States,California,06,Fresno,019
SOCAS,United States,California,06,Glenn,021
SOCAS,United States,California,06,Humboldt,023
SOCAS,United States,California,06,Inyo,027
SOCAS,United States,California,06,Kern,029
SOCAS,United States,California,06,Lassen,035
SOCAS,United States,California,06,Madera,039
SOCAS,United States,California,06,Marin,041
SOCAS,United States,California,06,Mariposa,043
SOCAS,United States,California,06,Mendocino,045
SOCAS,United States,California,06,Modoc,049
SOCAS,United States,California,06,Mono,051
SOCAS,United States,California,06,Monterey,053
SOCAS,United States,California,06,Nevada,057
SOCAS,United States,California,06,Placer,061
SOCAS,United States,California,06,Plumas,063
SOCAS,United States,California,06,San Francisco,075
SOCAS,United States,California,06,San Luis Obispo,079
SOCAS,United States,California,06,San Mateo,081
SOCAS,United States,California,06,Santa Clara,085
SOCAS,United States,California,06,Santa Cruz,087
SOCAS,United States,California,06,Shasta,089
SOCAS,United States,California,06,Sierra,091
SOCAS,United States,California,06,Siskiyou,093
SOCAS,United States,California,06,Sonoma,097
SOCAS,United States,California,06,Tehama,103
SOCAS,United States,California,06,Trinity,105
SOCAS,United States,California,06,Tulare,107
SOCAS,United States,California,06,Tuolumne,109
SOCAS,Canada,Ontario,08,,
SOCAS,United States,Colorado,08,,
SOCAS,Canada,Quebec,10,,
SOCAS,Canada,Saskatchewan,11,,
SOCAS,Canada,Yukon,12,,
SOCAS,Canada,Northwest Territories,13,,
SOCAS,United States,Idaho,16,,
SOCAS,United States,Idaho,16,Ada,001
SOCAS,United States,Idaho,16,Adams,003
SOCAS,United States,Idaho,16,Bannock,005
SOCAS,United States,Idaho,16,Benewah,009
SOCAS,United States,Idaho,16,Blaine,013
SOCAS,United States,Idaho,16,Boise,015
SOCAS,United States,Idaho,16,Bonner,017
SOCAS,United States,Idaho,16,Bonneville,019
SOCAS,United States,Idaho,16,Boundary,021
SOCAS,United States,Idaho,16,Butte,023
SOCAS,United States,Idaho,16,Canyon,027
SOCAS,United States,Idaho,16,Caribou,029
SOCAS,United States,Idaho,16,Cassia,031
SOCAS,United States,Idaho,16,Clark,033
SOCAS,United States,Idaho,16,Clearwater,035
SOCAS,United States,Idaho,16,Custer,037
SOCAS,United States,Idaho,16,Elmore,039
SOCAS,United States,Idaho,16,Franklin,041
SOCAS,United States,Idaho,16,Fremont,043
SOCAS,United States,Idaho,16,Idaho,049
SOCAS,United States,Idaho,16,Kootenai,055
SOCAS,United States,Idaho,16,Latah,057
SOCAS,United States,Idaho,16,Lemhi,059
SOCAS,United States,Idaho,16,Nez Perce,069
SOCAS,United States,Idaho,16,Owyhee,073
SOCAS,United States,Idaho,16,Shoshone,079
