Distribution Data
Symbol,Country,State,State FIP,County,County FIP
SORUV,United States,Connecticut,09,,
SORUV,United States,Indiana,18,,
SORUV,United States,Indiana,18,Lagrange,087
SORUV,United States,Maine,23,,
SORUV,United States,Maryland,24,,
SORUV,United States,Massachusetts,25,,
SORUV,United States,Massachusetts,25,Berkshire,003
SORUV,United States,Massachusetts,25,Norfolk,021
SORUV,United States,Massachusetts,25,Suffolk,025
SORUV,United States,Massachusetts,25,Worcester,027
SORUV,United States,Michigan,26,,
SORUV,United States,New Hampshire,33,,
SORUV,United States,New York,36,,
SORUV,United States,Ohio,39,,
SORUV,United States,Pennsylvania,42,,
SORUV,United States,Pennsylvania,42,Allegheny,003
SORUV,United States,Pennsylvania,42,Bradford,015
SORUV,United States,Pennsylvania,42,Bucks,017
SORUV,United States,Pennsylvania,42,Butler,019
SORUV,United States,Pennsylvania,42,Cambria,021
SORUV,United States,Pennsylvania,42,Carbon,025
SORUV,United States,Pennsylvania,42,Centre,027
SORUV,United States,Pennsylvania,42,Chester,029
SORUV,United States,Pennsylvania,42,Clarion,031
SORUV,United States,Pennsylvania,42,Clearfield,033
SORUV,United States,Pennsylvania,42,Clinton,035
SORUV,United States,Pennsylvania,42,Columbia,037
SORUV,United States,Pennsylvania,42,Dauphin,043
SORUV,United States,Pennsylvania,42,Delaware,045
SORUV,United States,Pennsylvania,42,Elk,047
SORUV,United States,Pennsylvania,42,Erie,049
SORUV,United States,Pennsylvania,42,Franklin,055
SORUV,United States,Pennsylvania,42,Huntingdon,061
SORUV,United States,Pennsylvania,42,Jefferson,065
SORUV,United States,Pennsylvania,42,Lancaster,071
SORUV,United States,Pennsylvania,42,Lebanon,075
SORUV,United States,Pennsylvania,42,Luzerne,079
SORUV,United States,Pennsylvania,42,Lycoming,081
SORUV,United States,Pennsylvania,42,McKean,083
SORUV,United States,Pennsylvania,42,Monroe,089
SORUV,United States,Pennsylvania,42,Montgomery,091
SORUV,United States,Pennsylvania,42,Pike,103
SORUV,United States,Pennsylvania,42,Potter,105
SORUV,United States,Pennsylvania,42,Schuylkill,107
SORUV,United States,Pennsylvania,42,Somerset,111
SORUV,United States,Pennsylvania,42,Sullivan,113
SORUV,United States,Pennsylvania,42,Susquehanna,115
SORUV,United States,Pennsylvania,42,Tioga,117
SORUV,United States,Pennsylvania,42,Venango,121
SORUV,United States,Pennsylvania,42,Warren,123
SORUV,United States,Pennsylvania,42,Wayne,127
SORUV,United States,Pennsylvania,42,Westmoreland,129
SORUV,United States,Pennsylvania,42,York,133
SORUV,United States,Rhode Island,44,,
SORUV,United States,Vermont,50,,
SORUV,United States,Virginia,51,,
SORUV,United States,West Virginia,54,,
SORUV,United States,West Virginia,54,Randolph,083
SORUV,United States,Wisconsin,55,,
