Distribution Data
Symbol,Country,State,State FIP,County,County FIP
SPALL,Canada,Manitoba,03,,
SPALL,Canada,New Brunswick,04,,
SPALL,Canada,Nova Scotia,07,,
SPALL,Canada,Ontario,08,,
SPALL,Canada,Prince Edward Island,09,,
SPALL,United States,Connecticut,09,,
SPALL,United States,Connecticut,09,Fairfield,001
SPALL,United States,Connecticut,09,Hartford,003
SPALL,United States,Connecticut,09,Litchfield,005
SPALL,United States,Connecticut,09,Middlesex,007
SPALL,United States,Connecticut,09,New Haven,009
SPALL,United States,Connecticut,09,New London,011
SPALL,United States,Connecticut,09,Tolland,013
SPALL,United States,Connecticut,09,Windham,015
SPALL,Canada,Quebec,10,,
SPALL,United States,Delaware,10,,
SPALL,United States,Delaware,10,Kent,001
SPALL,United States,Delaware,10,New Castle,003
SPALL,United States,Georgia,13,,
SPALL,United States,Illinois,17,,
SPALL,United States,Illinois,17,Champaign,019
SPALL,United States,Illinois,17,Hancock,067
SPALL,United States,Maine,23,,
SPALL,United States,Maine,23,Androscoggin,001
SPALL,United States,Maine,23,Aroostook,003
SPALL,United States,Maine,23,Cumberland,005
SPALL,United States,Maine,23,Franklin,007
SPALL,United States,Maine,23,Hancock,009
SPALL,United States,Maine,23,Kennebec,011
SPALL,United States,Maine,23,Knox,013
SPALL,United States,Maine,23,Lincoln,015
SPALL,United States,Maine,23,Oxford,017
SPALL,United States,Maine,23,Penobscot,019
SPALL,United States,Maine,23,Piscataquis,021
SPALL,United States,Maine,23,Sagadahoc,023
SPALL,United States,Maine,23,Somerset,025
SPALL,United States,Maine,23,Waldo,027
SPALL,United States,Maine,23,Washington,029
SPALL,United States,Maine,23,York,031
SPALL,United States,Maryland,24,,
SPALL,United States,Massachusetts,25,,
SPALL,United States,Massachusetts,25,Barnstable,001
SPALL,United States,Massachusetts,25,Berkshire,003
SPALL,United States,Massachusetts,25,Bristol,005
SPALL,United States,Massachusetts,25,Dukes,007
SPALL,United States,Massachusetts,25,Essex,009
SPALL,United States,Massachusetts,25,Franklin,011
SPALL,United States,Massachusetts,25,Hampden,013
SPALL,United States,Massachusetts,25,Hampshire,015
SPALL,United States,Massachusetts,25,Middlesex,017
SPALL,United States,Massachusetts,25,Nantucket,019
SPALL,United States,Massachusetts,25,Norfolk,021
SPALL,United States,Massachusetts,25,Plymouth,023
SPALL,United States,Massachusetts,25,Suffolk,025
SPALL,United States,Massachusetts,25,Worcester,027
SPALL,United States,Michigan,26,,
SPALL,United States,Minnesota,27,,
SPALL,United States,New Hampshire,33,,
SPALL,United States,New Hampshire,33,Belknap,001
SPALL,United States,New Hampshire,33,Carroll,003
SPALL,United States,New Hampshire,33,Cheshire,005
SPALL,United States,New Hampshire,33,Coos,007
SPALL,United States,New Hampshire,33,Grafton,009
SPALL,United States,New Hampshire,33,Hillsborough,011
SPALL,United States,New Hampshire,33,Merrimack,013
SPALL,United States,New Hampshire,33,Rockingham,015
SPALL,United States,New Hampshire,33,Strafford,017
SPALL,United States,New Hampshire,33,Sullivan,019
SPALL,United States,New Jersey,34,,
SPALL,United States,New Jersey,34,Atlantic,001
SPALL,United States,New Jersey,34,Bergen,003
SPALL,United States,New Jersey,34,Burlington,005
SPALL,United States,New Jersey,34,Camden,007
SPALL,United States,New Jersey,34,Cape May,009
SPALL,United States,New Jersey,34,Essex,013
SPALL,United States,New Jersey,34,Gloucester,015
SPALL,United States,New Jersey,34,Hudson,017
SPALL,United States,New Jersey,34,Hunterdon,019
SPALL,United States,New Jersey,34,Mercer,021
SPALL,United States,New Jersey,34,Middlesex,023
SPALL,United States,New Jersey,34,Monmouth,025
SPALL,United States,New Jersey,34,Morris,027
SPALL,United States,New Jersey,34,Ocean,029
SPALL,United States,New Jersey,34,Passaic,031
SPALL,United States,New Jersey,34,Somerset,035
SPALL,United States,New Jersey,34,Sussex,037
SPALL,United States,New Jersey,34,Union,039
SPALL,United States,New Jersey,34,Warren,041
SPALL,United States,New York,36,,
SPALL,United States,New York,36,Albany,001
SPALL,United States,New York,36,Bronx,005
SPALL,United States,New York,36,Broome,007
SPALL,United States,New York,36,Cayuga,011
SPALL,United States,New York,36,Chenango,017
SPALL,United States,New York,36,Columbia,021
SPALL,United States,New York,36,Cortland,023
SPALL,United States,New York,36,Delaware,025
SPALL,United States,New York,36,Dutchess,027
SPALL,United States,New York,36,Erie,029
SPALL,United States,New York,36,Essex,031
SPALL,United States,New York,36,Franklin,033
SPALL,United States,New York,36,Fulton,035
SPALL,United States,New York,36,Greene,039
SPALL,United States,New York,36,Hamilton,041
SPALL,United States,New York,36,Herkimer,043
SPALL,United States,New York,36,Jefferson,045
SPALL,United States,New York,36,Kings,047
SPALL,United States,New York,36,Lewis,049
SPALL,United States,New York,36,Nassau,059
SPALL,United States,New York,36,Oneida,065
SPALL,United States,New York,36,Orange,071
SPALL,United States,New York,36,Oswego,075
SPALL,United States,New York,36,Putnam,079
SPALL,United States,New York,36,Queens,081
SPALL,United States,New York,36,Richmond,085
SPALL,United States,New York,36,Rockland,087
SPALL,United States,New York,36,Schoharie,095
SPALL,United States,New York,36,St. Lawrence,089
SPALL,United States,New York,36,Steuben,101
SPALL,United States,New York,36,Suffolk,103
SPALL,United States,New York,36,Sullivan,105
SPALL,United States,New York,36,Tioga,107
SPALL,United States,New York,36,Tompkins,109
SPALL,United States,New York,36,Ulster,111
SPALL,United States,New York,36,Warren,113
SPALL,United States,New York,36,Washington,115
SPALL,United States,New York,36,Westchester,119
SPALL,United States,North Carolina,37,,
SPALL,United States,North Carolina,37,Alleghany,005
SPALL,United States,North Carolina,37,Ashe,009
SPALL,United States,North Carolina,37,Avery,011
SPALL,United States,North Carolina,37,Clay,043
SPALL,United States,North Carolina,37,Jackson,099
SPALL,United States,North Carolina,37,Macon,113
SPALL,United States,North Carolina,37,Surry,171
SPALL,United States,North Carolina,37,Transylvania,175
SPALL,United States,Ohio,39,,
SPALL,United States,Pennsylvania,42,,
SPALL,United States,Pennsylvania,42,Allegheny,003
SPALL,United States,Pennsylvania,42,Bedford,009
SPALL,United States,Pennsylvania,42,Berks,011
SPALL,United States,Pennsylvania,42,Blair,013
SPALL,United States,Pennsylvania,42,Bradford,015
SPALL,United States,Pennsylvania,42,Bucks,017
SPALL,United States,Pennsylvania,42,Cambria,021
SPALL,United States,Pennsylvania,42,Cameron,023
SPALL,United States,Pennsylvania,42,Carbon,025
SPALL,United States,Pennsylvania,42,Centre,027
SPALL,United States,Pennsylvania,42,Chester,029
SPALL,United States,Pennsylvania,42,Clinton,035
SPALL,United States,Pennsylvania,42,Cumberland,041
SPALL,United States,Pennsylvania,42,Dauphin,043
SPALL,United States,Pennsylvania,42,Delaware,045
SPALL,United States,Pennsylvania,42,Elk,047
SPALL,United States,Pennsylvania,42,Erie,049
SPALL,United States,Pennsylvania,42,Fayette,051
SPALL,United States,Pennsylvania,42,Franklin,055
SPALL,United States,Pennsylvania,42,Huntingdon,061
SPALL,United States,Pennsylvania,42,Lackawanna,069
SPALL,United States,Pennsylvania,42,Lancaster,071
SPALL,United States,Pennsylvania,42,Lebanon,075
SPALL,United States,Pennsylvania,42,Lehigh,077
SPALL,United States,Pennsylvania,42,Luzerne,079
SPALL,United States,Pennsylvania,42,Lycoming,081
SPALL,United States,Pennsylvania,42,McKean,083
SPALL,United States,Pennsylvania,42,Monroe,089
SPALL,United States,Pennsylvania,42,Montgomery,091
SPALL,United States,Pennsylvania,42,Montour,093
SPALL,United States,Pennsylvania,42,Northampton,095
SPALL,United States,Pennsylvania,42,Northumberland,097
SPALL,United States,Pennsylvania,42,Philadelphia,101
SPALL,United States,Pennsylvania,42,Pike,103
SPALL,United States,Pennsylvania,42,Potter,105
SPALL,United States,Pennsylvania,42,Schuylkill,107
SPALL,United States,Pennsylvania,42,Somerset,111
SPALL,United States,Pennsylvania,42,Sullivan,113
SPALL,United States,Pennsylvania,42,Susquehanna,115
SPALL,United States,Pennsylvania,42,Union,119
SPALL,United States,Pennsylvania,42,Wayne,127
SPALL,United States,Pennsylvania,42,Wyoming,131
SPALL,United States,Pennsylvania,42,York,133
SPALL,United States,Rhode Island,44,,
SPALL,United States,Rhode Island,44,Bristol,001
SPALL,United States,Rhode Island,44,Kent,003
SPALL,United States,Rhode Island,44,Newport,005
SPALL,United States,Rhode Island,44,Providence,007
SPALL,United States,Rhode Island,44,Washington,009
SPALL,United States,Vermont,50,,
SPALL,United States,Vermont,50,Addison,001
SPALL,United States,Vermont,50,Bennington,003
SPALL,United States,Vermont,50,Caledonia,005
SPALL,United States,Vermont,50,Chittenden,007
SPALL,United States,Vermont,50,Essex,009
SPALL,United States,Vermont,50,Grand Isle,013
SPALL,United States,Vermont,50,Lamoille,015
SPALL,United States,Vermont,50,Orange,017
SPALL,United States,Vermont,50,Orleans,019
SPALL,United States,Vermont,50,Rutland,021
SPALL,United States,Vermont,50,Washington,023
SPALL,United States,Vermont,50,Windham,025
SPALL,United States,Vermont,50,Windsor,027
SPALL,United States,Virginia,51,,
SPALL,United States,Virginia,51,Amherst,009
SPALL,United States,Virginia,51,Augusta,015
SPALL,United States,Virginia,51,Bath,017
SPALL,United States,Virginia,51,Bedford,019
SPALL,United States,Virginia,51,Botetourt,023
SPALL,United States,Virginia,51,Carroll,035
SPALL,United States,Virginia,51,Essex,057
SPALL,United States,Virginia,51,Fairfax,059
SPALL,United States,Virginia,51,Grayson,077
SPALL,United States,Virginia,51,Highland,091
SPALL,United States,Virginia,51,Madison,113
SPALL,United States,Virginia,51,Nelson,125
SPALL,United States,Virginia,51,Page,139
SPALL,United States,Virginia,51,Prince William,153
SPALL,United States,Virginia,51,Pulaski,155
SPALL,United States,Virginia,51,Roanoke,161
SPALL,United States,Virginia,51,Rockbridge,163
SPALL,United States,Virginia,51,Rockingham,165
SPALL,United States,Virginia,51,Russell,167
SPALL,United States,Virginia,51,Shenandoah,171
SPALL,United States,West Virginia,54,,
SPALL,United States,West Virginia,54,Hampshire,027
SPALL,United States,West Virginia,54,Hardy,031
SPALL,United States,West Virginia,54,Morgan,065
SPALL,United States,West Virginia,54,Pendleton,071
SPALL,United States,West Virginia,54,Pocahontas,075
SPALL,United States,West Virginia,54,Preston,077
SPALL,United States,West Virginia,54,Randolph,083
SPALL,Canada,Newfoundland,NF,,
