Distribution Data
Symbol,Country,State,State FIP,County,County FIP
STBA,United States,New Mexico,35,,
STBA,United States,New Mexico,35,Chaves,005
STBA,United States,New Mexico,35,Dona Ana,013
STBA,United States,New Mexico,35,Eddy,015
STBA,United States,New Mexico,35,Lea,025
STBA,United States,New Mexico,35,Lincoln,027
STBA,United States,New Mexico,35,Otero,035
STBA,United States,New Mexico,35,Sierra,051
STBA,United States,Texas,48,,
STBA,United States,Texas,48,Brewster,043
STBA,United States,Texas,48,Culberson,109
STBA,United States,Texas,48,El Paso,141
STBA,United States,Texas,48,Hudspeth,229
STBA,United States,Texas,48,Jeff Davis,243
STBA,United States,Texas,48,Pecos,371
STBA,United States,Texas,48,Presidio,377
STBA,United States,Texas,48,Reeves,389
STBA,United States,Texas,48,Terrell,443
