Distribution Data
Symbol,Country,State,State FIP,County,County FIP
SYALL,Canada,British Columbia,02,,
SYALL,United States,Alaska,02,,
SYALL,Canada,New Brunswick,04,,
SYALL,United States,California,06,,
SYALL,United States,California,06,Alameda,001
SYALL,United States,California,06,Amador,005
SYALL,United States,California,06,Butte,007
SYALL,United States,California,06,Calaveras,009
SYALL,United States,California,06,Contra Costa,013
SYALL,United States,California,06,El Dorado,017
SYALL,United States,California,06,Humboldt,023
SYALL,United States,California,06,Kern,029
SYALL,United States,California,06,Lake,033
SYALL,United States,California,06,Los Angeles,037
SYALL,United States,California,06,Marin,041
SYALL,United States,California,06,Mendocino,045
SYALL,United States,California,06,Modoc,049
SYALL,United States,California,06,Monterey,053
SYALL,United States,California,06,Napa,055
SYALL,United States,California,06,Nevada,057
SYALL,United States,California,06,Placer,061
SYALL,United States,California,06,Plumas,063
SYALL,United States,California,06,Riverside,065
SYALL,United States,California,06,Sacramento,067
SYALL,United States,California,06,San Benito,069
SYALL,United States,California,06,San Bernardino,071
SYALL,United States,California,06,San Diego,073
SYALL,United States,California,06,San Francisco,075
SYALL,United States,California,06,San Luis Obispo,079
SYALL,United States,California,06,San Mateo,081
SYALL,United States,California,06,Santa Clara,085
SYALL,United States,California,06,Santa Cruz,087
SYALL,United States,California,06,Shasta,089
SYALL,United States,California,06,Siskiyou,093
SYALL,United States,California,06,Solano,095
SYALL,United States,California,06,Sonoma,097
SYALL,United States,California,06,Tehama,103
SYALL,United States,California,06,Trinity,105
SYALL,United States,California,06,Tuolumne,109
SYALL,Canada,Nova Scotia,07,,
SYALL,United States,Colorado,08,,
SYALL,Canada,Prince Edward Island,09,,
SYALL,United States,Connecticut,09,,
SYALL,United States,Connecticut,09,Fairfield,001
SYALL,United States,Connecticut,09,Hartford,003
SYALL,United States,Connecticut,09,Litchfield,005
SYALL,United States,Connecticut,09,New Haven,009
SYALL,United States,Connecticut,09,New London,011
SYALL,United States,Connecticut,09,Tolland,013
SYALL,United States,Delaware,10,,
SYALL,United States,District of Columbia,11,,
SYALL,United States,District of Columbia,11,District of Columbia,001
SYALL,United States,Idaho,16,,
SYALL,United States,Idaho,16,Ada,001
SYALL,United States,Idaho,16,Benewah,009
SYALL,United States,Idaho,16,Blaine,013
SYALL,United States,Idaho,16,Boise,015
SYALL,United States,Idaho,16,Bonner,017
SYALL,United States,Idaho,16,Bonneville,019
SYALL,United States,Idaho,16,Cassia,031
SYALL,United States,Idaho,16,Clearwater,035
SYALL,United States,Idaho,16,Elmore,039
SYALL,United States,Idaho,16,Franklin,041
SYALL,United States,Idaho,16,Fremont,043
SYALL,United States,Idaho,16,Idaho,049
SYALL,United States,Idaho,16,Kootenai,055
SYALL,United States,Idaho,16,Latah,057
SYALL,United States,Idaho,16,Lemhi,059
SYALL,United States,Idaho,16,Madison,065
SYALL,United States,Idaho,16,Nez Perce,069
SYALL,United States,Idaho,16,Shoshone,079
SYALL,United States,Idaho,16,Valley,085
SYALL,United States,Idaho,16,Washington,087
SYALL,United States,Illinois,17,,
SYALL,United States,Illinois,17,Cass,017
SYALL,United States,Illinois,17,Champaign,019
SYALL,United States,Illinois,17,Christian,021
SYALL,United States,Illinois,17,DuPage,043
SYALL,United States,Illinois,17,Henry,073
SYALL,United States,Illinois,17,Lake,097
SYALL,United States,Illinois,17,LaSalle,099
SYALL,United States,Illinois,17,Macon,115
SYALL,United States,Illinois,17,Winnebago,201
SYALL,United States,Indiana,18,,
SYALL,United States,Maine,23,,
SYALL,United States,Maine,23,Androscoggin,001
