Distribution Data
Symbol,Country,State,State FIP,County,County FIP
SYERS,United States,Colorado,08,,
SYERS,United States,Kansas,20,,
SYERS,United States,Minnesota,27,,
SYERS,United States,Montana,30,,
SYERS,United States,Nebraska,31,,
SYERS,United States,North Dakota,38,,
SYERS,United States,South Dakota,46,,
SYERS,United States,Utah,49,,
SYERS,United States,Utah,49,Daggett,009
SYERS,United States,Utah,49,Grand,019
SYERS,United States,Utah,49,San Juan,037
SYERS,United States,Utah,49,Uintah,047
SYERS,United States,Utah,49,Utah,049
SYERS,United States,Utah,49,Washington,053
SYERS,United States,Wyoming,56,,
SYERS,United States,Wyoming,56,Campbell,005
SYERS,United States,Wyoming,56,Converse,009
SYERS,United States,Wyoming,56,Goshen,015
SYERS,United States,Wyoming,56,Johnson,019
SYERS,United States,Wyoming,56,Park,029
SYERS,United States,Wyoming,56,Sheridan,033
SYERS,United States,Wyoming,56,Weston,045
