Distribution Data
Symbol,Country,State,State FIP,County,County FIP
SYLAT,Canada,New Brunswick,04,,
SYLAT,Canada,Nova Scotia,07,,
SYLAT,Canada,Ontario,08,,
SYLAT,Canada,Prince Edward Island,09,,
SYLAT,Canada,Quebec,10,,
SYLAT,United States,Kentucky,21,,
SYLAT,United States,Kentucky,21,Marshall,157
SYLAT,United States,Kentucky,21,McCreary,147
SYLAT,United States,Maine,23,,
SYLAT,United States,Michigan,26,,
SYLAT,United States,New Hampshire,33,,
SYLAT,United States,New York,36,,
SYLAT,United States,Vermont,50,,
