Distribution Data
Symbol,Country,State,State FIP,County,County FIP
THTE2,United States,Arizona,04,,
THTE2,United States,Arizona,04,Cochise,003
THTE2,United States,Arizona,04,Coconino,005
THTE2,United States,Arizona,04,Greenlee,011
THTE2,United States,Arizona,04,Maricopa,013
THTE2,United States,Arizona,04,Pima,019
THTE2,United States,Arizona,04,Santa Cruz,023
THTE2,United States,Arizona,04,Yavapai,025
THTE2,United States,Colorado,08,,
THTE2,United States,New Mexico,35,,
THTE2,United States,New Mexico,35,Eddy,015
THTE2,United States,New Mexico,35,Grant,017
THTE2,United States,New Mexico,35,Sierra,051
THTE2,United States,Texas,48,,
THTE2,United States,Texas,48,Bailey,017
THTE2,United States,Texas,48,Bee,025
THTE2,United States,Texas,48,Bexar,029
THTE2,United States,Texas,48,Blanco,031
THTE2,United States,Texas,48,Brewster,043
THTE2,United States,Texas,48,Burnet,053
THTE2,United States,Texas,48,Cameron,061
THTE2,United States,Texas,48,Comal,091
THTE2,United States,Texas,48,Concho,095
THTE2,United States,Texas,48,Coryell,099
THTE2,United States,Texas,48,Crane,103
THTE2,United States,Texas,48,Crockett,105
THTE2,United States,Texas,48,Culberson,109
THTE2,United States,Texas,48,Dimmit,127
THTE2,United States,Texas,48,Duval,131
THTE2,United States,Texas,48,Ector,135
THTE2,United States,Texas,48,Edwards,137
THTE2,United States,Texas,48,Ellis,139
THTE2,United States,Texas,48,Frio,163
THTE2,United States,Texas,48,Garza,169
THTE2,United States,Texas,48,Gillespie,171
THTE2,United States,Texas,48,Glasscock,173
THTE2,United States,Texas,48,Goliad,175
THTE2,United States,Texas,48,Guadalupe,187
THTE2,United States,Texas,48,Hays,209
THTE2,United States,Texas,48,Hidalgo,215
THTE2,United States,Texas,48,Howard,227
THTE2,United States,Texas,48,Irion,235
THTE2,United States,Texas,48,Jeff Davis,243
THTE2,United States,Texas,48,Jim Hogg,247
THTE2,United States,Texas,48,Jim Wells,249
THTE2,United States,Texas,48,Jones,253
THTE2,United States,Texas,48,Karnes,255
THTE2,United States,Texas,48,Kendall,259
THTE2,United States,Texas,48,Kimble,267
THTE2,United States,Texas,48,Kinney,271
THTE2,United States,Texas,48,Lamb,279
THTE2,United States,Texas,48,Live Oak,297
THTE2,United States,Texas,48,Llano,299
THTE2,United States,Texas,48,Loving,301
THTE2,United States,Texas,48,Madison,313
THTE2,United States,Texas,48,Martin,317
THTE2,United States,Texas,48,McMullen,311
THTE2,United States,Texas,48,Medina,325
THTE2,United States,Texas,48,Menard,327
THTE2,United States,Texas,48,Nolan,353
THTE2,United States,Texas,48,Pecos,371
THTE2,United States,Texas,48,Presidio,377
THTE2,United States,Texas,48,Reagan,383
THTE2,United States,Texas,48,Real,385
THTE2,United States,Texas,48,Reeves,389
THTE2,United States,Texas,48,Runnels,399
THTE2,United States,Texas,48,San Patricio,409
THTE2,United States,Texas,48,Shackelford,417
THTE2,United States,Texas,48,Starr,427
THTE2,United States,Texas,48,Sutton,435
THTE2,United States,Texas,48,Taylor,441
THTE2,United States,Texas,48,Terrell,443
THTE2,United States,Texas,48,Tom Green,451
THTE2,United States,Texas,48,Travis,453
THTE2,United States,Texas,48,Uvalde,463
THTE2,United States,Texas,48,Val Verde,465
THTE2,United States,Texas,48,Webb,479
THTE2,United States,Texas,48,Zapata,505
THTE2,United States,Texas,48,Zavala,507
