Distribution Data
Symbol,Country,State,State FIP,County,County FIP
URDIH,United States,Arizona,04,,
URDIH,United States,Arizona,04,Apache,001
URDIH,United States,Arizona,04,Coconino,005
URDIH,United States,California,06,,
URDIH,United States,California,06,Alameda,001
URDIH,United States,California,06,Alpine,003
URDIH,United States,California,06,Amador,005
URDIH,United States,California,06,Butte,007
URDIH,United States,California,06,Contra Costa,013
URDIH,United States,California,06,El Dorado,017
URDIH,United States,California,06,Fresno,019
URDIH,United States,California,06,Glenn,021
URDIH,United States,California,06,Humboldt,023
URDIH,United States,California,06,Inyo,027
URDIH,United States,California,06,Kern,029
URDIH,United States,California,06,Lake,033
URDIH,United States,California,06,Lassen,035
URDIH,United States,California,06,Los Angeles,037
URDIH,United States,California,06,Marin,041
URDIH,United States,California,06,Mariposa,043
URDIH,United States,California,06,Mendocino,045
URDIH,United States,California,06,Modoc,049
URDIH,United States,California,06,Mono,051
URDIH,United States,California,06,Monterey,053
URDIH,United States,California,06,Napa,055
URDIH,United States,California,06,Nevada,057
URDIH,United States,California,06,Orange,059
URDIH,United States,California,06,Placer,061
URDIH,United States,California,06,Plumas,063
URDIH,United States,California,06,Riverside,065
URDIH,United States,California,06,Sacramento,067
URDIH,United States,California,06,San Benito,069
URDIH,United States,California,06,San Bernardino,071
URDIH,United States,California,06,San Diego,073
URDIH,United States,California,06,San Francisco,075
URDIH,United States,California,06,San Joaquin,077
URDIH,United States,California,06,San Luis Obispo,079
URDIH,United States,California,06,San Mateo,081
URDIH,United States,California,06,Santa Barbara,083
URDIH,United States,California,06,Santa Clara,085
URDIH,United States,California,06,Santa Cruz,087
URDIH,United States,California,06,Shasta,089
URDIH,United States,California,06,Siskiyou,093
URDIH,United States,California,06,Solano,095
URDIH,United States,California,06,Sonoma,097
URDIH,United States,California,06,Stanislaus,099
URDIH,United States,California,06,Tehama,103
URDIH,United States,California,06,Tulare,107
URDIH,United States,California,06,Ventura,111
URDIH,United States,California,06,Yolo,113
URDIH,United States,Colorado,08,,
URDIH,United States,Colorado,08,Moffat,081
URDIH,United States,Idaho,16,,
URDIH,United States,Idaho,16,Bannock,005
URDIH,United States,Idaho,16,Bear Lake,007
URDIH,United States,Idaho,16,Blaine,013
URDIH,United States,Idaho,16,Boise,015
URDIH,United States,Idaho,16,Butte,023
URDIH,United States,Idaho,16,Canyon,027
URDIH,United States,Idaho,16,Clark,033
URDIH,United States,Idaho,16,Custer,037
URDIH,United States,Idaho,16,Idaho,049
URDIH,United States,Idaho,16,Owyhee,073
URDIH,United States,Idaho,16,Twin Falls,083
URDIH,United States,Montana,30,,
URDIH,United States,Nevada,32,,
URDIH,United States,Nevada,32,Carson City,510
URDIH,United States,Nevada,32,Churchill,001
URDIH,United States,Nevada,32,Clark,003
URDIH,United States,Nevada,32,Douglas,005
URDIH,United States,Nevada,32,Elko,007
URDIH,United States,Nevada,32,Humboldt,013
URDIH,United States,Nevada,32,Lander,015
URDIH,United States,Nevada,32,Lincoln,017
URDIH,United States,Nevada,32,Lyon,019
URDIH,United States,Nevada,32,Mineral,021
URDIH,United States,Nevada,32,Nye,023
URDIH,United States,Nevada,32,Pershing,027
URDIH,United States,Nevada,32,Storey,029
URDIH,United States,Nevada,32,Washoe,031
URDIH,United States,Nevada,32,White Pine,033
URDIH,United States,New Mexico,35,,
URDIH,United States,Oregon,41,,
URDIH,United States,Oregon,41,Crook,013
URDIH,United States,Oregon,41,Deschutes,017
URDIH,United States,Oregon,41,Gilliam,021
URDIH,United States,Oregon,41,Grant,023
URDIH,United States,Oregon,41,Harney,025
URDIH,United States,Oregon,41,Jackson,029
URDIH,United States,Oregon,41,Klamath,035
URDIH,United States,Oregon,41,Lake,037
URDIH,United States,Oregon,41,Malheur,045
URDIH,United States,Oregon,41,Morrow,049
URDIH,United States,Oregon,41,Multnomah,051
URDIH,United States,Oregon,41,Umatilla,059
URDIH,United States,Oregon,41,Union,061
URDIH,United States,Oregon,41,Wasco,065
URDIH,United States,Oregon,41,Wheeler,069
URDIH,United States,Utah,49,,
URDIH,United States,Utah,49,Beaver,001
URDIH,United States,Utah,49,Box Elder,003
URDIH,United States,Utah,49,Cache,005
URDIH,United States,Utah,49,Carbon,007
URDIH,United States,Utah,49,Daggett,009
URDIH,United States,Utah,49,Davis,011
URDIH,United States,Utah,49,Duchesne,013
URDIH,United States,Utah,49,Garfield,017
URDIH,United States,Utah,49,Iron,021
URDIH,United States,Utah,49,Juab,023
URDIH,United States,Utah,49,Millard,027
URDIH,United States,Utah,49,Morgan,029
URDIH,United States,Utah,49,Piute,031
URDIH,United States,Utah,49,Salt Lake,035
URDIH,United States,Utah,49,Sanpete,039
URDIH,United States,Utah,49,Summit,043
URDIH,United States,Utah,49,Tooele,045
URDIH,United States,Utah,49,Uintah,047
URDIH,United States,Utah,49,Utah,049
URDIH,United States,Utah,49,Wasatch,051
URDIH,United States,Utah,49,Washington,053
URDIH,United States,Utah,49,Wayne,055
URDIH,United States,Utah,49,Weber,057
URDIH,United States,Washington,53,,
URDIH,United States,Washington,53,Benton,005
URDIH,United States,Washington,53,Chelan,007
URDIH,United States,Washington,53,Douglas,017
URDIH,United States,Washington,53,Grant,025
URDIH,United States,Washington,53,Kittitas,037
URDIH,United States,Washington,53,Klickitat,039
URDIH,United States,Washington,53,Okanogan,047
URDIH,United States,Washington,53,Spokane,063
URDIH,United States,Washington,53,Whitman,075
URDIH,United States,Washington,53,Yakima,077
URDIH,United States,Wyoming,56,,
URDIH,United States,Wyoming,56,Lincoln,023
URDIH,United States,Wyoming,56,Park,029
URDIH,United States,Wyoming,56,Sweetwater,037
URDIH,United States,Wyoming,56,Uinta,041
