Distribution Data
Symbol,Country,State,State FIP,County,County FIP
VAUL,Canada,Alberta,01,,
VAUL,Canada,British Columbia,02,,
VAUL,United States,Alaska,02,,
VAUL,United States,Alaska,02,Aleutians East,013
VAUL,United States,Alaska,02,Aleutians West,016
VAUL,United States,Alaska,02,Anchorage,020
VAUL,United States,Alaska,02,Bethel,050
VAUL,United States,Alaska,02,Bristol Bay,060
VAUL,United States,Alaska,02,Chugach,063
VAUL,United States,Alaska,02,Copper River,066
VAUL,United States,Alaska,02,Denali,068
VAUL,United States,Alaska,02,Dillingham,070
VAUL,United States,Alaska,02,Fairbanks North Star,090
VAUL,United States,Alaska,02,Haines,100
VAUL,United States,Alaska,02,Juneau,110
VAUL,United States,Alaska,02,Kenai Peninsula,122
VAUL,United States,Alaska,02,Ketchikan Gateway,130
VAUL,United States,Alaska,02,Kodiak Island,150
VAUL,United States,Alaska,02,Lake and Peninsula,164
VAUL,United States,Alaska,02,Matanuska-Susitna,170
VAUL,United States,Alaska,02,Nome,180
VAUL,United States,Alaska,02,North Slope,185
VAUL,United States,Alaska,02,Northwest Arctic,188
VAUL,United States,Alaska,02,Sitka,220
VAUL,United States,Alaska,02,Southeast Fairbanks,240
VAUL,United States,Alaska,02,Yakutat,282
VAUL,United States,Alaska,02,Yukon-Koyukuk,290
VAUL,Canada,Manitoba,03,,
VAUL,Canada,New Brunswick,04,,
VAUL,United States,California,06,,
VAUL,United States,California,06,Alpine,003
VAUL,United States,California,06,Butte,007
VAUL,United States,California,06,Calaveras,009
VAUL,United States,California,06,El Dorado,017
VAUL,United States,California,06,Fresno,019
VAUL,United States,California,06,Humboldt,023
VAUL,United States,California,06,Inyo,027
VAUL,United States,California,06,Lassen,035
VAUL,United States,California,06,Mariposa,043
VAUL,United States,California,06,Mono,051
VAUL,United States,California,06,Nevada,057
VAUL,United States,California,06,Placer,061
VAUL,United States,California,06,Plumas,063
VAUL,United States,California,06,Shasta,089
VAUL,United States,California,06,Sierra,091
VAUL,United States,California,06,Siskiyou,093
VAUL,United States,California,06,Trinity,105
VAUL,United States,California,06,Tulare,107
VAUL,United States,California,06,Tuolumne,109
VAUL,Canada,Nova Scotia,07,,
VAUL,Canada,Ontario,08,,
VAUL,Canada,Prince Edward Island,09,,
VAUL,Canada,Quebec,10,,
VAUL,Canada,Saskatchewan,11,,
VAUL,Canada,Yukon,12,,
VAUL,Canada,Northwest Territories,13,,
VAUL,Canada,Nunavut,14,,
VAUL,United States,Idaho,16,,
VAUL,United States,Idaho,16,Bonner,017
VAUL,United States,Idaho,16,Butte,023
VAUL,United States,Idaho,16,Custer,037
VAUL,United States,Idaho,16,Idaho,049
VAUL,United States,Idaho,16,Lemhi,059
VAUL,United States,Idaho,16,Valley,085
VAUL,United States,Maine,23,,
VAUL,United States,Maine,23,Aroostook,003
VAUL,United States,Maine,23,Franklin,007
VAUL,United States,Maine,23,Oxford,017
VAUL,United States,Maine,23,Piscataquis,021
VAUL,United States,Maine,23,Somerset,025
VAUL,United States,Michigan,26,,
VAUL,United States,Michigan,26,Keweenaw,083
VAUL,United States,Minnesota,27,,
VAUL,United States,Minnesota,27,Cook,031
VAUL,United States,Montana,30,,
VAUL,United States,Montana,30,Missoula,063
VAUL,United States,Montana,30,Sweet Grass,097
VAUL,United States,Nevada,32,,
VAUL,United States,Nevada,32,Carson City,510
VAUL,United States,Nevada,32,Elko,007
VAUL,United States,Nevada,32,Washoe,031
VAUL,United States,New Hampshire,33,,
VAUL,United States,New Hampshire,33,Carroll,003
VAUL,United States,New Hampshire,33,Cheshire,005
VAUL,United States,New Hampshire,33,Coos,007
VAUL,United States,New Hampshire,33,Grafton,009
VAUL,United States,New York,36,,
VAUL,United States,New York,36,Essex,031
VAUL,United States,Oregon,41,,
VAUL,United States,Oregon,41,Baker,001
VAUL,United States,Oregon,41,Clackamas,005
VAUL,United States,Oregon,41,Coos,011
VAUL,United States,Oregon,41,Crook,013
VAUL,United States,Oregon,41,Curry,015
VAUL,United States,Oregon,41,Deschutes,017
VAUL,United States,Oregon,41,Douglas,019
VAUL,United States,Oregon,41,Hood River,027
VAUL,United States,Oregon,41,Jackson,029
VAUL,United States,Oregon,41,Jefferson,031
VAUL,United States,Oregon,41,Josephine,033
VAUL,United States,Oregon,41,Klamath,035
VAUL,United States,Oregon,41,Lane,039
VAUL,United States,Oregon,41,Lincoln,041
VAUL,United States,Oregon,41,Linn,043
VAUL,United States,Oregon,41,Marion,047
VAUL,United States,Oregon,41,Multnomah,051
VAUL,United States,Oregon,41,Polk,053
VAUL,United States,Oregon,41,Wasco,065
VAUL,United States,Utah,49,,
VAUL,United States,Utah,49,Duchesne,013
VAUL,United States,Utah,49,Morgan,029
VAUL,United States,Utah,49,Summit,043
VAUL,United States,Utah,49,Wasatch,051
VAUL,United States,Utah,49,Weber,057
VAUL,United States,Vermont,50,,
VAUL,United States,Vermont,50,Chittenden,007
VAUL,United States,Vermont,50,Lamoille,015
VAUL,United States,Vermont,50,Orleans,019
VAUL,United States,Vermont,50,Washington,023
VAUL,United States,Washington,53,,
VAUL,United States,Washington,53,Cowlitz,015
VAUL,United States,Washington,53,Island,029
VAUL,United States,Washington,53,Klickitat,039
VAUL,United States,Washington,53,Pierce,053
VAUL,United States,Washington,53,San Juan,055
VAUL,United States,Washington,53,Skamania,059
VAUL,United States,Washington,53,Whatcom,073
VAUL,United States,Washington,53,Yakima,077
VAUL,United States,Wyoming,56,,
VAUL,United States,Wyoming,56,Fremont,013
VAUL,United States,Wyoming,56,Sublette,035
VAUL,United States,Wyoming,56,Teton,039
VAUL,Canada,Labrador,LB,,
VAUL,Canada,Newfoundland,NF,,
