Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ZAFA,United States,Florida,12,,
ZAFA,United States,Florida,12,Brevard,009
ZAFA,United States,Florida,12,Broward,011
ZAFA,United States,Florida,12,Charlotte,015
ZAFA,United States,Florida,12,Citrus,017
ZAFA,United States,Florida,12,Collier,021
ZAFA,United States,Florida,12,DeSoto,027
ZAFA,United States,Florida,12,Hardee,049
ZAFA,United States,Florida,12,Hendry,051
ZAFA,United States,Florida,12,Highlands,055
ZAFA,United States,Florida,12,Hillsborough,057
ZAFA,United States,Florida,12,Indian River,061
ZAFA,United States,Florida,12,Lee,071
ZAFA,United States,Florida,12,Manatee,081
ZAFA,United States,Florida,12,Marion,083
ZAFA,United States,Florida,12,Martin,085
ZAFA,United States,Florida,12,Miami-Dade,086
ZAFA,United States,Florida,12,Monroe,087
ZAFA,United States,Florida,12,Okeechobee,093
ZAFA,United States,Florida,12,Osceola,097
ZAFA,United States,Florida,12,Palm Beach,099
ZAFA,United States,Florida,12,Pinellas,103
ZAFA,United States,Florida,12,Polk,105
ZAFA,United States,Florida,12,Sarasota,115
ZAFA,United States,Florida,12,St. Lucie,111
ZAFA,United States,Florida,12,Sumter,119
ZAFA,United States,Florida,12,Volusia,127
ZAFA,United States,Texas,48,,
ZAFA,United States,Texas,48,Aransas,007
ZAFA,United States,Texas,48,Calhoun,057
ZAFA,United States,Texas,48,Cameron,061
ZAFA,United States,Texas,48,Chambers,071
ZAFA,United States,Texas,48,Galveston,167
ZAFA,United States,Texas,48,Goliad,175
ZAFA,United States,Texas,48,Hidalgo,215
ZAFA,United States,Texas,48,Jackson,239
ZAFA,United States,Texas,48,Jim Wells,249
ZAFA,United States,Texas,48,Kenedy,261
ZAFA,United States,Texas,48,Kleberg,273
ZAFA,United States,Texas,48,Live Oak,297
ZAFA,United States,Texas,48,San Patricio,409
ZAFA,United States,Texas,48,Webb,479
ZAFA,United States,Texas,48,Zapata,505
