Distribution Data
Symbol,Country,State,State FIP,County,County FIP
ZIGR,United States,Arizona,04,,
ZIGR,United States,Arizona,04,Apache,001
ZIGR,United States,Arizona,04,Cochise,003
ZIGR,United States,Arizona,04,Coconino,005
ZIGR,United States,Arizona,04,Greenlee,011
ZIGR,United States,Arizona,04,Mohave,015
ZIGR,United States,Arizona,04,Navajo,017
ZIGR,United States,Arizona,04,Santa Cruz,023
ZIGR,United States,Arizona,04,Yavapai,025
ZIGR,United States,Colorado,08,,
ZIGR,United States,Colorado,08,Baca,009
ZIGR,United States,Colorado,08,Bent,011
ZIGR,United States,Colorado,08,Cheyenne,017
ZIGR,United States,Colorado,08,Crowley,025
ZIGR,United States,Colorado,08,El Paso,041
ZIGR,United States,Colorado,08,Fremont,043
ZIGR,United States,Colorado,08,Huerfano,055
ZIGR,United States,Colorado,08,Kiowa,061
ZIGR,United States,Colorado,08,Las Animas,071
ZIGR,United States,Colorado,08,Lincoln,073
ZIGR,United States,Colorado,08,Otero,089
ZIGR,United States,Colorado,08,Pueblo,101
ZIGR,United States,Kansas,20,,
ZIGR,United States,Kansas,20,Barber,007
ZIGR,United States,Kansas,20,Clark,025
ZIGR,United States,Kansas,20,Comanche,033
ZIGR,United States,Kansas,20,Ford,057
ZIGR,United States,Kansas,20,Grant,067
ZIGR,United States,Kansas,20,Gray,069
ZIGR,United States,Kansas,20,Meade,119
ZIGR,United States,Kansas,20,Morton,129
ZIGR,United States,Kansas,20,Pratt,151
ZIGR,United States,Kansas,20,Seward,175
ZIGR,United States,Kansas,20,Stanton,187
ZIGR,United States,Kansas,20,Stevens,189
ZIGR,United States,New Mexico,35,,
ZIGR,United States,New Mexico,35,Bernalillo,001
ZIGR,United States,New Mexico,35,Catron,003
ZIGR,United States,New Mexico,35,Chaves,005
ZIGR,United States,New Mexico,35,Cibola,006
ZIGR,United States,New Mexico,35,Colfax,007
ZIGR,United States,New Mexico,35,Curry,009
ZIGR,United States,New Mexico,35,De Baca,011
ZIGR,United States,New Mexico,35,Dona Ana,013
ZIGR,United States,New Mexico,35,Eddy,015
ZIGR,United States,New Mexico,35,Grant,017
ZIGR,United States,New Mexico,35,Guadalupe,019
ZIGR,United States,New Mexico,35,Harding,021
ZIGR,United States,New Mexico,35,Hidalgo,023
ZIGR,United States,New Mexico,35,Lea,025
ZIGR,United States,New Mexico,35,Lincoln,027
ZIGR,United States,New Mexico,35,Luna,029
ZIGR,United States,New Mexico,35,McKinley,031
ZIGR,United States,New Mexico,35,Mora,033
ZIGR,United States,New Mexico,35,Quay,037
ZIGR,United States,New Mexico,35,Roosevelt,041
ZIGR,United States,New Mexico,35,San Juan,045
ZIGR,United States,New Mexico,35,San Miguel,047
ZIGR,United States,New Mexico,35,Sandoval,043
ZIGR,United States,New Mexico,35,Santa Fe,049
ZIGR,United States,New Mexico,35,Sierra,051
ZIGR,United States,New Mexico,35,Socorro,053
ZIGR,United States,New Mexico,35,Torrance,057
ZIGR,United States,New Mexico,35,Union,059
ZIGR,United States,New Mexico,35,Valencia,061
ZIGR,United States,Oklahoma,40,,
